Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,4,56,27,160,0.181,53,9,4,72,6,1,10,1,71.0,3,South Dakota,211.0,272.5,98.25,107.94,571.25,812.31,0.13,0.15,232.12,288.57,38.33,50.33,39.87,51.0,251.11,399.0,34.21,39.6,15.78,12.22,99.31,95.8,13.2,14.9,321.62,385.86,13.0,13.12
1,0,4,58,21,170,0.218,51,7,3,69,3,2,14,3,74.0,2,New Hampshire,211.0,203.8,98.25,88.15,571.25,596.0,0.13,0.06,232.12,255.2,38.33,32.83,39.87,35.36,251.11,294.89,34.21,36.18,15.78,10.31,99.31,54.06,13.2,9.83,321.62,279.81,13.0,10.92
1,0,4,52,28,142,0.169,51,6,5,66,5,1,26,0,72.0,3,Milwaukee,211.0,223.0,98.25,98.95,571.25,671.3,0.13,0.12,232.12,324.92,38.33,31.0,39.87,40.62,251.11,311.47,34.21,27.2,15.78,8.8,99.31,89.29,13.2,9.15,321.62,308.06,13.0,9.22
0,0,3,39,14,102,0.245,37,2,9,36,7,0,4,0,43.0,4,Princeton,211.0,194.17,98.25,73.06,571.25,528.11,0.13,0.13,232.12,234.93,38.33,29.1,39.87,32.62,251.11,265.75,34.21,23.73,15.78,10.64,99.31,49.47,13.2,10.2,321.62,251.41,13.0,10.71
1,0,3,51,13,82,0.463,44,5,9,23,9,0,6,0,59.0,1,Colgate,211.0,194.6,98.25,79.5,571.25,551.7,0.13,0.17,232.12,225.69,38.33,26.13,39.87,34.0,251.11,266.56,34.21,28.5,15.78,15.7,99.31,64.08,13.2,13.6,321.62,269.86,13.0,11.25
1,0,4,62,23,147,0.265,59,9,11,64,1,1,18,1,81.0,0,SFA,211.0,231.25,98.25,94.25,571.25,664.25,0.13,0.2,232.12,285.8,38.33,37.15,39.87,48.54,251.11,371.88,34.21,47.0,15.78,15.22,99.31,118.25,13.2,11.9,321.62,350.26,13.0,13.9
1,0,4,58,25,133,0.248,54,11,7,50,9,0,18,2,78.0,4,Buffalo,211.0,293.53,98.25,119.07,571.25,785.47,0.13,0.15,232.12,314.23,38.33,35.08,39.87,53.25,251.11,382.46,34.21,33.42,15.78,21.67,99.31,111.11,13.2,18.3,321.62,424.54,13.0,15.0
0,0,3,37,20,97,0.175,35,5,5,42,6,0,4,1,44.0,1,Arkansas,211.0,222.11,98.25,90.22,571.25,615.17,0.13,0.19,232.12,269.29,38.33,26.93,39.87,50.69,251.11,286.81,34.21,33.91,15.78,9.6,99.31,86.67,13.2,10.0,321.62,311.94,13.0,8.3
1,0,4,56,33,165,0.139,56,1,4,83,1,2,18,3,68.0,2,Butler,211.0,213.28,98.25,97.56,571.25,616.56,0.13,0.12,232.12,238.8,38.33,26.86,39.87,43.93,251.11,290.75,34.21,28.21,15.78,10.4,99.31,107.54,13.2,14.82,321.62,313.62,13.0,11.1
1,0,3,43,20,105,0.219,41,7,4,46,4,3,10,0,58.0,0,UIC,211.0,293.81,98.25,131.0,571.25,851.19,0.13,0.19,232.12,315.64,38.33,37.17,39.87,39.08,251.11,402.53,34.21,45.11,15.78,9.23,99.31,108.54,13.2,13.92,321.62,398.17,13.0,10.56
