BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,223.17,220.85,103.78,94.15,662.67,582.95,-0.01,0.24,252.27,230.89,25.64,36.54,35.0,52.56,331.12,242.84,27.07,28.71,9.78,13.29,134.8,79.27,13.78,11.5,302.24,315.14,9.0,11.7,0,0,5,59,36,169,0.136,52,8,7,62,8,0,10,0,72.0
0,223.17,264.0,103.78,115.31,662.67,785.44,-0.01,0.18,252.27,305.38,25.64,25.67,35.0,38.92,331.12,400.86,27.07,31.45,9.78,14.44,134.8,97.27,13.78,15.1,302.24,371.21,9.0,14.56,1,0,5,53,27,158,0.165,52,5,11,60,6,2,26,3,73.0
3,223.17,265.39,103.78,112.06,662.67,751.83,-0.01,0.05,252.27,298.6,25.64,36.4,35.0,74.2,331.12,390.93,27.07,24.14,9.78,13.1,134.8,107.45,13.78,13.18,302.24,366.44,9.0,8.86,1,0,4,64,19,165,0.273,60,3,9,77,4,1,22,4,79.0
0,223.17,201.48,103.78,88.24,662.67,658.62,-0.01,0.2,252.27,231.06,25.64,29.4,35.0,43.62,331.12,337.1,27.07,27.2,9.78,15.36,134.8,84.77,13.78,11.09,302.24,299.56,9.0,15.83,1,0,4,49,27,171,0.129,44,3,1,92,6,1,26,3,66.0
0,223.17,232.88,103.78,98.88,662.67,702.12,-0.01,0.2,252.27,311.5,25.64,27.43,35.0,56.46,331.12,334.06,27.07,30.27,9.78,10.7,134.8,118.5,13.78,18.4,302.24,322.56,9.0,9.78,0,0,3,19,20,111,-0.009,19,4,5,53,12/,2,16,0,33.0
1,223.17,267.53,103.78,104.47,662.67,712.0,-0.01,0.07,252.27,339.29,25.64,49.8,35.0,51.5,331.12,330.71,27.07,32.2,9.78,24.33,134.8,111.0,13.78,22.0,302.24,400.66,9.0,7.89,0,0,4,42,22,124,0.161,40,4,5,44,6,1,12,0,53.0
0,223.17,228.67,103.78,95.81,662.67,628.62,-0.01,0.21,252.27,252.5,25.64,32.92,35.0,40.12,331.12,298.37,27.07,34.45,9.78,20.89,134.8,96.77,13.78,18.09,302.24,318.26,9.0,8.6,0,0,3,28,21,96,0.073,28,4,2,33,5,2,2,0,35.0
2,223.17,284.27,103.78,121.67,662.67,719.13,-0.01,0.11,252.27,331.75,25.64,41.58,35.0,53.21,331.12,296.14,27.07,45.2,9.78,16.1,134.8,123.64,13.78,15.6,302.24,400.29,9.0,6.44,0,0,4,39,23,133,0.120,36,3,5,59,9,1,12,3,49.0
0,223.17,273.75,103.78,110.75,662.67,759.94,-0.01,0.16,252.27,285.79,25.64,29.85,35.0,52.62,331.12,345.47,27.07,30.38,9.78,16.09,134.8,84.83,13.78,15.36,302.24,389.57,9.0,12.25,0,0,3,31,21,92,0.109,29,1,5,36,4,0,14,0,39.0
1,223.17,227.65,103.78,108.18,662.67,721.12,-0.01,0.07,252.27,259.93,25.64,26.29,35.0,32.73,331.12,377.0,27.07,33.08,9.78,14.78,134.8,73.54,13.78,14.55,302.24,323.27,9.0,9.73,1,0,3,42,17,109,0.229,40,6,3,52,5,0,14,3,55.0
