BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,208.43,247.68,87.29,101.0,594.38,664.89,0.07,0.2,316.38,257.82,39.75,41.08,60.29,67.08,282.0,306.12,44.4,34.54,14.69,13.91,82.15,88.67,8.85,15.09,293.63,346.12,10.67,10.25,0,0,4,43,26,132,0.129,38,1,8,47,4,1,14,3,52.0
1,208.43,267.88,87.29,111.53,594.38,717.29,0.07,0.16,316.38,284.47,39.75,35.0,60.29,51.67,282.0,326.53,44.4,40.85,14.69,16.18,82.15,74.0,8.85,16.33,293.63,382.53,10.67,9.75,0,0,3,26,14,81,0.148,24,2,9,26,4,0,8,3,32.0
0,208.43,278.0,87.29,108.0,594.38,761.17,0.07,0.18,316.38,311.87,39.75,55.4,60.29,72.17,282.0,381.56,44.4,46.3,14.69,15.1,82.15,144.55,8.85,28.56,293.63,433.6,10.67,8.62,0,0,3,23,19,85,0.047,21,2,6,27,7,0,15,5,32.5
1,208.43,201.95,87.29,86.65,594.38,562.6,0.07,0.14,316.38,208.61,39.75,33.17,60.29,47.23,282.0,265.17,44.4,33.5,14.69,10.89,82.15,87.77,8.85,15.89,293.63,300.32,10.67,14.09,0,0,3,35,10,105,0.238,34,5,10,38,6,1,12,5,47.0
1,208.43,212.05,87.29,99.84,594.38,578.95,0.07,0.19,316.38,247.6,39.75,31.79,60.29,57.33,282.0,272.13,44.4,38.69,14.69,19.4,82.15,89.25,8.85,23.78,293.63,325.22,10.67,12.5,1,0,3,40,22,111,0.162,36,3,5,44,2,1,14,4,51.0
0,208.43,241.29,87.29,103.53,594.38,697.82,0.07,0.11,316.38,272.93,39.75,30.83,60.29,46.86,282.0,346.73,44.4,29.0,14.69,13.25,82.15,57.57,8.85,10.38,293.63,314.62,10.67,9.22,0,0,4,47,23,152,0.158,45,7,12,43,5,0,20,0,64.0
0,208.43,263.5,87.29,108.95,594.38,754.65,0.07,0.16,316.38,380.92,39.75,52.1,60.29,61.08,282.0,445.8,44.4,45.09,14.69,18.2,82.15,122.8,8.85,21.44,293.63,470.5,10.67,15.71,1,0,5,61,24,184,0.201,55,9,13,84,6,2,20,0,82.0
0,208.43,238.18,87.29,105.65,594.38,633.24,0.07,0.19,316.38,291.92,39.75,32.0,60.29,45.54,282.0,269.0,44.4,31.54,14.69,8.6,82.15,97.83,8.85,12.64,293.63,321.12,10.67,12.71,0,0,4,50,24,141,0.184,46,4,11,45,5,1,8,1,59.0
0,208.43,253.75,87.29,119.0,594.38,826.56,0.07,0.02,316.38,252.47,39.75,28.83,60.29,42.0,282.0,417.47,44.4,30.38,14.69,11.6,82.15,87.38,8.85,11.17,293.63,339.33,10.67,12.44,1,0,4,48,22,128,0.203,47,8,5,68,2,0,20,1,66.0
0,208.43,308.27,87.29,119.73,594.38,792.07,0.07,0.29,316.38,327.46,39.75,45.27,60.29,63.55,282.0,339.71,44.4,54.11,14.69,21.5,82.15,117.9,8.85,11.33,293.63,423.32,10.67,10.5,0,0,4,37,22,134,0.112,36,9,10,47,7,1,14,0,54.0
