BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
4,257.22,219.39,118.83,100.56,759.22,594.5,0.11,0.13,336.54,246.53,35.55,32.31,46.79,46.5,342.06,285.0,41.89,40.09,15.6,14.6,131.18,91.15,15.92,15.75,368.66,319.22,6.4,11.56,1,0,5,63,27,174,0.207,57,4,12,60,3,3,24,0,82.0
0,257.22,297.12,118.83,110.24,759.22,808.88,0.11,0.23,336.54,315.87,35.55,34.67,46.79,52.79,342.06,379.0,41.89,37.18,15.6,13.09,131.18,114.08,15.92,15.83,368.66,397.03,6.4,8.5,1,0,5,65,37,189,0.148,62,10,5,79,6,3,20,2,88.0
1,257.22,274.06,118.83,108.39,759.22,736.5,0.11,0.15,336.54,307.53,35.55,29.0,46.79,43.29,342.06,347.12,41.89,30.93,15.6,28.55,131.18,77.92,15.92,11.7,368.66,362.32,6.4,13.0,0,0,5,66,38/,195,0.144,61,6,7,84,5,1,28,3,87.0
0,257.22,204.4,118.83,85.1,759.22,592.6,0.11,0.2,336.54,224.65,35.55,26.8,46.79,36.0,342.06,297.06,41.89,31.25,15.6,11.0,131.18,82.77,15.92,9.62,368.66,285.44,6.4,7.46,1,0,4,48,22,173,0.150,46,4,9,82,5,3,14,2,62.0
1,257.22,226.88,118.83,96.53,759.22,673.41,0.11,0.23,336.54,257.71,35.55,36.25,46.79,41.38,342.06,331.53,41.89,37.5,15.6,10.7,131.18,77.62,15.92,12.09,368.66,306.47,6.4,14.3,1,0,3,35,14,99,0.212,35,5,5,46,1,0,14,4,47.0
0,257.22,208.68,118.83,76.47,759.22,562.53,0.11,0.2,336.54,265.0,35.55,25.29,46.79,35.69,342.06,279.0,41.89,23.57,15.6,8.56,131.18,92.25,15.92,12.42,368.66,309.34,6.4,14.29,0,0,4,54,30,160,0.150,52,4,7,52,3,2,26,1,73.0
0,257.22,237.28,118.83,99.11,759.22,651.5,0.11,0.15,336.54,285.57,35.55,37.0,46.79,56.73,342.06,317.73,41.89,31.13,15.6,16.25,131.18,97.73,15.92,13.78,368.66,301.08,6.4,10.67,1,0,3,39,21,131,0.137,38,4,4,60,3,0,10,6,48.0
1,257.22,302.53,118.83,115.47,759.22,813.29,0.11,0.15,336.54,316.87,35.55,33.36,46.79,54.46,342.06,377.07,41.89,29.5,15.6,18.56,131.18,102.25,15.92,12.69,368.66,399.41,6.4,7.45,1,0,3,50,11,108,0.361,48,3,7,58,4,0,12,1,59.0
0,257.22,225.19,118.83,101.0,759.22,587.76,0.11,0.21,336.54,314.07,35.55,34.33,46.79,48.44,342.06,249.26,41.89,39.18,15.6,11.55,131.18,96.87,15.92,13.85,368.66,315.5,6.4,14.09,1,0,4,42,18,121,0.198,40,7,7,47,1,0,36,4,67.0
2,257.22,193.16,118.83,87.53,759.22,562.84,0.11,0.08,336.54,200.82,35.55,24.92,46.79,32.07,342.06,245.83,41.89,23.21,15.6,10.33,131.18,74.38,15.92,10.46,368.66,286.03,6.4,9.88,1,0,3,44,16,107,0.262,43,3,7,38,1,1,20,0,58.0
0,257.22,220.7,118.83,93.6,759.22,576.1,0.11,0.22,336.54,257.12,35.55,31.0,46.79,41.29,342.06,234.74,41.89,25.87,15.6,19.2,131.18,92.46,15.92,13.73,368.66,308.22,6.4,5.62,1,0,5,57,23,183,0.186,53,3,5,69,1,4,36,5,82.0
3,257.22,244.94,118.83,111.76,759.22,701.65,0.11,0.22,336.54,280.64,35.55,38.69,46.79,43.36,342.06,336.27,41.89,44.08,15.6,14.89,131.18,109.64,15.92,14.45,368.66,360.27,6.4,14.6,1,0,3,39,14,112,0.223,37,8,5,48,0,6,12,0,59.0
0,257.22,381.0,118.83,131.43,759.22,1005.57,0.11,0.18,336.54,385.62,35.55,42.36,46.79,55.83,342.06,467.38,41.89,36.67,15.6,18.11,131.18,121.55,15.92,19.3,368.66,510.12,6.4,12.43,0,0,4,45,24,150,0.140,44,4,7,62,6,0,6,5,52.0
1,257.22,271.83,118.83,109.83,759.22,715.5,0.11,0.3,336.54,288.5,35.55,39.36,46.79,47.4,342.06,321.88,41.89,46.45,15.6,17.8,131.18,123.83,15.92,16.08,368.66,424.33,6.4,6.45,0,0,5,54,27,162,0.167,54,5,6,70,6,3,16,0,70.0
4,257.22,225.0,118.83,96.95,759.22,643.95,0.11,0.1,336.54,287.0,35.55,25.8,46.79,47.88,342.06,314.06,41.89,27.64,15.6,23.55,131.18,72.62,15.92,9.64,368.66,317.24,6.4,18.6,0,0,3,36,16,134,0.149,34,3,3,51,6,2,14,1,48.0
1,257.22,261.89,118.83,103.11,759.22,702.68,0.11,0.26,336.54,328.71,35.55,30.77,46.79,53.36,342.06,354.81,41.89,31.31,15.6,16.83,131.18,91.58,15.92,12.09,368.66,382.97,6.4,8.0,0,0,3,34,17,117,0.145,34,4,1,57,2,2,2,2,41.0
0,257.22,323.0,118.83,119.75,759.22,870.5,0.11,0.19,336.54,401.83,35.55,39.67,46.79,60.08,342.06,418.36,41.89,32.85,15.6,16.8,131.18,126.6,15.92,20.7,368.66,429.67,6.4,11.33,0,0,3,36,19,112,0.152,33,1,7,45,5,0,10,2,42.0
0,257.22,243.44,118.83,96.94,759.22,718.0,0.11,0.2,336.54,246.73,35.55,30.38,46.79,50.92,342.06,357.0,41.89,34.33,15.6,16.4,131.18,78.46,15.92,11.44,368.66,354.57,6.4,7.78,0,0,3,31,18,109,0.119,30,3,6,47,6,1,10,1,40.0
0,257.22,306.71,118.83,117.59,759.22,801.12,0.11,0.23,336.54,326.47,35.55,33.73,46.79,40.69,342.06,377.2,41.89,32.64,15.6,13.2,131.18,118.67,15.92,13.67,368.66,437.6,6.4,9.86,0,0,5,73,34,192,0.203,67,5,2,80,4,0,18,1,87.0
1,257.22,278.39,118.83,111.11,759.22,727.33,0.11,0.24,336.54,361.15,35.55,31.58,46.79,42.73,342.06,311.53,41.89,38.09,15.6,16.67,131.18,116.69,15.92,15.85,368.66,393.66,6.4,6.33,0,0,3,42,21,120,0.175,39,4,8,41,5,1,8,2,51.0
0,257.22,289.18,118.83,104.88,759.22,714.82,0.11,0.11,336.54,293.82,35.55,31.83,46.79,67.17,342.06,329.93,41.89,38.44,15.6,14.12,131.18,180.8,15.92,20.56,368.66,451.07,6.4,5.2,0,0,4,49,30,167,0.114,44,2,8,72,4,1,16,1,60.0
0,257.22,209.59,118.83,81.41,759.22,568.23,0.11,0.23,336.54,307.5,35.55,34.08,46.79,48.6,342.06,281.0,41.89,26.53,15.6,13.75,131.18,79.13,15.92,14.38,368.66,322.92,6.4,19.12,0,0,3,42,24,109,0.165,39,3,7,31,2,0,10,2,50.0
1,257.22,261.89,118.83,103.11,759.22,702.68,0.11,0.26,336.54,328.71,35.55,30.77,46.79,53.36,342.06,354.81,41.89,31.31,15.6,16.83,131.18,91.58,15.92,12.09,368.66,382.97,6.4,8.0,0,0,3,30,13,107,0.159,28,2,3,43,2,0,4,1,34.0
0,257.22,225.0,118.83,96.95,759.22,643.95,0.11,0.1,336.54,287.0,35.55,25.8,46.79,47.88,342.06,314.06,41.89,27.64,15.6,23.55,131.18,72.62,15.92,9.64,368.66,317.24,6.4,18.6,1,0,4,52,24,152,0.184,51,5,14,69,3,1,10,1,63.0
1,257.22,243.44,118.83,96.94,759.22,718.0,0.11,0.2,336.54,246.73,35.55,30.38,46.79,50.92,342.06,357.0,41.89,34.33,15.6,16.4,131.18,78.46,15.92,11.44,368.66,354.57,6.4,7.78,0,0,5,61,33,208,0.135,56,4,7,105/,9,4,14,0,76.0
0,257.22,323.0,118.83,119.75,759.22,870.5,0.11,0.19,336.54,401.83,35.55,39.67,46.79,60.08,342.06,418.36,41.89,32.85,15.6,16.8,131.18,126.6,15.92,20.7,368.66,429.67,6.4,11.33,0,0,3,41,25,148,0.108,40,3,1,63,3,1,8,1,49.0
0,257.22,209.59,118.83,81.41,759.22,568.23,0.11,0.23,336.54,307.5,35.55,34.08,46.79,48.6,342.06,281.0,41.89,26.53,15.6,13.75,131.18,79.13,15.92,14.38,368.66,322.92,6.4,19.12,0,0,3,41,21,120,0.167,39,5,9,47,3,1,10,2,52.0
1,257.22,289.18,118.83,104.88,759.22,714.82,0.11,0.11,336.54,293.82,35.55,31.83,46.79,67.17,342.06,329.93,41.89,38.44,15.6,14.12,131.18,180.8,15.92,20.56,368.66,451.07,6.4,5.2,0,0,3,31,24,102,0.069,27,4,5,37,5,3,10,3,43.0
1,257.22,306.71,118.83,117.59,759.22,801.12,0.11,0.23,336.54,326.47,35.55,33.73,46.79,40.69,342.06,377.2,41.89,32.64,15.6,13.2,131.18,118.67,15.92,13.67,368.66,437.6,6.4,9.86,0,0,5,59,28,181,0.171,52,2,8,73,6,4,14,1,72.0
0,257.22,278.39,118.83,111.11,759.22,727.33,0.11,0.24,336.54,361.15,35.55,31.58,46.79,42.73,342.06,311.53,41.89,38.09,15.6,16.67,131.18,116.69,15.92,15.85,368.66,393.66,6.4,6.33,0,0,5,73,38/,208,0.168,69,8,10,79,2,1,25,3,94.5
1,257.22,363.79,118.83,142.21,759.22,1000.14,0.11,0.3,336.54,396.0,35.55,48.8,46.79,70.73,342.06,463.15,41.89,44.2,15.6,21.78,131.18,171.89,15.92,18.33,368.66,503.88,6.4,10.0,0,0,3,28,25,107,0.028,28,1,5,39,2,0,4,3,31.0
0,257.22,381.0,118.83,131.43,759.22,1005.57,0.11,0.18,336.54,385.62,35.55,42.36,46.79,55.83,342.06,467.38,41.89,36.67,15.6,18.11,131.18,121.55,15.92,19.3,368.66,510.12,6.4,12.43,0,0,4,47,27,163,0.123,45,6,6,75,7,1,4,1,56.0
