BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,227.74,201.74,86.21,71.26,603.37,520.58,0.14,0.22,292.07,257.0,35.15,27.83,50.29,37.77,278.82,244.12,29.92,26.64,13.0,12.42,96.83,83.42,16.12,8.55,341.81,283.32,9.71,10.88,0,0,4,70,20,172,0.291,65,2,9,76,5,2,10,0,79.0
0,227.74,213.28,86.21,97.56,603.37,616.56,0.14,0.12,292.07,238.8,35.15,26.86,50.29,43.93,278.82,290.75,29.92,28.21,13.0,10.4,96.83,107.54,16.12,14.82,341.81,313.62,9.71,11.1,1,0,3,48,13,103,0.340,45,5,8,52,3,0,6,1,56.0
0,227.74,269.71,86.21,105.06,603.37,651.29,0.14,0.23,292.07,310.57,35.15,34.25,50.29,37.29,278.82,279.6,29.92,25.62,13.0,19.22,96.83,134.27,16.12,18.1,341.81,369.22,9.71,13.56,0,0,3,38,18,109,0.183,35,1,12,30,3,0,8,0,43.0
1,227.74,231.29,86.21,83.95,603.37,637.05,0.14,0.12,292.07,284.62,35.15,37.83,50.29,53.71,278.82,323.5,29.92,37.08,13.0,16.78,96.83,113.5,16.12,15.6,341.81,361.35,9.71,18.43,1,0,4,65,19,149,0.309,63,3,12,72,1,1,8,2,73.0
1,227.74,302.53,86.21,115.47,603.37,813.29,0.14,0.15,292.07,316.87,35.15,33.36,50.29,54.46,278.82,377.07,29.92,29.5,13.0,18.56,96.83,102.25,16.12,12.69,341.81,399.41,9.71,7.45,1,0,3,45,10,107,0.327,43,6,10,60,3,0,8,2,55.0
0,227.74,209.05,86.21,88.84,603.37,577.84,0.14,0.1,292.07,230.56,35.15,33.0,50.29,36.65,278.82,262.12,29.92,36.46,13.0,15.4,96.83,76.08,16.12,10.77,341.81,294.79,9.71,14.0,1,0,4,58,10,112,0.429,53,7,13,43,1,2,18,0,76.0
0,227.74,247.68,86.21,101.0,603.37,664.89,0.14,0.2,292.07,257.82,35.15,41.08,50.29,67.08,278.82,306.12,29.92,34.54,13.0,13.91,96.83,88.67,16.12,15.09,341.81,346.12,9.71,10.25,0,0,3,30,23,101,0.069,27,7,8,32,8,1,4,1,40.0
0,227.74,245.32,86.21,106.26,603.37,704.42,0.14,0.23,292.07,259.18,35.15,23.43,50.29,23.67,278.82,348.35,29.92,20.38,13.0,11.91,96.83,103.62,16.12,15.45,341.81,340.79,9.71,16.67,1,0,3,42,14,96,0.292,39,13,5,43,3,0,14,0,62.0
0,227.74,184.72,86.21,89.44,603.37,556.11,0.14,0.1,292.07,206.6,35.15,33.43,50.29,50.86,278.82,262.81,29.92,40.69,13.0,14.55,96.83,62.17,16.12,11.91,341.81,270.38,9.71,19.88,1,0,3,36,10,85,0.306,34,7,9,43,1,0,12,0,49.0
0,227.74,220.89,86.21,90.28,603.37,626.44,0.14,0.12,292.07,265.36,35.15,31.36,50.29,43.67,278.82,305.38,29.92,36.92,13.0,14.78,96.83,74.07,16.12,12.1,341.81,316.66,9.71,7.55,0,0,4,56,25,160,0.194,56,6,14,55,8,0,10,0,67.0
0,227.74,295.75,86.21,111.0,603.37,787.75,0.14,0.23,292.07,345.0,35.15,53.8,50.29,75.18,278.82,375.0,29.92,45.45,13.0,14.11,96.83,114.45,16.12,20.38,341.81,401.77,9.71,13.43,1,0,3,41,10,107,0.290,40,5,9,42,4,0,18,0,55.0
1,227.74,216.26,86.21,91.89,603.37,601.58,0.14,0.19,292.07,229.0,35.15,28.5,50.29,39.06,278.82,263.67,29.92,25.6,13.0,15.9,96.83,73.33,16.12,12.46,341.81,289.83,9.71,13.43,1,0,4,44,22,130,0.169,41,6,8,51,3,1,32,1,67.0
2,227.74,235.06,86.21,89.67,603.37,584.78,0.14,0.13,292.07,279.36,35.15,34.55,50.29,45.08,278.82,226.44,29.92,23.0,13.0,10.71,96.83,116.46,16.12,15.0,341.81,362.87,9.71,8.86,0,0,3,31,15,94,0.170,30,3,10,27,5,0,6,0,37.0
0,227.74,199.65,86.21,87.3,603.37,572.95,0.14,0.09,292.07,232.81,35.15,38.58,50.29,53.58,278.82,263.28,29.92,37.54,13.0,9.33,96.83,95.15,16.12,15.91,341.81,324.16,9.71,9.75,1,0,4,60,17,131,0.328,60,4,7,52,4,1,22,0,76.0
0,227.74,201.95,86.21,86.65,603.37,562.6,0.14,0.14,292.07,208.61,35.15,33.17,50.29,47.23,278.82,265.17,29.92,33.5,13.0,10.89,96.83,87.77,16.12,15.89,341.81,300.32,9.71,14.09,1,0,3,48,12,132,0.273,44,7,6,62,1,2,10,1,62.0
1,227.74,311.57,86.21,135.71,603.37,822.71,0.14,0.11,292.07,345.33,35.15,44.6,50.29,66.1,278.82,419.27,29.92,38.0,13.0,13.44,96.83,102.3,16.12,13.4,341.81,453.38,9.71,13.14,1,0,4,50,16,116,0.293,48,9,3,51,5,0,22,4,70.0
0,227.74,220.7,86.21,93.6,603.37,576.1,0.14,0.22,292.07,257.12,35.15,31.0,50.29,41.29,278.82,234.74,29.92,25.87,13.0,19.2,96.83,92.46,16.12,13.73,341.81,308.22,9.71,5.62,0,0,3,35,17,95,0.189,32,4,8,33,5,1,6,0,43.0
1,227.74,235.06,86.21,89.67,603.37,584.78,0.14,0.13,292.07,279.36,35.15,34.55,50.29,45.08,278.82,226.44,29.92,23.0,13.0,10.71,96.83,116.46,16.12,15.0,341.81,362.87,9.71,8.86,0,0,3,26,22,115,0.035,25,2,4,40,4,1,6,0,32.0
0,227.74,201.95,86.21,86.65,603.37,562.6,0.14,0.14,292.07,208.61,35.15,33.17,50.29,47.23,278.82,265.17,29.92,33.5,13.0,10.89,96.83,87.77,16.12,15.89,341.81,300.32,9.71,14.09,1,0,4,56,23,147,0.224,54,3,11,59,1,0,12,0,65.0
0,227.74,199.65,86.21,87.3,603.37,572.95,0.14,0.09,292.07,232.81,35.15,38.58,50.29,53.58,278.82,263.28,29.92,37.54,13.0,9.33,96.83,95.15,16.12,15.91,341.81,324.16,9.71,9.75,1,0,3,44,12,105,0.305,40,5,9,56,4,1,10,1,55.0
1,227.74,311.57,86.21,135.71,603.37,822.71,0.14,0.11,292.07,345.33,35.15,44.6,50.29,66.1,278.82,419.27,29.92,38.0,13.0,13.44,96.83,102.3,16.12,13.4,341.81,453.38,9.71,13.14,0,0,5,60,29,164,0.189,59,10,4,70,9,2,23,1,83.5
3,227.74,218.5,86.21,92.22,603.37,622.0,0.14,0.17,292.07,247.53,35.15,28.83,50.29,48.57,278.82,284.88,29.92,23.92,13.0,12.67,96.83,79.08,16.12,9.08,341.81,288.65,9.71,8.0,1,0,5,62,25,162,0.228,57,9,12,66,4,2,14,3,80.0
1,227.74,216.26,86.21,91.89,603.37,601.58,0.14,0.19,292.07,229.0,35.15,28.5,50.29,39.06,278.82,263.67,29.92,25.6,13.0,15.9,96.83,73.33,16.12,12.46,341.81,289.83,9.71,13.43,1,0,3,46,11,106,0.330,41,6,5,55,2,0,8,1,56.0
1,227.74,295.75,86.21,111.0,603.37,787.75,0.14,0.23,292.07,345.0,35.15,53.8,50.29,75.18,278.82,375.0,29.92,45.45,13.0,14.11,96.83,114.45,16.12,20.38,341.81,401.77,9.71,13.43,1,0,4,56,16,148,0.270,53,4,9,61,5,2,8,3,66.0
1,227.74,220.7,86.21,93.6,603.37,576.1,0.14,0.22,292.07,257.12,35.15,31.0,50.29,41.29,278.82,234.74,29.92,25.87,13.0,19.2,96.83,92.46,16.12,13.73,341.81,308.22,9.71,5.62,1,0,5,57,27,159,0.189,52,9,8,57,3,4,18,2,79.0
0,227.74,332.69,86.21,127.75,603.37,897.31,0.14,0.28,292.07,417.17,35.15,37.0,50.29,46.67,278.82,457.57,29.92,34.82,13.0,22.0,96.83,92.4,16.12,18.0,341.81,453.79,9.71,9.78,1,0,5,72,26,190,0.242,70,7,3,82,2,0,8,0,83.0
1,227.74,279.53,86.21,98.76,603.37,731.53,0.14,0.22,292.07,348.23,35.15,34.42,50.29,49.23,278.82,372.36,29.92,32.08,13.0,13.56,96.83,144.8,16.12,15.89,341.81,400.73,9.71,8.62,0,0,4,45,22,151,0.152,41,3,8,54,1,1,6,1,52.0
