Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,3,39,8,88,0.352,36,7,3,42,2,0,12,0,52.0,2,Northwestern,194.17,211.0,73.06,98.25,528.11,571.25,0.13,0.13,234.93,232.12,29.1,38.33,32.62,39.87,265.75,251.11,23.73,34.21,10.64,15.78,49.47,99.31,10.2,13.2,251.41,321.62,10.71,13.0
1,0,3,42,15,120,0.225,40,2,6,62,3,3,6,0,50.0,0,SFA,194.17,231.25,73.06,94.25,528.11,664.25,0.13,0.2,234.93,285.8,29.1,37.15,32.62,48.54,265.75,371.88,23.73,47.0,10.64,15.22,49.47,118.25,10.2,11.9,251.41,350.26,10.71,13.9
1,0,3,42,15,102,0.265,38,6,5,39,2,1,6,1,52.0,0,Colgate,194.17,194.6,73.06,79.5,528.11,551.7,0.13,0.17,234.93,225.69,29.1,26.13,32.62,34.0,265.75,266.56,23.73,28.5,10.64,15.7,49.47,64.08,10.2,13.6,251.41,269.86,10.71,11.25
1,0,5,66,19,166,0.283,61,6,5,67,4,1,14,1,80.0,2,Towson,194.17,216.36,73.06,87.05,528.11,600.41,0.13,0.2,234.93,277.0,29.1,37.0,32.62,43.27,265.75,333.82,23.73,30.73,10.64,17.0,49.47,112.58,10.2,11.92,251.41,317.5,10.71,15.27
0,0,5,49,25,147,0.163,47,3,5,71,6,0,14,3,59.0,3,Long Beach St.,194.17,240.78,73.06,94.17,528.11,650.28,0.13,0.09,234.93,269.07,29.1,31.85,32.62,46.67,265.75,325.73,23.73,26.0,10.64,18.11,49.47,89.85,10.2,19.27,251.41,343.44,10.71,17.91
0,0,3,30,19,91,0.121,29,2,2,34,7,0,4,1,34.0,1,Missouri,194.17,308.27,73.06,119.73,528.11,792.07,0.13,0.29,234.93,327.46,29.1,45.27,32.62,63.55,265.75,339.71,23.73,54.11,10.64,21.5,49.47,117.9,10.2,11.33,251.41,423.32,10.71,10.5
0,0,3,35,20,124,0.121,35,2,6,61,4,1,2,2,39.0,1,Ohio St.,194.17,267.88,73.06,111.53,528.11,717.29,0.13,0.16,234.93,284.47,29.1,35.0,32.62,51.67,265.75,326.53,23.73,40.85,10.64,16.18,49.47,74.0,10.2,16.33,251.41,382.53,10.71,9.75
1,0,4,62,23,165,0.236,61,4,5,77,2,0,18,1,75.0,0,Seton Hall,194.17,274.47,73.06,105.6,528.11,742.87,0.13,0.17,234.93,276.71,29.1,28.08,32.62,42.15,265.75,337.79,23.73,30.15,10.64,10.62,49.47,83.64,10.2,11.82,251.41,357.07,10.71,12.14
1,0,4,59,23,178,0.202,54,7,5,96,3,2,12,0,74.0,0,New Hampshire,194.17,203.8,73.06,88.15,528.11,596.0,0.13,0.06,234.93,255.2,29.1,32.83,32.62,35.36,265.75,294.89,23.73,36.18,10.64,10.31,49.47,54.06,10.2,9.83,251.41,279.81,10.71,10.92
1,0,5,69,31,208/,0.183,64,1,6,112/,6,0,20,0,80.0,0,Maryland,194.17,253.0,73.06,107.71,528.11,708.88,0.13,0.12,234.93,334.92,29.1,41.18,32.62,42.6,265.75,337.2,23.73,36.5,10.64,20.33,49.47,102.18,10.2,17.0,251.41,392.79,10.71,13.14
0,0,4,52,25,181,0.149,51,5,3,80,3,2,12,2,65.0,3,Temple,194.17,280.5,73.06,114.38,528.11,816.62,0.13,0.18,234.93,283.53,29.1,26.23,32.62,43.93,265.75,382.67,23.73,30.33,10.64,14.11,49.47,84.23,10.2,12.25,251.41,366.9,10.71,10.36
1,0,3,48,15,125,0.264,45,4,5,68,0,1,6,2,56.0,1,Penn,194.17,145.41,73.06,65.09,528.11,405.59,0.13,0.03,234.93,213.21,29.1,28.42,32.62,45.69,265.75,210.06,23.73,36.09,10.64,13.12,49.47,76.27,10.2,14.27,251.41,270.97,10.71,13.11
1,0,3,47,5,94,0.447,41,5,3,42,1,0,8,2,56.0,1,Brown,194.17,168.05,73.06,66.95,528.11,488.55,0.13,0.15,234.93,203.12,29.1,31.58,32.62,38.08,265.75,246.37,23.73,26.33,10.64,11.1,49.47,71.14,10.2,13.5,251.41,234.25,10.71,19.11
1,0,4,67,21,146,0.315,66,4,8,70,3,3,10,3,79.0,4,Yale,194.17,151.0,73.06,66.14,528.11,431.48,0.13,0.14,234.93,230.15,29.1,29.4,32.62,29.5,265.75,217.72,23.73,22.5,10.64,10.38,49.47,54.12,10.2,7.73,251.41,213.68,10.71,9.11
1,0,3,45,13,101,0.317,43,4,8,49,3,0,12,0,55.0,0,Dartmouth,194.17,149.76,73.06,66.9,528.11,439.0,0.13,0.07,234.93,165.56,29.1,20.47,32.62,30.94,265.75,205.79,23.73,26.25,10.64,13.18,49.47,76.08,10.2,6.29,251.41,215.34,10.71,9.89
0,0,3,43,17,110,0.236,40,3,6,39,5,1,6,3,50.0,1,Harvard,194.17,166.37,73.06,83.95,528.11,498.63,0.13,0.15,234.93,196.6,29.1,35.5,32.62,41.67,265.75,221.83,23.73,26.92,10.64,19.0,49.47,70.86,10.2,15.0,251.41,246.06,10.71,14.75
