BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,276.07,199.65,125.93,87.3,773.67,572.95,0.16,0.09,298.77,232.81,39.09,38.58,45.85,53.58,357.46,263.28,32.46,37.54,16.67,9.33,104.78,95.15,17.0,15.91,399.42,324.16,19.33,9.75,0,0,3,22,23,96,-0.010,22,6,3,35,6,0,18,2,37.0
2,276.07,223.9,125.93,104.25,773.67,631.6,0.16,0.11,298.77,246.12,39.09,26.6,45.85,46.13,357.46,282.37,32.46,28.13,16.67,18.08,104.78,78.14,17.0,14.08,399.42,296.89,19.33,11.5,0,0,4,41,31,152,0.066,41,3,9,63,5,1,12,5,51.0
0,276.07,198.1,125.93,79.95,773.67,548.48,0.16,0.18,298.77,245.75,39.09,35.17,45.85,51.62,357.46,246.95,32.46,28.69,16.67,14.2,104.78,80.25,17.0,15.73,399.42,289.19,19.33,11.0,0,0,3,23,18,94,0.053,20,3,7,32,6,0,6,1,29.0
0,276.07,288.31,125.93,137.31,773.67,814.12,0.16,0.08,298.77,310.71,39.09,26.64,45.85,67.75,357.46,386.71,32.46,28.54,16.67,11.75,104.78,103.09,17.0,17.73,399.42,379.6,19.33,16.11,0,0,3,22,18,90,0.044,21,2,4,25,3,2,8,1,30.0
0,276.07,205.24,125.93,91.88,773.67,610.06,0.16,0.1,298.77,235.21,39.09,32.58,45.85,34.29,357.46,276.75,32.46,31.42,16.67,16.11,104.78,110.3,17.0,13.23,399.42,326.89,19.33,8.09,0,0,3,39,23,112,0.143,36,1,5,50,6,4,12,2,50.0
0,276.07,196.26,125.93,93.21,773.67,554.32,0.16,0.22,298.77,202.29,39.09,27.2,45.85,41.56,357.46,235.83,32.46,34.09,16.67,13.2,104.78,88.83,17.0,8.83,399.42,266.78,19.33,9.17,0,0,4,41,26,112,0.134,38,8,8,39,5,1,4,3,52.0
1,276.07,151.0,125.93,66.14,773.67,431.48,0.16,0.14,298.77,230.15,39.09,29.4,45.85,29.5,357.46,217.72,32.46,22.5,16.67,10.38,104.78,54.12,17.0,7.73,399.42,213.68,19.33,9.11,0,0,3,34,13,101,0.208,31,1,5,35,6,3,2,1,39.0
2,276.07,216.33,125.93,109.11,773.67,596.56,0.16,0.07,298.77,220.62,39.09,51.3,45.85,67.0,357.46,244.76,32.46,36.31,16.67,18.33,104.78,86.73,17.0,19.9,399.42,297.0,19.33,10.6,1,0,3,38,14,82,0.293,34,9,9,26,2,1,8,0,52.0
2,276.07,240.33,125.93,106.93,773.67,677.53,0.16,0.17,298.77,277.83,39.09,30.85,45.85,56.29,357.46,293.57,32.46,39.36,16.67,12.17,104.78,59.15,17.0,13.54,399.42,324.04,19.33,14.1,0,0,5,47,31,148,0.108,42,4,13,47,7,0,16,2,59.0
3,276.07,296.17,125.93,138.89,773.67,853.06,0.16,0.17,298.77,312.44,39.09,41.08,45.85,52.5,357.46,389.88,32.46,42.36,16.67,19.25,104.78,104.08,17.0,16.27,399.42,388.38,19.33,21.67,0,0,4,42,23,134,0.142,36,4,7,43,3,4,6,6,53.0
2,276.07,215.47,125.93,100.11,773.67,652.74,0.16,0.15,298.77,239.94,39.09,37.46,45.85,40.6,357.46,326.41,32.46,35.69,16.67,17.5,104.78,68.0,17.0,12.15,399.42,294.5,19.33,13.86,0,0,3,31,19,108,0.111,29,5,7,39,4,1,8,0,41.0
3,276.07,200.05,125.93,91.68,773.67,611.73,0.16,0.05,298.77,257.25,39.09,34.4,45.85,43.61,357.46,312.89,32.46,43.85,16.67,14.7,104.78,65.86,17.0,15.73,399.42,276.25,19.33,6.33,1,0,5,65,20,185,0.243,62,7,12,97,1,1,12,5,79.0
0,276.07,246.12,125.93,106.44,773.67,693.19,0.16,0.15,298.77,267.71,39.09,35.25,45.85,52.43,357.46,344.07,32.46,26.79,16.67,13.8,104.78,73.92,17.0,11.5,399.42,353.04,19.33,19.17,0,0,4,35,33,136,0.015,35,1,4,55,8,3,4,2,41.0
0,276.07,178.21,125.93,86.37,773.67,538.74,0.16,0.09,298.77,194.31,39.09,37.53,45.85,43.84,357.46,254.12,32.46,38.39,16.67,12.2,104.78,54.93,17.0,13.69,399.42,268.12,19.33,13.3,1,0,3,53,16,118,0.314,48,3,7,50,3,2,6,0,61.0
2,276.07,207.37,125.93,104.68,773.67,613.42,0.16,0.19,298.77,268.0,39.09,33.42,45.85,33.8,357.46,321.06,32.46,35.58,16.67,12.36,104.78,65.93,17.0,10.75,399.42,274.36,19.33,34.83,0,0,5,64,28,174,0.207,62,6,7,66,4,2,10,2,77.0
1,276.07,255.93,125.93,102.8,773.67,745.8,0.16,0.13,298.77,257.64,39.09,35.45,45.85,41.42,357.46,350.14,32.46,42.82,16.67,12.12,104.78,75.0,17.0,10.78,399.42,341.14,19.33,10.82,0,0,5,66,25,156,0.263,64,10,6,64,4,2,14,3,85.0
0,276.07,226.0,125.93,83.61,773.67,619.06,0.16,0.12,298.77,267.14,39.09,35.54,45.85,51.75,357.46,306.19,32.46,33.46,16.67,10.33,104.78,81.9,17.0,10.56,399.42,314.53,19.33,9.0,0,0,3,36,20,116,0.138,33,1,6,42,2,1,4,3,40.0
2,276.07,244.41,125.93,113.94,773.67,693.06,0.16,0.21,298.77,244.94,39.09,39.62,45.85,44.47,357.46,311.94,32.46,46.25,16.67,11.8,104.78,82.77,17.0,9.38,399.42,332.88,19.33,20.0,0,0,4,47,24,127,0.181,45,6,3,38,7,0,6,3,56.0
0,276.07,178.21,125.93,86.37,773.67,538.74,0.16,0.09,298.77,194.31,39.09,37.53,45.85,43.84,357.46,254.12,32.46,38.39,16.67,12.2,104.78,54.93,17.0,13.69,399.42,268.12,19.33,13.3,0,0,4,41,30,134,0.082,37,11,7,56,9,3,12,7,61.0
0,276.07,246.12,125.93,106.44,773.67,693.19,0.16,0.15,298.77,267.71,39.09,35.25,45.85,52.43,357.46,344.07,32.46,26.79,16.67,13.8,104.78,73.92,17.0,11.5,399.42,353.04,19.33,19.17,0,0,4,32,16,121,0.132,31,6,1,52,11,2,16,2,48.0
1,276.07,184.85,125.93,88.0,773.67,552.85,0.16,0.09,298.77,180.37,39.09,28.53,45.85,37.44,357.46,243.21,32.46,38.8,16.67,12.44,104.78,53.53,17.0,6.5,399.42,260.86,19.33,14.86,1,0,3,45,6,86,0.453,42,6,6,41,0,2,2,0,54.0
2,276.07,200.05,125.93,91.68,773.67,611.73,0.16,0.05,298.77,257.25,39.09,34.4,45.85,43.61,357.46,312.89,32.46,43.85,16.67,14.7,104.78,65.86,17.0,15.73,399.42,276.25,19.33,6.33,1,0,3,49,10,102,0.382,41,0,7,41,7,3,8,0,56.0
0,276.07,215.47,125.93,100.11,773.67,652.74,0.16,0.15,298.77,239.94,39.09,37.46,45.85,40.6,357.46,326.41,32.46,35.69,16.67,17.5,104.78,68.0,17.0,12.15,399.42,294.5,19.33,13.86,0,0,4,55,25,155,0.194,51,5,7,57,3,2,18,3,71.0
1,276.07,207.37,125.93,104.68,773.67,613.42,0.16,0.19,298.77,268.0,39.09,33.42,45.85,33.8,357.46,321.06,32.46,35.58,16.67,12.36,104.78,65.93,17.0,10.75,399.42,274.36,19.33,34.83,1,0,5,53,29,145,0.166,52,6,8,41,5,2,10,1,66.0
2,276.07,244.41,125.93,113.94,773.67,693.06,0.16,0.21,298.77,244.94,39.09,39.62,45.85,44.47,357.46,311.94,32.46,46.25,16.67,11.8,104.78,82.77,17.0,9.38,399.42,332.88,19.33,20.0,0,0,4,47,23,142,0.169,44,10,6,61,4,1,14,0,65.0
4,276.07,184.85,125.93,88.0,773.67,552.85,0.16,0.09,298.77,180.37,39.09,28.53,45.85,37.44,357.46,243.21,32.46,38.8,16.67,12.44,104.78,53.53,17.0,6.5,399.42,260.86,19.33,14.86,1,0,4,72,22,152,0.329,68,8,4,59,8,0,18,0,89.0
0,276.07,226.0,125.93,83.61,773.67,619.06,0.16,0.12,298.77,267.14,39.09,35.54,45.85,51.75,357.46,306.19,32.46,33.46,16.67,10.33,104.78,81.9,17.0,10.56,399.42,314.53,19.33,9.0,0,0,3,39,13,111,0.234,36,4,4,26,4,0,2,0,44.0
1,276.07,255.93,125.93,102.8,773.67,745.8,0.16,0.13,298.77,257.64,39.09,35.45,45.85,41.42,357.46,350.14,32.46,42.82,16.67,12.12,104.78,75.0,17.0,10.78,399.42,341.14,19.33,10.82,1,0,3,57,30,147,0.184,53,2,8,68,0,1,8,1,64.0
