Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,4,37,24,135,0.096,37,3,5,69,8,2,12,2,48.0,2,Green Bay,236.06,264.29,111.12,109.94,710.41,779.88,0.09,0.09,237.31,349.92,26.64,39.5,41.93,40.14,338.81,406.4,34.36,30.58,16.57,12.11,61.93,132.11,9.58,14.6,308.47,399.39,14.38,10.6
0,0,4,37,27,123,0.081,37,10,15,52,7,0,14,1,54.0,2,UAB,236.06,213.11,111.12,92.67,710.41,579.78,0.09,0.18,237.31,257.07,26.64,33.0,41.93,41.47,338.81,280.27,34.36,31.07,16.57,18.56,61.93,82.09,9.58,20.5,308.47,325.57,14.38,10.43
0,0,3,25,22,104,0.029,24,1,6,36,3,0,6,1,29.0,0,TCU,236.06,199.7,111.12,83.4,710.41,546.05,0.09,0.14,237.31,316.33,26.64,33.18,41.93,50.75,338.81,274.29,34.36,22.79,16.57,10.2,61.93,68.44,9.58,21.6,308.47,278.25,14.38,8.22
0,0,4,48,24,141,0.170,46,5,4,78,8,2,10,2,60.0,5,Northern Ariz.,236.06,322.06,111.12,114.75,710.41,942.88,0.09,0.19,237.31,407.33,26.64,45.67,41.93,60.83,338.81,550.08,34.36,49.0,16.57,21.0,61.93,129.9,9.58,18.7,308.47,467.11,14.38,16.83
0,0,4,42,29,144,0.090,40,6,7,56,6,1,6,1,52.0,1,Western Mich.,236.06,262.82,111.12,107.06,710.41,739.65,0.09,0.24,237.31,273.27,26.64,33.67,41.93,44.07,338.81,346.62,34.36,30.64,16.57,17.45,61.93,79.5,9.58,11.82,308.47,346.31,14.38,12.22
0,0,3,37,22,135,0.111,32,1,9,64,2,0,8,1,42.0,2,IUPUI,236.06,253.75,111.12,119.0,710.41,826.56,0.09,0.02,237.31,252.47,26.64,28.83,41.93,42.0,338.81,417.47,34.36,30.38,16.57,11.6,61.93,87.38,9.58,11.17,308.47,339.33,14.38,12.44
0,0,3,36,20,107,0.150,33,3,8,35,2,4,6,0,46.0,0,Providence,236.06,243.56,111.12,106.94,710.41,672.25,0.09,0.09,237.31,330.18,26.64,38.45,41.93,52.0,338.81,339.31,34.36,47.3,16.57,13.78,61.93,80.0,9.58,11.5,308.47,348.86,14.38,11.83
0,0,3,21,21,97,0,20,2,1,41,5,3,18,0,35.0,0,Arkansas St.,236.06,251.84,111.12,111.42,710.41,695.05,0.09,0.19,237.31,282.38,26.64,31.87,41.93,47.07,338.81,324.76,34.36,29.8,16.57,20.67,61.93,79.62,9.58,9.82,308.47,354.62,14.38,10.9
0,0,3,28,19,121,0.074,25,3,6,65,4,1,14,0,39.0,2,Northern Ky.,236.06,320.0,111.12,130.8,710.41,988.8,0.09,0.19,237.31,378.42,26.64,42.82,41.93,62.55,338.81,552.23,34.36,45.33,16.57,14.56,61.93,109.92,9.58,11.08,308.47,466.27,14.38,8.5
0,0,4,56,31,164,0.152,54,6,7,67,5,1,17,1,71.5,1,Louisiana Tech,236.06,214.44,111.12,96.78,710.41,642.5,0.09,0.05,237.31,236.0,26.64,35.0,41.93,36.36,338.81,336.93,34.36,44.2,16.57,14.64,61.93,79.64,9.58,10.18,308.47,325.27,14.38,11.38
