Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,4,55,22,171,0.193,51,10,15,79,1,2,22,2,78.0,0,Utah St.,276.88,277.21,117.12,133.21,815.81,802.93,0.15,0.09,319.23,302.25,51.73,39.7,63.82,54.18,411.0,346.08,53.5,33.38,18.67,8.62,115.0,142.1,15.67,14.5,386.63,389.04,13.43,8.38
0,0,5,60,29,181,0.171,53,5,8,80,8,3,16,0,76.0,2,CSUN,276.88,209.05,117.12,88.84,815.81,577.84,0.15,0.1,319.23,230.56,51.73,33.0,63.82,36.65,411.0,262.12,53.5,36.46,18.67,15.4,115.0,76.08,15.67,10.77,386.63,294.79,13.43,14.0
0,0,4,38,22,168,0.095,35,3,11,84,6,4,15,2,52.5,0,Arizona,276.88,261.89,117.12,103.11,815.81,702.68,0.15,0.26,319.23,328.71,51.73,30.77,63.82,53.36,411.0,354.81,53.5,31.31,18.67,16.83,115.0,91.58,15.67,12.09,386.63,382.97,13.43,8.0
0,0,3,20,20,108,0,17,6,9,40,5,1,10,0,32.0,1,Santa Clara,276.88,201.95,117.12,86.65,815.81,562.6,0.15,0.14,319.23,208.61,51.73,33.17,63.82,47.23,411.0,265.17,53.5,33.5,18.67,10.89,115.0,87.77,15.67,15.89,386.63,300.32,13.43,14.09
1,0,4,51,20,143,0.217,50,6,12,61,6,3,14,0,67.0,1,McNeese,276.88,232.22,117.12,95.11,815.81,657.89,0.15,0.11,319.23,261.73,51.73,33.62,63.82,55.93,411.0,308.0,53.5,46.0,18.67,17.57,115.0,93.38,15.67,11.67,386.63,314.53,13.43,16.7
1,0,3,40,22,150,0.120,37,5,3,69,5,1,12,1,52.0,1,UC Santa Barbara,276.88,219.9,117.12,84.5,815.81,623.8,0.15,0.2,319.23,275.33,51.73,32.64,63.82,56.21,411.0,328.47,53.5,29.23,18.67,12.44,115.0,74.23,15.67,9.18,386.63,320.56,13.43,12.56
0,0,5,64,20,175,0.251,54,12,5,65,6,2,14,0,85.0,2,Denver,276.88,237.39,117.12,95.06,815.81,614.0,0.15,0.09,319.23,262.6,51.73,44.83,63.82,41.12,411.0,280.06,53.5,32.23,18.67,11.33,115.0,98.17,15.67,12.5,386.63,323.65,13.43,12.1
0,0,4,50,17,154,0.214,46,8,7,61,4,3,18,1,70.0,0,UC Davis,276.88,204.4,117.12,85.1,815.81,592.6,0.15,0.2,319.23,224.65,51.73,26.8,63.82,36.0,411.0,297.06,53.5,31.25,18.67,11.0,115.0,82.77,15.67,9.62,386.63,285.44,13.43,7.46
1,0,4,57,18,152,0.257,53,11,8,68,4,3,20,1,81.0,1,Nevada,276.88,244.59,117.12,106.88,815.81,704.65,0.15,0.11,319.23,264.53,51.73,39.08,63.82,49.86,411.0,327.81,53.5,44.09,18.67,10.6,115.0,77.77,15.67,13.08,386.63,327.41,13.43,10.67
1,0,4,45,15,139,0.216,44,9,6,61,5,1,28,3,69.0,2,UC Riverside,276.88,204.3,117.12,93.5,815.81,608.5,0.15,0.2,319.23,214.83,51.73,23.4,63.82,34.88,411.0,287.37,53.5,21.37,18.67,15.56,115.0,67.79,15.67,11.71,386.63,265.76,13.43,10.29
0,0,5,64,27,173,0.214,60,7,12,77,5,2,18,3,82.0,0,Seattle U,276.88,244.94,117.12,111.76,815.81,701.65,0.15,0.22,319.23,280.64,51.73,38.69,63.82,43.36,411.0,336.27,53.5,44.08,18.67,14.89,115.0,109.64,15.67,14.45,386.63,360.27,13.43,14.6
0,0,3,24,19,98,0.051,24,5,5,41,10,1,12,0,36.0,2,Washington,276.88,271.83,117.12,109.83,815.81,715.5,0.15,0.3,319.23,288.5,51.73,39.36,63.82,47.4,411.0,321.88,53.5,46.45,18.67,17.8,115.0,123.83,15.67,16.08,386.63,424.33,13.43,6.45
0,0,3,30,22,95,0.084,29,2,3,41,7,5,8,0,41.0,1,Portland,276.88,295.75,117.12,111.0,815.81,787.75,0.15,0.23,319.23,345.0,51.73,53.8,63.82,75.18,411.0,375.0,53.5,45.45,18.67,14.11,115.0,114.45,15.67,20.38,386.63,401.77,13.43,13.43
0,0,3,22,21,95,0.011,22,1,5,37,7,1,10,2,29.0,2,Boise St.,276.88,275.8,117.12,122.87,815.81,774.0,0.15,0.16,319.23,299.77,51.73,42.55,63.82,60.45,411.0,360.69,53.5,35.08,18.67,12.0,115.0,111.08,15.67,15.92,386.63,388.21,13.43,13.0
0,0,5,60,25,162,0.216,57,6,18/,53,6,4,18,0,79.0,1,Montana,276.88,251.88,117.12,112.76,815.81,720.12,0.15,0.2,319.23,334.67,51.73,36.92,63.82,44.14,411.0,346.87,53.5,44.27,18.67,11.08,115.0,86.77,15.67,11.58,386.63,361.47,13.43,12.12
1,0,4,55,18,153,0.242,49,6,7,64,3,6,18,1,76.0,1,Montana St.,276.88,247.82,117.12,107.0,815.81,719.35,0.15,0.07,319.23,231.71,51.73,34.92,63.82,45.29,411.0,332.56,53.5,34.08,18.67,12.56,115.0,93.08,15.67,16.33,386.63,331.47,13.43,16.38
1,0,4,56,14,123,0.341,56,11,14,52,9,1,12,1,74.0,2,Southern Utah,276.88,257.5,117.12,105.0,815.81,753.31,0.15,0.12,319.23,297.46,51.73,36.5,63.82,56.57,411.0,376.79,53.5,45.27,18.67,11.1,115.0,86.75,15.67,11.4,386.63,399.19,13.43,13.88
1,0,5,62,19,177,0.243,53,7,8,85,8,2,20,4,81.0,1,Northern Ariz.,276.88,322.06,117.12,114.75,815.81,942.88,0.15,0.19,319.23,407.33,51.73,45.67,63.82,60.83,411.0,550.08,53.5,49.0,18.67,21.0,115.0,129.9,15.67,18.7,386.63,467.11,13.43,16.83
