Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,3,36,25,110,0.100,34,5,9,45,4,1,11,0,47.5,1,Stony Brook,230.18,228.28,101.76,86.11,632.35,643.11,0.23,0.06,226.06,256.13,36.77,35.45,43.67,39.85,276.69,344.67,44.0,29.92,9.9,16.22,81.54,81.0,8.38,11.75,313.75,363.61,17.43,9.75
0,0,4,42,29,120,0.108,37,10,10,41,8,1,4,1,55.0,3,South Fla.,230.18,248.5,101.76,97.45,632.35,706.25,0.23,0.22,226.06,275.18,36.77,38.83,43.67,38.08,276.69,367.94,44.0,30.44,9.9,17.89,81.54,96.0,8.38,15.64,313.75,365.94,17.43,12.82
1,0,3,48,18,96,0.312,43,2,9,45,2,1,6,1,54.0,5,Jacksonville,230.18,241.27,101.76,114.73,632.35,683.47,0.23,0.12,226.06,257.15,36.77,34.07,43.67,58.93,276.69,284.64,44.0,39.08,9.9,24.71,81.54,65.17,8.38,13.2,313.75,332.86,17.43,12.6
1,0,3,42,14,93,0.301,38,6,6,35,2,0,6,0,51.0,0,Alabama St.,230.18,225.33,101.76,115.1,632.35,626.71,0.23,0.06,226.06,230.11,36.77,42.56,43.67,41.83,276.69,289.78,44.0,43.41,9.9,24.4,81.54,78.54,8.38,12.9,313.75,324.61,17.43,11.54
1,0,3,43,14,116,0.250,37,5,10,56,1,1,10,0,54.0,0,Northern Colo.,230.18,265.56,101.76,112.25,632.35,765.56,0.23,0.07,226.06,308.0,36.77,45.1,43.67,50.33,276.69,363.0,44.0,31.08,9.9,12.44,81.54,67.5,8.38,12.56,313.75,367.82,17.43,8.62
1,0,5,54,23,148,0.209,52,5,5,55,4,1,17,0,68.5,0,Pacific,230.18,311.57,101.76,135.71,632.35,822.71,0.23,0.11,226.06,345.33,36.77,44.6,43.67,66.1,276.69,419.27,44.0,38.0,9.9,13.44,81.54,102.3,8.38,13.4,313.75,453.38,17.43,13.14
0,0,5,74/,31,171,0.251,67,10,17,60,7,0,16,1,92.0,1,North Florida,230.18,246.26,101.76,105.58,632.35,677.11,0.23,0.11,226.06,313.29,36.77,30.77,43.67,38.8,276.69,305.53,44.0,37.92,9.9,16.2,81.54,78.13,8.38,12.75,313.75,323.72,17.43,15.0
0,0,3,33,17,96,0.167,29,1,3,34,7,1,4,3,37.0,2,Fla. Atlantic,230.18,247.24,101.76,89.59,632.35,608.29,0.23,0.25,226.06,284.07,36.77,40.64,43.67,40.0,276.69,279.2,44.0,27.71,9.9,13.85,81.54,74.18,8.38,12.0,313.75,327.38,17.43,8.17
1,0,3,48,14,105,0.324,41,3,9,48,5,0,18,1,60.0,2,South Dakota St.,230.18,241.75,101.76,108.25,632.35,688.38,0.23,0.16,226.06,277.92,36.77,33.58,43.67,39.77,276.69,304.2,44.0,40.27,9.9,14.33,81.54,113.33,8.38,14.78,313.75,377.69,17.43,8.44
0,0,3,28,26,112,0.018,28,3,10,41,4,2,8,0,37.0,2,Wyoming,230.18,263.88,101.76,109.12,632.35,718.29,0.23,0.29,226.06,277.73,36.77,27.08,43.67,46.33,276.69,313.38,44.0,25.0,9.9,21.14,81.54,118.69,8.38,13.0,313.75,358.16,17.43,11.89
