Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,4,37,22,124,0.121,36,4,3,54,13,1,4,1,44.0,1,Loyola Maryland,184.85,251.67,88.0,115.5,552.85,754.17,0.09,0.16,180.37,304.21,28.53,29.33,37.44,46.77,243.21,415.33,38.8,32.91,12.44,15.56,53.53,131.2,6.5,16.67,260.86,334.0,14.86,14.5
0,0,3,29,20,101,0.089,25,1,6,35,8,0,2,2,31.0,1,Radford,184.85,200.25,88.0,88.4,552.85,564.45,0.09,0.17,180.37,233.06,28.53,40.5,37.44,42.85,243.21,270.61,38.8,39.55,12.44,9.25,53.53,64.57,6.5,9.47,260.86,297.29,14.86,15.5
0,0,3,20,11,76,0.118,20,6,2,21,9,0,4,0,28.0,5,Towson,184.85,216.36,88.0,87.05,552.85,600.41,0.09,0.2,180.37,277.0,28.53,37.0,37.44,43.27,243.21,333.82,38.8,30.73,12.44,17.0,53.53,112.58,6.5,11.92,260.86,317.5,14.86,15.27
0,0,5,49,26,166,0.139,48,9,9,78,10,1,10,1,64.0,0,Cornell,184.85,149.39,88.0,67.83,552.85,434.87,0.09,0.12,180.37,189.76,28.53,24.67,37.44,34.06,243.21,206.05,38.8,30.85,12.44,8.25,53.53,68.87,6.5,8.83,260.86,221.08,14.86,12.75
0,0,3,26,18,80,0.100,24,1,5,21,13,2,6,0,32.0,2,Buffalo,184.85,293.53,88.0,119.07,552.85,785.47,0.09,0.15,180.37,314.23,28.53,35.08,37.44,53.25,243.21,382.46,38.8,33.42,12.44,21.67,53.53,111.11,6.5,18.3,260.86,424.54,14.86,15.0
0,0,3,25,21,112,0.036,22,2,12,46,5,1,6,0,31.0,0,Dartmouth,184.85,149.76,88.0,66.9,552.85,439.0,0.09,0.07,180.37,165.56,28.53,20.47,37.44,30.94,243.21,205.79,38.8,26.25,12.44,13.18,53.53,76.08,6.5,6.29,260.86,215.34,14.86,9.89
0,0,3,26,15,92,0.120,24,3,7,35,7,3,4,0,34.0,0,Boston College,184.85,196.36,88.0,84.77,552.85,542.0,0.09,0.12,180.37,238.24,28.53,22.53,37.44,35.87,243.21,269.33,38.8,23.85,12.44,18.0,53.53,77.07,6.5,11.36,260.86,300.75,14.86,11.67
1,0,3,41,8,83,0.398,39,7,13,42,4,2,6,0,53.0,0,Lafayette,184.85,199.12,88.0,91.65,552.85,580.94,0.09,0.11,180.37,209.93,28.53,28.0,37.44,46.33,243.21,266.2,38.8,33.64,12.44,9.73,53.53,62.83,6.5,4.7,260.86,285.93,14.86,4.17
0,0,5,53,30,156,0.147,47,9,10,64,4,1,10,0,68.0,4,Binghamton,184.85,172.0,88.0,81.42,552.85,513.26,0.09,-0.04,180.37,216.21,28.53,33.7,37.44,32.31,243.21,241.53,38.8,31.67,12.44,10.0,53.53,65.92,6.5,6.3,260.86,242.56,14.86,12.33
0,0,4,61,20,163,0.252,58,3,12,74,3,0,8,0,68.0,1,Niagara,184.85,255.93,88.0,102.8,552.85,745.8,0.09,0.13,180.37,257.64,28.53,35.45,37.44,41.42,243.21,350.14,38.8,42.82,12.44,12.12,53.53,75.0,6.5,10.78,260.86,341.14,14.86,10.82
0,0,4,35,22,132,0.098,34,1,5,48,8,2,8,0,42.0,6,Canisius,184.85,226.0,88.0,83.61,552.85,619.06,0.09,0.12,180.37,267.14,28.53,35.54,37.44,51.75,243.21,306.19,38.8,33.46,12.44,10.33,53.53,81.9,6.5,10.56,260.86,314.53,14.86,9.0
0,0,4,36,19,125,0.136,33,4,7,43,6,0,10,0,45.0,3,Marist,184.85,244.41,88.0,113.94,552.85,693.06,0.09,0.21,180.37,244.94,28.53,39.62,37.44,44.47,243.21,311.94,38.8,46.25,12.44,11.8,53.53,82.77,6.5,9.38,260.86,332.88,14.86,20.0
0,0,3,24,15,95,0.095,23,1,7,35,6,0,2,2,26.0,8,Rider,184.85,215.47,88.0,100.11,552.85,652.74,0.09,0.15,180.37,239.94,28.53,37.46,37.44,40.6,243.21,326.41,38.8,35.69,12.44,17.5,53.53,68.0,6.5,12.15,260.86,294.5,14.86,13.86
0,0,3,27,18,90,0.100,22,3,2,36,10,0,8,3,34.0,1,Saint Peter's,184.85,200.05,88.0,91.68,552.85,611.73,0.09,0.05,180.37,257.25,28.53,34.4,37.44,43.61,243.21,312.89,38.8,43.85,12.44,14.7,53.53,65.86,6.5,15.73,260.86,276.25,14.86,6.33
0,0,3,21,22,104,-0.010,18,2,2,41,7,0,4,0,25.0,5,Fairfield,184.85,207.37,88.0,104.68,552.85,613.42,0.09,0.19,180.37,268.0,28.53,33.42,37.44,33.8,243.21,321.06,38.8,35.58,12.44,12.36,53.53,65.93,6.5,10.75,260.86,274.36,14.86,34.83
0,0,3,14,18,87,-0.046,12,2,4,40,5,4,8,0,24.0,5,Iona,184.85,246.12,88.0,106.44,552.85,693.19,0.09,0.15,180.37,267.71,28.53,35.25,37.44,52.43,243.21,344.07,38.8,26.79,12.44,13.8,53.53,73.92,6.5,11.5,260.86,353.04,14.86,19.17
0,0,3,23,16,99,0.071,18,5,5,32,7,2,2,0,31.0,3,Manhattan,184.85,178.21,88.0,86.37,552.85,538.74,0.09,0.09,180.37,194.31,28.53,37.53,37.44,43.84,243.21,254.12,38.8,38.39,12.44,12.2,53.53,54.93,6.5,13.69,260.86,268.12,14.86,13.3
0,0,3,21,17,82,0.049,20,3,5,36,12,1,4,1,27.0,0,Marist,184.85,244.41,88.0,113.94,552.85,693.06,0.09,0.21,180.37,244.94,28.53,39.62,37.44,44.47,243.21,311.94,38.8,46.25,12.44,11.8,53.53,82.77,6.5,9.38,260.86,332.88,14.86,20.0
