BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,248.5,230.18,97.45,101.76,706.25,632.35,0.22,0.23,275.18,226.06,38.83,36.77,38.08,43.67,367.94,276.69,30.44,44.0,17.89,9.9,96.0,81.54,15.64,8.38,365.94,313.75,12.82,17.43,1,0,4,40,16,104,0.231,38,8,5,37,10,1,15,2,56.5
3,248.5,241.27,97.45,114.73,706.25,683.47,0.22,0.12,275.18,257.15,38.83,34.07,38.08,58.93,367.94,284.64,30.44,39.08,17.89,24.71,96.0,65.17,15.64,13.2,365.94,332.86,12.82,12.6,1,0,5,49,21,153,0.183,41,7,3,66,10,4,18,4,69.0
3,248.5,228.28,97.45,86.11,706.25,643.11,0.22,0.06,275.18,256.13,38.83,35.45,38.08,39.85,367.94,344.67,30.44,29.92,17.89,16.22,96.0,81.0,15.64,11.75,365.94,363.61,12.82,9.75,1,0,5,64,21,192,0.224,60,4,2,93,8,2,10,1,75.0
3,248.5,238.61,97.45,93.17,706.25,634.5,0.22,0.16,275.18,269.93,38.83,34.1,38.08,52.42,367.94,267.29,30.44,25.92,17.89,12.0,96.0,103.31,15.64,12.5,365.94,339.22,12.82,12.0,0,0,4,44,26,181,0.099,42,2,3,93,6,0,6,0,49.0
2,248.5,229.89,97.45,95.17,706.25,649.72,0.22,0.16,275.18,238.56,38.83,32.46,38.08,41.75,367.94,293.82,30.44,28.19,17.89,10.89,96.0,52.8,15.64,7.11,365.94,297.29,12.82,11.42,1,0,5,63,25,194,0.196,54,7,4,102,4,3,12,2,79.0
2,248.5,273.75,97.45,110.75,706.25,759.94,0.22,0.16,275.18,285.79,38.83,29.85,38.08,52.62,367.94,345.47,30.44,30.38,17.89,16.09,96.0,84.83,15.64,15.36,365.94,389.57,12.82,12.25,1,0,5,43,22,151,0.139,42,8,8,75,8,1,14,0,59.0
1,248.5,230.81,97.45,111.88,706.25,705.94,0.22,0.16,275.18,288.17,38.83,42.0,38.08,51.27,367.94,356.86,30.44,34.08,17.89,9.44,96.0,84.58,15.64,12.73,365.94,313.7,12.82,10.0,1,0,4,49,22,148,0.182,47,12,8,65,2,2,17,2,71.5
3,248.5,193.53,97.45,100.47,706.25,601.74,0.22,0.09,275.18,245.07,38.83,40.33,38.08,52.17,367.94,294.88,30.44,36.15,17.89,16.5,96.0,71.69,15.64,13.44,365.94,297.44,12.82,12.5,1,0,3,40,10,108,0.278,38,7,2,57,5,1,20,1,58.0
2,248.5,217.8,97.45,97.45,706.25,621.95,0.22,0.2,275.18,215.89,38.83,32.93,38.08,40.71,367.94,274.05,30.44,32.4,17.89,11.08,96.0,86.73,15.64,13.55,365.94,296.5,12.82,19.8,1,0,3,49,13,101,0.356,44,5,7,48,4,2,6,0,59.0
0,248.5,230.65,97.45,94.95,706.25,675.65,0.22,0.18,275.18,305.93,38.83,33.25,38.08,32.94,367.94,339.89,30.44,29.57,17.89,15.09,96.0,82.69,15.64,12.42,365.94,336.21,12.82,15.29,1,0,3,54,15,133,0.293,53,3,4,69,4,2,6,0,62.0
3,248.5,244.53,97.45,96.47,706.25,708.05,0.22,0.17,275.18,310.64,38.83,30.38,38.08,39.81,367.94,334.33,30.44,28.29,17.89,18.83,96.0,96.0,15.64,25.09,365.94,346.53,12.82,10.22,0,0,5,66,24,176,0.239,60,5,4,84,6,1,16,4,80.0
