BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,206.53,234.11,98.24,99.0,589.82,673.61,0.19,0.16,203.56,246.19,29.83,38.5,44.54,45.29,247.5,334.69,31.29,39.25,17.56,13.56,56.54,86.58,8.55,8.69,258.5,332.34,20.33,7.83,0,0,3,34,20,95,0.147,31,4,5,34,3,1,8,0,43.0
0,206.53,220.06,98.24,113.65,589.82,657.82,0.19,0.05,203.56,203.0,29.83,37.85,44.54,40.12,247.5,290.25,31.29,34.13,17.56,14.5,56.54,69.64,8.55,14.55,258.5,305.91,20.33,16.25,1,0,4,54,18,137,0.263,51,4,6,62,5,2,6,0,63.0
1,206.53,234.78,98.24,111.5,589.82,669.67,0.19,0.16,203.56,285.21,29.83,41.91,44.54,50.53,247.5,290.41,31.29,62.29,17.56,20.1,56.54,91.67,8.55,10.6,258.5,319.88,20.33,8.33,0,0,3,16,25,84,-0.107,15,2,4,29,5,2,2,0,21.0
1,206.53,292.29,98.24,111.59,589.82,781.12,0.19,0.23,203.56,330.36,29.83,41.21,44.54,54.38,247.5,379.6,31.29,46.55,17.56,13.62,56.54,101.85,8.55,16.55,258.5,394.81,20.33,13.5,0,0,3,23,16,83,0.084,19,2,5,31,4,1,6,3,29.0
2,206.53,223.9,98.24,104.25,589.82,631.6,0.19,0.11,203.56,246.12,29.83,26.6,44.54,46.13,247.5,282.37,31.29,28.13,17.56,18.08,56.54,78.14,8.55,14.08,258.5,296.89,20.33,11.5,0,0,3,26,12,87,0.161,23,3,1,39,10,3,6,1,35.0
0,206.53,236.78,98.24,104.17,589.82,623.39,0.19,0.18,203.56,243.38,29.83,34.08,44.54,42.2,247.5,261.0,31.29,34.23,17.56,23.67,56.54,81.31,8.55,9.7,258.5,340.41,20.33,21.0,0,0,3,27,20,96,0.073,26,1,4,30,3,3,6,0,34.0
4,206.53,214.44,98.24,96.78,589.82,642.5,0.19,0.05,203.56,236.0,29.83,35.0,44.54,36.36,247.5,336.93,31.29,44.2,17.56,14.64,56.54,79.64,8.55,10.18,258.5,325.27,20.33,11.38,0,0,3,30,19,99,0.111,28,3,3,47,6,2,16,0,43.0
2,206.53,221.22,98.24,97.44,589.82,619.28,0.19,0.2,203.56,309.92,29.83,31.08,44.54,49.75,247.5,273.41,31.29,43.64,17.56,20.27,56.54,65.23,8.55,9.9,258.5,296.06,20.33,9.86,0,0,4,35,18,126,0.135,32,3,3,48,9,0,16,0,46.0
0,206.53,278.1,98.24,118.1,589.82,774.9,0.19,0.19,203.56,295.44,29.83,39.29,44.54,45.38,247.5,355.11,31.29,37.77,17.56,11.09,56.54,141.67,8.55,16.31,258.5,393.56,20.33,12.1,0,0,3,18,19,96,-0.010,17,0,2,33,6,0,6,1,21.0
3,206.53,220.06,98.24,113.65,589.82,657.82,0.19,0.05,203.56,203.0,29.83,37.85,44.54,40.12,247.5,290.25,31.29,34.13,17.56,14.5,56.54,69.64,8.55,14.55,258.5,305.91,20.33,16.25,0,0,5,40,35,155,0.032,34,7,9,48,9,1,10,5,53.0
