Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,4,53,21,154,0.208,46,6,1,81,5,1,4,2,62.0,0,Tennessee St.,247.19,254.12,100.0,117.94,731.56,771.75,0.1,-0.02,242.87,294.54,28.77,27.23,34.79,51.31,358.73,386.64,26.07,26.2,16.77,15.11,72.77,109.4,14.15,21.2,334.67,364.5,15.5,20.5
1,0,3,42,14,110,0.255,39,8,6,42,1,4,6,1,57.0,0,Florida A&M,247.19,244.93,100.0,114.0,731.56,730.8,0.1,0.13,242.87,259.85,28.77,38.4,34.79,50.7,358.73,363.46,26.07,37.64,16.77,15.45,72.77,69.62,14.15,17.36,334.67,360.04,15.5,14.62
1,0,5,64,21,157,0.274,59,11,4,78,4,3,14,1,85.0,1,FIU,247.19,229.89,100.0,101.11,731.56,646.84,0.1,0.11,242.87,273.53,28.77,35.58,34.79,54.31,358.73,319.19,26.07,30.38,16.77,13.64,72.77,113.27,14.15,15.6,334.67,397.71,15.5,15.0
0,0,5,55,21,164,0.207,53,6,6,71,6,4,24,2,77.0,4,Troy,247.19,234.78,100.0,111.5,731.56,669.67,0.1,0.16,242.87,285.21,28.77,41.91,34.79,50.53,358.73,290.41,26.07,62.29,16.77,20.1,72.77,91.67,14.15,10.6,334.67,319.88,15.5,8.33
0,0,3,33,11,103,0.214,32,1,6,50,7,4,10,4,43.0,0,Austin Peay,247.19,268.06,100.0,104.56,731.56,748.22,0.1,0.11,242.87,265.59,28.77,33.08,34.79,38.93,358.73,375.06,26.07,33.17,16.77,23.82,72.77,85.27,14.15,21.2,334.67,374.12,15.5,10.38
1,0,4,54,10,128,0.344,51,7,7,65,3,0,18,2,70.0,3,Middle Tenn.,247.19,240.33,100.0,106.93,731.56,677.53,0.1,0.17,242.87,277.83,28.77,30.85,34.79,56.29,358.73,293.57,26.07,39.36,16.77,12.17,72.77,59.15,14.15,13.54,334.67,324.04,15.5,14.1
1,0,4,56,16,150,0.267,52,3,5,68,1,1,24,2,72.0,3,Grambling,247.19,197.9,100.0,102.71,731.56,589.29,0.1,0.01,242.87,204.16,28.77,32.0,34.79,32.2,358.73,268.63,26.07,28.89,16.77,16.27,72.77,77.21,14.15,10.8,334.67,280.18,15.5,14.07
0,0,4,46,25,145,0.145,41,1,5,68,8,1,10,3,53.0,1,SFA,247.19,231.25,100.0,94.25,731.56,664.25,0.1,0.2,242.87,285.8,28.77,37.15,34.79,48.54,358.73,371.88,26.07,47.0,16.77,15.22,72.77,118.25,14.15,11.9,334.67,350.26,15.5,13.9
0,0,4,38,21,152,0.112,35,5,4,60,7,5,20,5,58.0,0,Brown,247.19,168.05,100.0,66.95,731.56,488.55,0.1,0.15,242.87,203.12,28.77,31.58,34.79,38.08,358.73,246.37,26.07,26.33,16.77,11.1,72.77,71.14,14.15,13.5,334.67,234.25,15.5,19.11
1,0,5,64,19,201,0.224,59,4,5,114,5,5,22,3,84.0,0,Chicago St.,247.19,269.24,100.0,129.0,731.56,821.35,0.1,0.06,242.87,307.5,28.77,34.58,34.79,36.46,358.73,383.12,26.07,31.17,16.77,15.0,72.77,93.83,14.15,15.31,334.67,357.5,15.5,13.38
