Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,3,37,20,111,0.153,35,4,4,44,5,1,10,0,47.0,0,San Jose St.,228.28,230.18,86.11,101.76,643.11,632.35,0.06,0.23,256.13,226.06,35.45,36.77,39.85,43.67,344.67,276.69,29.92,44.0,16.22,9.9,81.0,81.54,11.75,8.38,363.61,313.75,9.75,17.43
1,0,5,62,18,147,0.299,59,6,6,68,12,1,12,1,75.0,0,Jacksonville,228.28,241.27,86.11,114.73,643.11,683.47,0.06,0.12,256.13,257.15,35.45,34.07,39.85,58.93,344.67,284.64,29.92,39.08,16.22,24.71,81.0,65.17,11.75,13.2,363.61,332.86,9.75,12.6
0,0,5,67,29,195,0.195,62,8,9,93,4,1,11,0,81.5,1,South Fla.,228.28,248.5,86.11,97.45,643.11,706.25,0.06,0.22,256.13,275.18,35.45,38.83,39.85,38.08,344.67,367.94,29.92,30.44,16.22,17.89,81.0,96.0,11.75,15.64,363.61,365.94,9.75,12.82
0,0,3,44,10,118,0.288,42,2,6,42,7,0,4,3,48.0,0,Hofstra,228.28,292.29,86.11,111.59,643.11,781.12,0.06,0.23,256.13,330.36,35.45,41.21,39.85,54.38,344.67,379.6,29.92,46.55,16.22,13.62,81.0,101.85,11.75,16.55,363.61,394.81,9.75,13.5
0,0,4,49,22,162,0.167,43,7,8,76,5,7/,4,0,65.0,3,Maryland,228.28,253.0,86.11,107.71,643.11,708.88,0.06,0.12,256.13,334.92,35.45,41.18,39.85,42.6,344.67,337.2,29.92,36.5,16.22,20.33,81.0,102.18,11.75,17.0,363.61,392.79,9.75,13.14
0,0,3,36,19,126,0.135,34,3,5,44,3,3,12,0,48.0,2,Akron,228.28,212.89,86.11,87.67,643.11,600.0,0.06,0.13,256.13,236.8,35.45,40.09,39.85,44.36,344.67,258.29,29.92,40.45,16.22,11.44,81.0,63.14,11.75,8.0,363.61,283.41,9.75,15.25
1,0,4,53,15,143,0.266,48,6,9,45,4,1,10,0,65.0,0,Canisius,228.28,226.0,86.11,83.61,643.11,619.06,0.06,0.12,256.13,267.14,35.45,35.54,39.85,51.75,344.67,306.19,29.92,33.46,16.22,10.33,81.0,81.9,11.75,10.56,363.61,314.53,9.75,9.0
1,0,3,39,14,88,0.284,38,7,9,39,8,2,4,1,50.0,0,McNeese,228.28,232.22,86.11,95.11,643.11,657.89,0.06,0.11,256.13,261.73,35.45,33.62,39.85,55.93,344.67,308.0,29.92,46.0,16.22,17.57,81.0,93.38,11.75,11.67,363.61,314.53,9.75,16.7
0,0,3,24,18,100,0.060,24,2,6,40,6,0,10,3,31.0,0,Illinois St.,228.28,259.39,86.11,97.83,643.11,731.67,0.06,0.21,256.13,272.62,35.45,32.09,39.85,53.82,344.67,396.27,29.92,25.69,16.22,10.91,81.0,95.58,11.75,10.57,363.61,357.22,9.75,8.5
0,0,3,25,19,102,0.059,23,2,7,46,5,0,5,1,29.5,1,Washington St.,228.28,363.79,86.11,142.21,643.11,1000.14,0.06,0.3,256.13,396.0,35.45,48.8,39.85,70.73,344.67,463.15,29.92,44.2,16.22,21.78,81.0,171.89,11.75,18.33,363.61,503.88,9.75,10.0
0,0,5,62,21,176,0.233,56,3,9,76,8,3,8,0,72.0,0,Bryant,228.28,296.17,86.11,138.89,643.11,853.06,0.06,0.17,256.13,312.44,35.45,41.08,39.85,52.5,344.67,389.88,29.92,42.36,16.22,19.25,81.0,104.08,11.75,16.27,363.61,388.38,9.75,21.67
1,0,3,37,18,119,0.160,35,1,8,59,2,2,13,0,46.5,0,Delaware,228.28,228.06,86.11,97.56,643.11,694.11,0.06,0.04,256.13,275.21,35.45,35.73,39.85,41.54,344.67,379.33,29.92,33.0,16.22,8.88,81.0,90.33,11.75,12.6,363.61,365.07,9.75,18.14
1,0,3,46,3,104,0.413,43,6,4,54,1,2,4,0,56.0,0,Colgate,228.28,194.6,86.11,79.5,643.11,551.7,0.06,0.17,256.13,225.69,35.45,26.13,39.85,34.0,344.67,266.56,29.92,28.5,16.22,15.7,81.0,64.08,11.75,13.6,363.61,269.86,9.75,11.25
1,0,3,50,15,118,0.297,46,8,8,43,2,3,12,1,67.0,1,Hartford,228.28,206.88,86.11,79.56,643.11,543.94,0.06,0.18,256.13,220.79,35.45,31.7,39.85,35.46,344.67,227.47,29.92,28.83,16.22,11.7,81.0,67.17,11.75,9.45,363.61,276.47,9.75,11.83
1,0,3,40,5,81,0.432,37,5,2,42,4,2,16,2,55.0,1,UMass Lowell,228.28,181.11,86.11,95.33,643.11,541.39,0.06,0.09,256.13,202.53,35.45,26.14,39.85,35.47,344.67,230.47,29.92,31.15,16.22,11.75,81.0,63.69,11.75,7.62,363.61,243.18,9.75,20.75
1,0,4,56,20,160,0.225,53,4,3,87,3,1,10,1,66.0,2,New Hampshire,228.28,203.8,86.11,88.15,643.11,596.0,0.06,0.06,256.13,255.2,35.45,32.83,39.85,35.36,344.67,294.89,29.92,36.18,16.22,10.31,81.0,54.06,11.75,9.83,363.61,279.81,9.75,10.92
1,0,3,44,14,111,0.270,42,2,4,61,2,4,10,0,55.0,2,Binghamton,228.28,172.0,86.11,81.42,643.11,513.26,0.06,-0.04,256.13,216.21,35.45,33.7,39.85,32.31,344.67,241.53,29.92,31.67,16.22,10.0,81.0,65.92,11.75,6.3,363.61,242.56,9.75,12.33
1,0,3,45,16,113,0.257,42,3,0,57,5,0,10,0,53.0,2,UMBC,228.28,244.0,86.11,112.5,643.11,725.5,0.06,0.19,256.13,258.79,35.45,26.21,39.85,41.5,344.67,336.2,29.92,29.5,16.22,11.2,81.0,84.92,11.75,12.58,363.61,326.17,9.75,12.29
1,0,3,35,7,96,0.292,36,7,2,48,1,3,6,0,48.0,1,Hartford,228.28,206.88,86.11,79.56,643.11,543.94,0.06,0.18,256.13,220.79,35.45,31.7,39.85,35.46,344.67,227.47,29.92,28.83,16.22,11.7,81.0,67.17,11.75,9.45,363.61,276.47,9.75,11.83
1,0,3,42,7,92,0.380,41,3,4,43,1,1,16,2,54.0,0,Iona,228.28,246.12,86.11,106.44,643.11,693.19,0.06,0.15,256.13,267.71,35.45,35.25,39.85,52.43,344.67,344.07,29.92,26.79,16.22,13.8,81.0,73.92,11.75,11.5,363.61,353.04,9.75,19.17
1,0,4,59,24,196,0.179,51,4,4,87,5,1,18,2,73.0,1,New Hampshire,228.28,203.8,86.11,88.15,643.11,596.0,0.06,0.06,256.13,255.2,35.45,32.83,39.85,35.36,344.67,294.89,29.92,36.18,16.22,10.31,81.0,54.06,11.75,9.83,363.61,279.81,9.75,10.92
1,0,3,40,8,85,0.376,36,3,4,40,0,2,16,0,53.0,0,UMass Lowell,228.28,181.11,86.11,95.33,643.11,541.39,0.06,0.09,256.13,202.53,35.45,26.14,39.85,35.47,344.67,230.47,29.92,31.15,16.22,11.75,81.0,63.69,11.75,7.62,363.61,243.18,9.75,20.75
1,0,5,77/,31,229/,0.201,72/,2,5,107/,3,2,14,0,88.0,0,UMBC,228.28,244.0,86.11,112.5,643.11,725.5,0.06,0.19,256.13,258.79,35.45,26.21,39.85,41.5,344.67,336.2,29.92,29.5,16.22,11.2,81.0,84.92,11.75,12.58,363.61,326.17,9.75,12.29
1,0,3,48,14,110,0.309,43,7,3,53,4,0,16,2,63.0,1,Binghamton,228.28,172.0,86.11,81.42,643.11,513.26,0.06,-0.04,256.13,216.21,35.45,33.7,39.85,32.31,344.67,241.53,29.92,31.67,16.22,10.0,81.0,65.92,11.75,6.3,363.61,242.56,9.75,12.33
1,0,3,53,10,111,0.387,45,3,3,46,1,2,6,1,61.0,1,Hartford,228.28,206.88,86.11,79.56,643.11,543.94,0.06,0.18,256.13,220.79,35.45,31.7,39.85,35.46,344.67,227.47,29.92,28.83,16.22,11.7,81.0,67.17,11.75,9.45,363.61,276.47,9.75,11.83
0,0,3,18,21,89,-0.034,18,2,7,40,8,0,17,0,28.5,1,BYU,228.28,235.06,86.11,89.67,643.11,584.78,0.06,0.13,256.13,279.36,35.45,34.55,39.85,45.08,344.67,226.44,29.92,23.0,16.22,10.71,81.0,116.46,11.75,15.0,363.61,362.87,9.75,8.86
