BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,234.78,220.06,111.5,113.65,669.67,657.82,0.16,0.05,285.21,203.0,41.91,37.85,50.53,40.12,290.41,290.25,62.29,34.13,20.1,14.5,91.67,69.64,10.6,14.55,319.88,305.91,8.33,16.25,1,0,3,36,6,77,0.390,32,13/,9,39,2,1,8,0,54.0
0,234.78,234.11,111.5,99.0,669.67,673.61,0.16,0.16,285.21,246.19,41.91,38.5,50.53,45.29,290.41,334.69,62.29,39.25,20.1,13.56,91.67,86.58,10.6,8.69,319.88,332.34,8.33,7.83,0,0,3,31,20,94,0.117,30,3,8,31,6,2,8,0,40.0
1,234.78,206.53,111.5,98.24,669.67,589.82,0.16,0.19,285.21,203.56,41.91,29.83,50.53,44.54,290.41,247.5,62.29,31.29,20.1,17.56,91.67,56.54,10.6,8.55,319.88,258.5,8.33,20.33,1,0,3,37,7,76,0.395,36,5,14,37,2,2,10,0,49.0
0,234.78,247.19,111.5,100.0,669.67,731.56,0.16,0.1,285.21,242.87,41.91,28.77,50.53,34.79,290.41,358.73,62.29,26.07,20.1,16.77,91.67,72.77,10.6,14.15,319.88,334.67,8.33,15.5,1,0,5,75/,38,202,0.183,71/,6,13,72,6,4,16,1,93.0/
0,234.78,240.33,111.5,106.93,669.67,677.53,0.16,0.17,285.21,277.83,41.91,30.85,50.53,56.29,290.41,293.57,62.29,39.36,20.1,12.17,91.67,59.15,10.6,13.54,319.88,324.04,8.33,14.1,1,0,4,57,17,125,0.320,54,11,11,50,7,2,10,3,75.0
0,234.78,268.06,111.5,104.56,669.67,748.22,0.16,0.11,285.21,265.59,41.91,33.08,50.53,38.93,290.41,375.06,62.29,33.17,20.1,23.82,91.67,85.27,10.6,21.2,319.88,374.12,8.33,10.38,0,0,4,52,21,160,0.194,52,4,4,60,5,3,16,1,67.0
0,234.78,230.65,111.5,94.95,669.67,675.65,0.16,0.18,285.21,305.93,41.91,33.25,50.53,32.94,290.41,339.89,62.29,29.57,20.1,15.09,91.67,82.69,10.6,12.42,319.88,336.21,8.33,15.29,0,0,5,71,27,179,0.246,68,7,14,66,3,1,17,0,87.5
0,234.78,213.11,111.5,92.67,669.67,579.78,0.16,0.18,285.21,257.07,41.91,33.0,50.53,41.47,290.41,280.27,62.29,31.07,20.1,18.56,91.67,82.09,10.6,20.5,319.88,325.57,8.33,10.43,0,0,3,39,26,115,0.113,38,4,7,35,5,1,10,0,49.0
1,234.78,283.67,111.5,118.17,669.67,707.83,0.16,0.12,285.21,300.44,41.91,34.0,50.53,51.69,290.41,312.2,62.29,36.67,20.1,22.22,91.67,108.18,10.6,20.89,319.88,422.87,8.33,14.12,0,0,3,37,18,93,0.204,37,4,15,25,5,1,2,0,43.0
0,234.78,255.22,111.5,106.0,669.67,665.06,0.16,0.11,285.21,269.94,41.91,35.62,50.53,50.44,290.41,300.44,62.29,40.1,20.1,17.82,91.67,109.0,10.6,11.5,319.88,369.19,8.33,14.62,0,0,5,45,28,143,0.119,43,6,9,55,10,2,12,2,59.0
