BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,213.11,199.7,92.67,83.4,579.78,546.05,0.18,0.14,257.07,316.33,33.0,33.18,41.47,50.75,280.27,274.29,31.07,22.79,18.56,10.2,82.09,68.44,20.5,21.6,325.57,278.25,10.43,8.22,0,0,3,28,16,93,0.129,26,2,6,40,4,3,8,0,37.0
0,213.11,264.29,92.67,109.94,579.78,779.88,0.18,0.09,257.07,349.92,33.0,39.5,41.47,40.14,280.27,406.4,31.07,30.58,18.56,12.11,82.09,132.11,20.5,14.6,325.57,399.39,10.43,10.6,1,0,3,35,10,94,0.266,34,7,8,45,3,1,10,5,48.0
0,213.11,236.06,92.67,111.12,579.78,710.41,0.18,0.09,257.07,237.31,33.0,26.64,41.47,41.93,280.27,338.81,31.07,34.36,18.56,16.57,82.09,61.93,20.5,9.58,325.57,308.47,10.43,14.38,1,0,4,42,20,121,0.182,40,7,14,52,10,1,16,4,58.0
0,213.11,244.93,92.67,114.0,579.78,730.8,0.18,0.13,257.07,259.85,33.0,38.4,41.47,50.7,280.27,363.46,31.07,37.64,18.56,15.45,82.09,69.62,20.5,17.36,325.57,360.04,10.43,14.62,1,0,3,52,14,125,0.304,49,5,9,63,5,3,6,10,63.0
0,213.11,256.56,92.67,105.56,579.78,677.78,0.18,0.17,257.07,333.15,33.0,32.79,41.47,44.12,280.27,302.12,31.07,41.7,18.56,14.31,82.09,74.79,20.5,12.0,325.57,340.38,10.43,13.78,1,0,5,66,30,164,0.220,65,9,10,70,2,0,22,3,86.0
1,213.11,231.44,92.67,107.11,579.78,658.11,0.18,-0.06,257.07,244.69,33.0,31.5,41.47,41.56,280.27,315.12,31.07,38.25,18.56,15.25,82.09,82.31,20.5,23.18,325.57,329.0,10.43,16.33,0,0,3,40,12,110,0.255,39,4,2,48,5,0,8,7,48.0
2,213.11,283.38,92.67,133.12,579.78,849.19,0.18,0.11,257.07,301.93,33.0,39.23,41.47,59.0,280.27,417.29,31.07,33.43,18.56,19.1,82.09,88.25,20.5,27.58,325.57,411.75,10.43,11.12,1,0,4,57,27,164,0.183,53,6,6,68,5,4,14,12/,74.0
0,213.11,225.33,92.67,115.1,579.78,626.71,0.18,0.06,257.07,230.11,33.0,42.56,41.47,41.83,280.27,289.78,31.07,43.41,18.56,24.4,82.09,78.54,20.5,12.9,325.57,324.61,10.43,11.54,1,0,3,41,11,84,0.357,40,6,7,32,2,4,4,1,53.0
1,213.11,283.67,92.67,118.17,579.78,707.83,0.18,0.12,257.07,300.44,33.0,34.0,41.47,51.69,280.27,312.2,31.07,36.67,18.56,22.22,82.09,108.18,20.5,20.89,325.57,422.87,10.43,14.12,0,0,4,54,25,148,0.196,48,4,7,57,3,3,8,2,65.0
1,213.11,230.65,92.67,94.95,579.78,675.65,0.18,0.18,257.07,305.93,33.0,33.25,41.47,32.94,280.27,339.89,31.07,29.57,18.56,15.09,82.09,82.69,20.5,12.42,325.57,336.21,10.43,15.29,1,0,3,43,17,116,0.224,38,5,7,54,6,4,16,0,60.0
