Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,3,35,21,103,0.136,32,2,12,33,7,0,6,1,40.0,1,Utah,220.89,306.71,90.28,117.59,626.44,801.12,0.12,0.23,265.36,326.47,31.36,33.73,43.67,40.69,305.38,377.2,36.92,32.64,14.78,13.2,74.07,118.67,12.1,13.67,316.66,437.6,7.55,9.86
0,0,5,59,30,156,0.186,52,5,15,74,8,3,22,0,78.0,1,Denver,220.89,237.39,90.28,95.06,626.44,614.0,0.12,0.09,265.36,262.6,31.36,44.83,43.67,41.12,305.38,280.06,36.92,32.23,14.78,11.33,74.07,98.17,12.1,12.5,316.66,323.65,7.55,12.1
0,0,5,54,28,187,0.139,50,2,14,84,6,0,16,0,64.0,1,CSU Bakersfield,220.89,248.83,90.28,111.33,626.44,719.89,0.12,0.13,265.36,322.0,31.36,38.54,43.67,45.5,305.38,345.12,36.92,37.15,14.78,12.43,74.07,107.38,12.1,17.64,316.66,360.31,7.55,12.12
0,0,3,33,14,93,0.204,33,4,11,32,6,0,14,2,44.0,1,Georgia,220.89,245.89,90.28,101.22,626.44,662.78,0.12,0.05,265.36,348.42,31.36,40.83,43.67,57.14,305.38,283.59,36.92,36.0,14.78,10.4,74.07,89.85,12.1,11.09,316.66,329.65,7.55,13.83
0,0,4,47,24,140,0.164,40,4,5,53,5,1,10,3,57.0,2,Texas Tech,220.89,184.83,90.28,76.26,626.44,502.13,0.12,0.17,265.36,248.94,31.36,23.31,43.67,38.29,305.38,239.8,36.92,31.42,14.78,11.2,74.07,93.79,12.1,12.2,316.66,245.11,7.55,16.0
1,0,3,49,12,126,0.294,49,6,6,61,4,2,10,0,62.0,1,Bowling Green,220.89,201.48,90.28,88.24,626.44,658.62,0.12,0.2,265.36,231.06,31.36,29.4,43.67,43.62,305.38,337.1,36.92,27.2,14.78,15.36,74.07,84.77,12.1,11.09,316.66,299.56,7.55,15.83
1,0,3,45,17,117,0.239,42,5,9,53,3,1,6,1,54.0,1,Cleveland St.,220.89,226.26,90.28,102.42,626.44,706.58,0.12,0.13,265.36,270.27,31.36,20.33,43.67,33.56,305.38,377.18,36.92,23.85,14.78,14.56,74.07,132.36,12.1,17.0,316.66,321.35,7.55,9.86
0,0,3,33,18,97,0.155,32,1,5,39,10,1,6,0,38.0,2,Illinois,220.89,327.44,90.28,123.25,626.44,837.75,0.12,0.24,265.36,353.64,31.36,51.09,43.67,70.83,305.38,392.93,36.92,43.27,14.78,17.89,74.07,152.0,12.1,18.89,316.66,480.14,7.55,9.5
1,0,4,48,19,132,0.220,48,8,7,64,6,4,20,2,70.0,0,Pepperdine,220.89,227.74,90.28,86.21,626.44,603.37,0.12,0.14,265.36,292.07,31.36,35.15,43.67,50.29,305.38,278.82,36.92,29.92,14.78,13.0,74.07,96.83,12.1,16.12,316.66,341.81,7.55,9.71
1,0,3,45,13,126,0.254,42,7,7,50,1,2,4,4,56.0,2,Fresno St.,220.89,308.81,90.28,127.75,626.44,845.12,0.12,0.23,265.36,309.2,31.36,42.92,43.67,56.69,305.38,387.4,36.92,36.93,14.78,22.67,74.07,135.9,12.1,18.2,316.66,422.63,7.55,12.25
1,0,3,47,14,107,0.308,42,4,9,52,5,1,3,0,53.5,0,Southern Utah,220.89,257.5,90.28,105.0,626.44,753.31,0.12,0.12,265.36,297.46,31.36,36.5,43.67,56.57,305.38,376.79,36.92,45.27,14.78,11.1,74.07,86.75,12.1,11.4,316.66,399.19,7.55,13.88
1,0,4,49,15,150,0.227,44,5,10,65,8,0,17,3,62.5,0,UC Santa Barbara,220.89,219.9,90.28,84.5,626.44,623.8,0.12,0.2,265.36,275.33,31.36,32.64,43.67,56.21,305.38,328.47,36.92,29.23,14.78,12.44,74.07,74.23,12.1,9.18,316.66,320.56,7.55,12.56
0,0,5,58,19,188,0.207,54,4,8,86,11,3,24,1,77.0,1,Hawaii,220.89,218.5,90.28,92.22,626.44,622.0,0.12,0.17,265.36,247.53,31.36,28.83,43.67,48.57,305.38,284.88,36.92,23.92,14.78,12.67,74.07,79.08,12.1,9.08,316.66,288.65,7.55,8.0
1,0,3,47,5,84,0.500,42,3,8,42,0,0,10,1,55.0,1,UC Davis,220.89,204.4,90.28,85.1,626.44,592.6,0.12,0.2,265.36,224.65,31.36,26.8,43.67,36.0,305.38,297.06,36.92,31.25,14.78,11.0,74.07,82.77,12.1,9.62,316.66,285.44,7.55,7.46
1,0,4,52,17,120,0.292,47,5,8,45,8,4,16,1,69.0,2,Long Beach St.,220.89,240.78,90.28,94.17,626.44,650.28,0.12,0.09,265.36,269.07,31.36,31.85,43.67,46.67,305.38,325.73,36.92,26.0,14.78,18.11,74.07,89.85,12.1,19.27,316.66,343.44,7.55,17.91
1,0,3,37,15,102,0.216,33,7,3,49,5,3,8,1,51.0,0,CSUN,220.89,209.05,90.28,88.84,626.44,577.84,0.12,0.1,265.36,230.56,31.36,33.0,43.67,36.65,305.38,262.12,36.92,36.46,14.78,15.4,74.07,76.08,12.1,10.77,316.66,294.79,7.55,14.0
1,0,3,44,9,103,0.340,41,4,6,43,3,2,4,2,52.0,1,Cal St. Fullerton,220.89,153.35,90.28,70.26,626.44,458.65,0.12,0.08,265.36,183.56,31.36,22.22,43.67,24.89,305.38,217.71,36.92,28.38,14.78,7.73,74.07,52.88,12.1,15.1,316.66,211.14,7.55,11.0
1,0,3,45,15,128,0.234,41,7,4,69,4,1,8,0,57.0,0,UC Riverside,220.89,204.3,90.28,93.5,626.44,608.5,0.12,0.2,265.36,214.83,31.36,23.4,43.67,34.88,305.38,287.37,36.92,21.37,14.78,15.56,74.07,67.79,12.1,11.71,316.66,265.76,7.55,10.29
0,0,5,50,31,165,0.115,47,5,10,66,10,2,14,2,64.0,1,UC Davis,220.89,204.4,90.28,85.1,626.44,592.6,0.12,0.2,265.36,224.65,31.36,26.8,43.67,36.0,305.38,297.06,36.92,31.25,14.78,11.0,74.07,82.77,12.1,9.62,316.66,285.44,7.55,7.46
1,0,4,55,21,141,0.241,54,4,4,66,4,1,22,0,71.0,1,CSUN,220.89,209.05,90.28,88.84,626.44,577.84,0.12,0.1,265.36,230.56,31.36,33.0,43.67,36.65,305.38,262.12,36.92,36.46,14.78,15.4,74.07,76.08,12.1,10.77,316.66,294.79,7.55,14.0
1,0,4,61,26,161,0.217,57,4,1,73,3,1,18,1,75.0,1,Long Beach St.,220.89,240.78,90.28,94.17,626.44,650.28,0.12,0.09,265.36,269.07,31.36,31.85,43.67,46.67,305.38,325.73,36.92,26.0,14.78,18.11,74.07,89.85,12.1,19.27,316.66,343.44,7.55,17.91
