BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,263.28,271.88,99.83,105.76,743.06,754.41,0.09,0.24,281.62,289.93,27.42,26.21,39.0,40.69,377.12,356.06,29.82,29.09,16.44,18.8,109.62,105.23,10.5,14.5,370.53,366.31,22.0,14.88,1,0,4,54,22,157,0.204,51,3,9,72,3,2,16,0,67.0
1,263.28,247.24,99.83,89.59,743.06,608.29,0.09,0.25,281.62,284.07,27.42,40.64,39.0,40.0,377.12,279.2,29.82,27.71,16.44,13.85,109.62,74.18,10.5,12.0,370.53,327.38,22.0,8.17,1,0,3,49,10,106,0.368,48,6,5,52,4,1,4,0,58.0
2,263.28,228.45,99.83,93.6,743.06,590.9,0.09,0.23,281.62,286.47,27.42,32.92,39.0,50.56,377.12,264.78,29.82,24.47,16.44,15.08,109.62,98.5,10.5,14.73,370.53,320.5,22.0,13.4,0,0,3,33,19,105,0.133,31,3,4,32,3,0,8,1,40.0
0,263.28,323.0,99.83,119.75,743.06,870.5,0.09,0.19,281.62,401.83,27.42,39.67,39.0,60.08,377.12,418.36,29.82,32.85,16.44,16.8,109.62,126.6,10.5,20.7,370.53,429.67,22.0,11.33,1,0,4,66,25,183,0.224,64,1,8,81,6,0,8,1,71.0
0,263.28,226.8,99.83,94.0,743.06,596.95,0.09,0.19,281.62,277.8,27.42,33.43,39.0,54.79,377.12,266.06,29.82,39.6,16.44,16.0,109.62,104.43,10.5,14.58,370.53,311.11,22.0,12.67,0,0,4,53,20,158,0.209,51,1,10,63,1,2,12,1,62.0
4,263.28,229.89,99.83,101.11,743.06,646.84,0.09,0.11,281.62,273.53,27.42,35.58,39.0,54.31,377.12,319.19,29.82,30.38,16.44,13.64,109.62,113.27,10.5,15.6,370.53,397.71,22.0,15.0,1,0,3,35,13,111,0.198,35,6,2,54,3,2,22,2,54.0
3,263.28,293.81,99.83,131.0,743.06,851.19,0.09,0.19,281.62,315.64,27.42,37.17,39.0,39.08,377.12,402.53,29.82,45.11,16.44,9.23,109.62,108.54,10.5,13.92,370.53,398.17,22.0,10.56,1,0,4,54,13,126,0.325,49,2,3,53,2,5,20,1,71.0
0,263.28,214.0,99.83,99.89,743.06,625.37,0.09,0.06,281.62,250.73,27.42,42.36,39.0,62.92,377.12,342.07,29.82,43.91,16.44,12.7,109.62,68.13,10.5,16.0,370.53,323.12,22.0,11.0,1,0,3,52,12,115,0.348,46,2,2,50,1,4,6,1,61.0
2,263.28,225.33,99.83,115.1,743.06,626.71,0.09,0.06,281.62,230.11,27.42,42.56,39.0,41.83,377.12,289.78,29.82,43.41,16.44,24.4,109.62,78.54,10.5,12.9,370.53,324.61,22.0,11.54,1,0,3,47,13,91,0.374,47,8,4,35,3,0,13,1,61.5
1,263.28,271.88,99.83,105.76,743.06,754.41,0.09,0.24,281.62,289.93,27.42,26.21,39.0,40.69,377.12,356.06,29.82,29.09,16.44,18.8,109.62,105.23,10.5,14.5,370.53,366.31,22.0,14.88,1,0,3,52,9,116,0.371,51,4,2,49,0,5,8,1,65.0
