BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,332.69,279.35,127.75,104.53,897.31,749.82,0.28,0.06,417.17,317.43,37.0,36.64,46.67,47.93,457.57,349.44,34.82,41.4,22.0,14.0,92.4,105.75,18.0,20.3,453.79,378.16,9.78,11.71,1,0,3,46,13,104,0.317,44,5,6,47,0,6,6,2,60.0
2,332.69,323.0,127.75,119.75,897.31,870.5,0.28,0.19,417.17,401.83,37.0,39.67,46.67,60.08,457.57,418.36,34.82,32.85,22.0,16.8,92.4,126.6,18.0,20.7,453.79,429.67,9.78,11.33,0,0,3,41,22,110,0.173,39,3,6,53,6,3,2,4,48.0
1,332.69,245.33,127.75,80.33,897.31,626.61,0.28,0.21,417.17,290.14,37.0,31.38,46.67,51.14,457.57,313.87,34.82,23.57,22.0,11.2,92.4,90.17,18.0,13.0,453.79,342.31,9.78,9.43,1,0,5,63,24,165,0.236,61,3,8,72,0,6,10,2,77.0
1,332.69,297.12,127.75,110.24,897.31,808.88,0.28,0.23,417.17,315.87,37.0,34.67,46.67,52.79,457.57,379.0,34.82,37.18,22.0,13.09,92.4,114.08,18.0,15.83,453.79,397.03,9.78,8.5,0,0,3,43,17,129,0.202,40,1,8,52,1,1,2,0,46.0
1,332.69,363.79,127.75,142.21,897.31,1000.14,0.28,0.3,417.17,396.0,37.0,48.8,46.67,70.73,457.57,463.15,34.82,44.2,22.0,21.78,92.4,171.89,18.0,18.33,453.79,503.88,9.78,10.0,0,0,4,51,25,140,0.186,45,7,7,70,11,3,5,3,63.5
0,332.69,363.79,127.75,142.21,897.31,1000.14,0.28,0.3,417.17,396.0,37.0,48.8,46.67,70.73,457.57,463.15,34.82,44.2,22.0,21.78,92.4,171.89,18.0,18.33,453.79,503.88,9.78,10.0,0,0,4,60,27,157,0.210,58,2,9,81,4,5,0,2,67.0
1,332.69,290.25,127.75,122.38,897.31,806.0,0.28,0.13,417.17,290.87,37.0,27.85,46.67,45.31,457.57,359.2,34.82,32.55,22.0,30.89,92.4,106.82,18.0,16.6,453.79,391.43,9.78,9.67,1,0,4,63,27,176,0.205,59,5,5,91,5,3,4,2,73.0
0,332.69,261.67,127.75,103.11,897.31,727.44,0.28,0.29,417.17,288.4,37.0,32.46,46.67,42.69,457.57,354.69,34.82,30.23,22.0,23.2,92.4,119.2,18.0,15.11,453.79,350.59,9.78,11.57,1,0,4,62,24,145,0.262,57,5,4,51,4,2,4,0,71.0
0,332.69,251.75,127.75,124.0,897.31,770.75,0.28,0.09,417.17,265.14,37.0,36.75,46.67,39.75,457.57,369.47,34.82,32.36,22.0,18.1,92.4,88.67,18.0,18.33,453.79,345.47,9.78,10.75,1,0,3,51,18,119,0.277,50,3,6,58,2,2,4,2,58.0
1,332.69,250.82,127.75,101.18,897.31,657.0,0.28,0.3,417.17,267.2,37.0,28.54,46.67,43.62,457.57,286.38,34.82,34.44,22.0,15.08,92.4,80.42,18.0,12.73,453.79,331.16,9.78,15.5,1,0,3,47,10,96,0.385,43,5,3,50,2,0,12,1,58.0
1,332.69,327.44,127.75,123.25,897.31,837.75,0.28,0.24,417.17,353.64,37.0,51.09,46.67,70.83,457.57,392.93,34.82,43.27,22.0,17.89,92.4,152.0,18.0,18.89,453.79,480.14,9.78,9.5,0,0,3,28,17,95,0.116,26,2,5,32,6,1,6,0,34.0
0,332.69,279.35,127.75,104.53,897.31,749.82,0.28,0.06,417.17,317.43,37.0,36.64,46.67,47.93,457.57,349.44,34.82,41.4,22.0,14.0,92.4,105.75,18.0,20.3,453.79,378.16,9.78,11.71,0,0,3,30,18,107,0.112,28,4,6,51,8,1,0,3,35.0
0,332.69,269.72,127.75,119.11,897.31,825.67,0.28,0.13,417.17,285.38,37.0,28.71,46.67,36.41,457.57,396.0,34.82,34.0,22.0,12.56,92.4,99.14,18.0,9.75,453.79,356.71,9.78,9.78,1,0,3,49,22,125,0.216,47,4,6,52,0,1,8,0,58.0
0,332.69,264.0,127.75,115.31,897.31,785.44,0.28,0.18,417.17,305.38,37.0,25.67,46.67,38.92,457.57,400.86,34.82,31.45,22.0,14.44,92.4,97.27,18.0,15.1,453.79,371.21,9.78,14.56,1,0,3,48,19,111,0.261,45,3,10,41,2,2,0,2,53.0
0,332.69,247.12,127.75,98.59,897.31,680.76,0.28,0.2,417.17,396.9,37.0,47.22,46.67,49.64,457.57,329.4,34.82,36.83,22.0,14.0,92.4,107.91,18.0,12.2,453.79,381.82,9.78,9.75,1,0,3,54,23,117,0.265,50,3,5,47,5,1,4,1,60.0
3,332.69,334.0,127.75,137.29,897.31,1001.35,0.28,0.15,417.17,355.87,37.0,32.31,46.67,46.86,457.57,489.0,34.82,36.82,22.0,18.5,92.4,111.54,18.0,17.31,453.79,438.0,9.78,12.38,1,0,4,57,26,160,0.194,55,6,9,86,5,1,16,0,72.0
2,332.69,259.39,127.75,97.83,897.31,731.67,0.28,0.21,417.17,272.62,37.0,32.09,46.67,53.82,457.57,396.27,34.82,25.69,22.0,10.91,92.4,95.58,18.0,10.57,453.79,357.22,9.78,8.5,1,0,3,47,15,107,0.299,41,4,7,58,1,5,8,3,60.0
2,332.69,264.74,127.75,108.74,897.31,814.0,0.28,0.15,417.17,295.19,37.0,34.85,46.67,44.57,457.57,439.65,34.82,43.33,22.0,16.38,92.4,89.31,18.0,11.64,453.79,344.14,9.78,15.56,1,0,4,64,18,164,0.280,60,5,2,82,4,3,4,2,74.0
1,332.69,242.72,127.75,112.39,897.31,696.61,0.28,0.09,417.17,276.33,37.0,31.0,46.67,50.53,457.57,329.94,34.82,33.33,22.0,8.18,92.4,96.73,18.0,10.5,453.79,319.12,9.78,10.88,1,0,3,52,13,107,0.364,50,2,8,53,3,2,6,1,59.0
2,332.69,195.95,127.75,93.63,897.31,606.26,0.28,0.09,417.17,234.13,37.0,30.08,46.67,38.43,457.57,307.53,34.82,27.73,22.0,16.3,92.4,69.0,18.0,10.83,453.79,260.86,9.78,8.64,1,0,4,70,21,132,0.371,66,5,4,67,4,1,6,1,79.0
0,332.69,245.32,127.75,106.26,897.31,704.42,0.28,0.23,417.17,259.18,37.0,23.43,46.67,23.67,457.57,348.35,34.82,20.38,22.0,11.91,92.4,103.62,18.0,15.45,453.79,340.79,9.78,16.67,1,0,5,76/,30,187,0.246,72/,3,4,70,5,4,17,1,91.5/
1,332.69,269.72,127.75,119.11,897.31,825.67,0.28,0.13,417.17,285.38,37.0,28.71,46.67,36.41,457.57,396.0,34.82,34.0,22.0,12.56,92.4,99.14,18.0,9.75,453.79,356.71,9.78,9.78,1,0,5,71,25,164,0.280,68,4,4,81,7,4,18,0,88.0
1,332.69,265.89,127.75,91.17,897.31,679.89,0.28,0.11,417.17,281.12,37.0,46.91,46.67,46.79,457.57,329.0,34.82,39.9,22.0,11.86,92.4,110.7,18.0,18.3,453.79,424.18,9.78,11.29,0,0,4,52,29,176,0.131,49,4,1,77,9,0,10,3,61.0
1,332.69,334.0,127.75,137.29,897.31,1001.35,0.28,0.15,417.17,355.87,37.0,32.31,46.67,46.86,457.57,489.0,34.82,36.82,22.0,18.5,92.4,111.54,18.0,17.31,453.79,438.0,9.78,12.38,1,0,5,67,21,169,0.272,65,3,4,90,2,3,14,1,80.0
1,332.69,247.12,127.75,98.59,897.31,680.76,0.28,0.2,417.17,396.9,37.0,47.22,46.67,49.64,457.57,329.4,34.82,36.83,22.0,14.0,92.4,107.91,18.0,12.2,453.79,381.82,9.78,9.75,1,0,3,54,7,112,0.420,49,5,6,45,2,1,10,2,65.0
0,332.69,264.74,127.75,108.74,897.31,814.0,0.28,0.15,417.17,295.19,37.0,34.85,46.67,44.57,457.57,439.65,34.82,43.33,22.0,16.38,92.4,89.31,18.0,11.64,453.79,344.14,9.78,15.56,1,0,3,44,15,123,0.236,43,3,2,66,3,0,6,0,50.0
0,332.69,259.39,127.75,97.83,897.31,731.67,0.28,0.21,417.17,272.62,37.0,32.09,46.67,53.82,457.57,396.27,34.82,25.69,22.0,10.91,92.4,95.58,18.0,10.57,453.79,357.22,9.78,8.5,0,0,5,65,33,202,0.158,62,4,9,90,2,3,19,2,81.5
0,332.69,245.32,127.75,106.26,897.31,704.42,0.28,0.23,417.17,259.18,37.0,23.43,46.67,23.67,457.57,348.35,34.82,20.38,22.0,11.91,92.4,103.62,18.0,15.45,453.79,340.79,9.78,16.67,1,0,3,54,18,110,0.327,45,1,1,50,2,1,12,0,62.0
1,332.69,195.95,127.75,93.63,897.31,606.26,0.28,0.09,417.17,234.13,37.0,30.08,46.67,38.43,457.57,307.53,34.82,27.73,22.0,16.3,92.4,69.0,18.0,10.83,453.79,260.86,9.78,8.64,1,0,3,48,18,124,0.242,47,1,7,61,3,1,18,3,59.0
0,332.69,242.72,127.75,112.39,897.31,696.61,0.28,0.09,417.17,276.33,37.0,31.0,46.67,50.53,457.57,329.94,34.82,33.33,22.0,8.18,92.4,96.73,18.0,10.5,453.79,319.12,9.78,10.88,0,0,5,72,28,204,0.216,69,5,3,96,12,3,14,2,87.0
1,332.69,264.0,127.75,115.31,897.31,785.44,0.28,0.18,417.17,305.38,37.0,25.67,46.67,38.92,457.57,400.86,34.82,31.45,22.0,14.44,92.4,97.27,18.0,15.1,453.79,371.21,9.78,14.56,1,0,3,50,13,111,0.333,49,3,4,56,0,1,2,0,55.0
