Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,4,52,29,162,0.142,47,8,8,75,5,2,10,1,67.0,0,IUPUI,283.38,253.75,133.12,119.0,849.19,826.56,0.11,0.02,301.93,252.47,39.23,28.83,59.0,42.0,417.29,417.47,33.43,30.38,19.1,11.6,88.25,87.38,27.58,11.17,411.75,339.33,11.12,12.44
0,0,3,18,23,75,-0.067,18,2,4,22,10,0,0,2,20.0,0,Louisville,283.38,228.45,133.12,93.6,849.19,590.9,0.11,0.23,301.93,286.47,39.23,32.92,59.0,50.56,417.29,264.78,33.43,24.47,19.1,15.08,88.25,98.5,27.58,14.73,411.75,320.5,11.12,13.4
0,0,5,66,27,177,0.220,57,9,11,80,5,1,14,3,83.0,0,Southern Ill.,283.38,195.95,133.12,93.63,849.19,606.26,0.11,0.09,301.93,234.13,39.23,30.08,59.0,38.43,417.29,307.53,33.43,27.73,19.1,16.3,88.25,69.0,27.58,10.83,411.75,260.86,11.12,8.64
1,0,5,60,22,167,0.228,54,5,14,70,6,0,10,5,70.0,2,Central Ark.,283.38,256.56,133.12,105.56,849.19,677.78,0.11,0.17,301.93,333.15,39.23,32.79,59.0,44.12,417.29,302.12,33.43,41.7,19.1,14.31,88.25,74.79,27.58,12.0,411.75,340.38,11.12,13.78
1,0,5,59,29,175,0.171,58,8,8,75,1,1,8,9,72.0,0,Memphis,283.38,231.44,133.12,107.11,849.19,658.11,0.11,-0.06,301.93,244.69,39.23,31.5,59.0,41.56,417.29,315.12,33.43,38.25,19.1,15.25,88.25,82.31,27.58,23.18,411.75,329.0,11.12,16.33
0,0,4,44,25,150,0.127,42,5,10,62,6,2,14,5,58.0,1,UAB,283.38,213.11,133.12,92.67,849.19,579.78,0.11,0.18,301.93,257.07,39.23,33.0,59.0,41.47,417.29,280.27,33.43,31.07,19.1,18.56,88.25,82.09,27.58,20.5,411.75,325.57,11.12,10.43
1,0,5,57,31,167,0.156,55,6,4,74,2,6,26,10,82.0,1,Florida A&M,283.38,244.93,133.12,114.0,849.19,730.8,0.11,0.13,301.93,259.85,39.23,38.4,59.0,50.7,417.29,363.46,33.43,37.64,19.1,15.45,88.25,69.62,27.58,17.36,411.75,360.04,11.12,14.62
0,0,4,55,27,179,0.156,50,5,8,80,3,1,6,2,64.0,0,Mercer,283.38,233.0,133.12,100.65,849.19,638.94,0.11,0.11,301.93,262.29,39.23,32.69,59.0,52.93,417.29,328.29,33.43,39.91,19.1,21.0,88.25,88.4,27.58,26.56,411.75,333.07,11.12,9.88
1,0,4,52,20,126,0.254,46,7,8,45,7,1,6,0,63.0,0,Jacksonville,283.38,241.27,133.12,114.73,849.19,683.47,0.11,0.12,301.93,257.15,39.23,34.07,59.0,58.93,417.29,284.64,33.43,39.08,19.1,24.71,88.25,65.17,27.58,13.2,411.75,332.86,11.12,12.6
1,0,3,40,14,101,0.257,38,14/,4,44,2,2,2,1,57.0,0,Alabama A&M,283.38,232.55,133.12,98.85,849.19,621.8,0.11,0.12,301.93,253.71,39.23,48.75,59.0,43.31,417.29,288.61,33.43,40.56,19.1,16.33,88.25,79.67,27.58,18.29,411.75,311.05,11.12,13.7
