Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,3,30,21,95,0.095,30,4,5,39,3,1,6,0,38.0,1,Tulane,193.16,278.1,87.53,118.1,562.84,774.9,0.08,0.19,200.82,295.44,24.92,39.29,32.07,45.38,245.83,355.11,23.21,37.77,10.33,11.09,74.38,141.67,10.46,16.31,286.03,393.56,9.88,12.1
0,0,4,43,24,154,0.123,43,6,6,68,4,0,8,0,53.0,3,Louisiana,193.16,224.0,87.53,88.32,562.84,641.89,0.08,0.1,200.82,235.47,24.92,23.77,32.07,38.08,245.83,317.76,23.21,25.15,10.33,24.33,74.38,74.67,10.46,17.44,286.03,290.67,9.88,13.23
1,0,5,63,29,192,0.177,60,2,6,96,7,3,20,5,78.0,5,UIC,193.16,293.81,87.53,131.0,562.84,851.19,0.08,0.19,200.82,315.64,24.92,37.17,32.07,39.08,245.83,402.53,23.21,45.11,10.33,9.23,74.38,108.54,10.46,13.92,286.03,398.17,9.88,10.56
0,0,3,29,15,105,0.133,27,2,3,40,6,1,12,1,38.0,0,Omaha,193.16,237.28,87.53,99.11,562.84,651.5,0.08,0.15,200.82,285.57,24.92,37.0,32.07,56.73,245.83,317.73,23.21,31.13,10.33,16.25,74.38,97.73,10.46,13.78,286.03,301.08,9.88,10.67
0,0,4,55,24,144,0.215,53,6,8,54,4,2,4,1,65.0,0,Arizona,193.16,261.89,87.53,103.11,562.84,702.68,0.08,0.26,200.82,328.71,24.92,30.77,32.07,53.36,245.83,354.81,23.21,31.31,10.33,16.83,74.38,91.58,10.46,12.09,286.03,382.97,9.88,8.0
0,0,3,43,23,133,0.150,38,4,6,55,3,3,10,2,55.0,0,Montana,193.16,251.88,87.53,112.76,562.84,720.12,0.08,0.2,200.82,334.67,24.92,36.92,32.07,44.14,245.83,346.87,23.21,44.27,10.33,11.08,74.38,86.77,10.46,11.58,286.03,361.47,9.88,12.12
0,0,3,30,15,87,0.172,25,3,6,31,6,1,10,3,39.0,0,New Mexico St.,193.16,221.9,87.53,95.86,562.84,616.48,0.08,0.23,200.82,272.56,24.92,41.92,32.07,52.75,245.83,283.79,23.21,37.92,10.33,15.3,74.38,128.64,10.46,13.67,286.03,354.32,9.88,13.7
0,0,3,30,18,98,0.122,28,1,9,38,3,0,10,1,36.0,1,Oregon St.,193.16,257.22,87.53,118.83,562.84,759.22,0.08,0.11,200.82,336.54,24.92,35.55,32.07,46.79,245.83,342.06,23.21,41.89,10.33,15.6,74.38,131.18,10.46,15.92,286.03,368.66,9.88,6.4
1,0,5,59,38,168,0.125,56,8,3,54,4,1,12,0,74.0,0,San Diego St.,193.16,225.19,87.53,101.0,562.84,587.76,0.08,0.21,200.82,314.07,24.92,34.33,32.07,48.44,245.83,249.26,23.21,39.18,10.33,11.55,74.38,96.87,10.46,13.85,286.03,315.5,9.88,14.09
0,0,3,29,20,108,0.083,26,3,3,36,4,0,6,1,35.0,2,Rice,193.16,305.19,87.53,114.12,562.84,841.44,0.08,0.22,200.82,352.23,24.92,36.18,32.07,42.77,245.83,413.13,23.21,30.33,10.33,18.0,74.38,107.64,10.46,16.09,286.03,403.53,9.88,12.5
