BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,245.65,199.29,118.35,97.62,764.06,566.81,0.02,0.1,277.86,244.81,37.33,34.07,42.13,42.25,369.75,281.0,32.46,36.43,14.89,18.44,116.45,92.21,13.73,11.67,359.9,288.08,14.4,18.57,1,0,5,62,36,157,0.166,57,12,19/,63,5,0,22,1,85.0
2,245.65,288.31,118.35,137.31,764.06,814.12,0.02,0.08,277.86,310.71,37.33,26.64,42.13,67.75,369.75,386.71,32.46,28.54,14.89,11.75,116.45,103.09,13.73,17.73,359.9,379.6,14.4,16.11,0,0,5,41,21,152,0.132,38,2,13,71,7,3,23,6/,57.5
1,245.65,203.1,118.35,96.65,764.06,577.35,0.02,0.08,277.86,237.62,37.33,24.29,42.13,45.25,369.75,260.0,32.46,23.31,14.89,10.7,116.45,108.5,13.73,18.42,359.9,286.67,14.4,10.22,1,0,4,52,25,162,0.167,46,3,5,69,4,2,18,3,66.0
1,245.65,233.0,118.35,100.65,764.06,638.94,0.02,0.11,277.86,262.29,37.33,32.69,42.13,52.93,369.75,328.29,32.46,39.91,14.89,21.0,116.45,88.4,13.73,26.56,359.9,333.07,14.4,9.88,1,0,3,38,17,108,0.194,35,7,8,45,5,1,14,0,53.0
0,245.65,236.61,118.35,105.56,764.06,668.33,0.02,0.07,277.86,265.8,37.33,31.31,42.13,41.47,369.75,305.65,32.46,25.79,14.89,14.27,116.45,95.42,13.73,14.09,359.9,317.38,14.4,16.73,1,0,3,40,8,102,0.314,38,6,4,46,4,0,10,3,51.0
0,245.65,236.06,118.35,105.22,764.06,659.78,0.02,0.19,277.86,306.92,37.33,24.92,42.13,50.36,369.75,332.8,32.46,31.09,14.89,20.33,116.45,80.54,13.73,7.73,359.9,310.56,14.4,17.83,0,0,3,29,18,105,0.105,29,6,3,40,3,0,6,1,38.0
0,245.65,153.2,118.35,81.85,764.06,472.15,0.02,0.07,277.86,191.67,37.33,24.29,42.13,29.57,369.75,229.5,32.46,30.17,14.89,12.82,116.45,62.79,13.73,10.91,359.9,234.38,14.4,8.64,1,0,3,40,18,128,0.172,39,5,9,64,4,1,12,0,52.0
0,245.65,167.77,118.35,79.09,764.06,494.23,0.02,0.13,277.86,227.2,37.33,31.79,42.13,44.12,369.75,228.8,32.46,36.38,14.89,14.22,116.45,58.71,13.73,7.14,359.9,250.68,14.4,16.29,1,0,3,45,18,111,0.243,42,3,11,53,4,2,14,2,57.0
0,245.65,149.39,118.35,67.83,764.06,434.87,0.02,0.12,277.86,189.76,37.33,24.67,42.13,34.06,369.75,206.05,32.46,30.85,14.89,8.25,116.45,68.87,13.73,8.83,359.9,221.08,14.4,12.75,1,0,5,52,24,171,0.164,47,11,8,81,7,2,14,5,72.0
1,245.65,334.0,118.35,137.29,764.06,1001.35,0.02,0.15,277.86,355.87,37.33,32.31,42.13,46.86,369.75,489.0,32.46,36.82,14.89,18.5,116.45,111.54,13.73,17.31,359.9,438.0,14.4,12.38,0,0,4,38,25,158,0.082,34,6,4,83,2,0,18,2,53.0
0,245.65,223.0,118.35,98.95,764.06,671.3,0.02,0.12,277.86,324.92,37.33,31.0,42.13,40.62,369.75,311.47,32.46,27.2,14.89,8.8,116.45,89.29,13.73,9.15,359.9,308.06,14.4,9.22,0,0,4,53,19,166,0.205,50,5,10,66,4,0,24,1,70.0
