BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,263.88,288.8,109.12,124.73,718.29,876.33,0.29,0.13,277.73,338.83,27.08,26.33,46.33,39.85,313.38,466.54,25.0,28.77,21.14,10.4,118.69,125.5,13.0,15.3,358.16,384.25,11.89,14.5,1,0,3,43,10,78,0.423,41,1,6,33,1,2,20,0,56.0
1,263.88,246.26,109.12,105.58,718.29,677.11,0.29,0.11,277.73,313.29,27.08,30.77,46.33,38.8,313.38,305.53,25.0,37.92,21.14,16.2,118.69,78.13,13.0,12.75,358.16,323.72,11.89,15.0,1,0,3,38,10,83,0.337,34,7,5,33,0,3,24,2,60.0
0,263.88,278.39,109.12,111.11,718.29,727.33,0.29,0.24,277.73,361.15,27.08,31.58,46.33,42.73,313.38,311.53,25.0,38.09,21.14,16.67,118.69,116.69,13.0,15.85,358.16,393.66,11.89,6.33,1,0,5,69,26,154,0.279,61,2,16,44,4,2,18,1,82.0
2,263.88,295.75,109.12,111.0,718.29,787.75,0.29,0.23,277.73,345.0,27.08,53.8,46.33,75.18,313.38,375.0,25.0,45.45,21.14,14.11,118.69,114.45,13.0,20.38,358.16,401.77,11.89,13.43,0,0,5,69,18,174,0.293,64,2,10,77,7,1,16,1,80.0
1,263.88,247.82,109.12,107.0,718.29,719.35,0.29,0.07,277.73,231.71,27.08,34.92,46.33,45.29,313.38,332.56,25.0,34.08,21.14,12.56,118.69,93.08,13.0,16.33,358.16,331.47,11.89,16.38,1,0,3,40,14,121,0.215,37,4,4,62,3,2,8,0,50.0
0,263.88,172.0,109.12,81.42,718.29,513.26,0.29,-0.04,277.73,216.21,27.08,33.7,46.33,32.31,313.38,241.53,25.0,31.67,21.14,10.0,118.69,65.92,13.0,6.3,358.16,242.56,11.89,12.33,1,0,3,39,5,79,0.430,34,9,7,32,1,0,17,0,56.5
0,263.88,225.0,109.12,96.95,718.29,643.95,0.29,0.1,277.73,287.0,27.08,25.8,46.33,47.88,313.38,314.06,25.0,27.64,21.14,23.55,118.69,72.62,13.0,9.64,358.16,317.24,11.89,18.6,1,0,4,58,20,150,0.253,52,2,5,55,1,1,32,1,77.0
0,263.88,264.53,109.12,112.53,718.29,760.76,0.29,0.15,277.73,284.27,27.08,28.54,46.33,39.53,313.38,359.31,25.0,30.08,21.14,17.0,118.69,79.62,13.0,11.56,358.16,368.1,11.89,15.14,1,0,3,39,4,87,0.402,37,1,9,32,4,1,22,1,52.0
1,263.88,297.12,109.12,110.24,718.29,808.88,0.29,0.23,277.73,315.87,27.08,34.67,46.33,52.79,313.38,379.0,25.0,37.18,21.14,13.09,118.69,114.08,13.0,15.83,358.16,397.03,11.89,8.5,0,0,3,34,17,112,0.152,31,1,4,52,7,1,8,2,40.0
1,263.88,234.89,109.12,90.94,718.29,611.89,0.29,0.22,277.73,306.08,27.08,26.25,46.33,44.46,313.38,276.56,25.0,27.36,21.14,18.8,118.69,107.23,13.0,17.46,358.16,361.87,11.89,11.0,0,0,5,61,29,167,0.192,56,2,13,70,5,5,22,2,79.0
