BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,205.95,192.95,103.25,78.68,585.35,527.05,0.11,0.14,241.31,230.59,30.4,38.43,39.94,45.0,245.16,247.47,35.31,38.62,11.45,16.7,72.0,66.33,12.5,12.7,272.06,270.84,7.92,9.3,0,3,0,35,14,98,0.214,35,7,9,34,5,2,8,0,0
0,205.95,221.53,103.25,99.59,585.35,642.0,0.11,0.18,241.31,237.2,30.4,26.23,39.94,37.14,245.16,294.62,35.31,30.92,11.45,15.67,72.0,65.15,12.5,14.0,272.06,281.56,7.92,10.08,0,4,0,37,29,108,0.074,36,9,10,32,10,0,4,3,0
0,205.95,196.9,103.25,83.05,585.35,564.2,0.11,0.13,241.31,258.0,30.4,39.92,39.94,39.35,245.16,263.5,35.31,36.71,11.45,11.17,72.0,64.73,12.5,9.64,272.06,261.95,7.92,13.89,0,3,0,36,16,91,0.220,34,4,10,39,15,1,8,0,0
3,205.95,206.62,103.25,95.88,585.35,635.0,0.11,0.1,241.31,235.0,30.4,35.8,39.94,40.33,245.16,291.67,35.31,40.1,11.45,8.7,72.0,60.36,12.5,9.86,272.06,277.93,7.92,15.89,1,3,0,47,15,112,0.286,43,6,11,40,5,0,12,6,59.0
5,205.95,269.53,103.25,119.89,585.35,757.47,0.11,0.22,241.31,320.67,30.4,43.08,39.94,61.17,245.16,367.88,35.31,32.13,11.45,12.8,72.0,129.5,12.5,14.83,272.06,384.85,7.92,10.0,0,5,0,54,37,170,0.100,49,8,8,70,6,2,20,5,74.0
5,205.95,270.41,103.25,113.06,585.35,783.65,0.11,0.19,241.31,358.17,30.4,37.62,39.94,45.43,245.16,395.13,35.31,50.6,11.45,11.7,72.0,80.15,12.5,16.92,272.06,351.5,7.92,11.8,1,5,0,66,27,177,0.220,61,14,10,72,5,1,6,1,84.0
2,205.95,180.43,103.25,79.43,585.35,500.57,0.11,0.14,241.31,182.53,30.4,26.31,39.94,35.22,245.16,216.89,35.31,28.11,11.45,13.38,72.0,77.42,12.5,9.85,272.06,236.87,7.92,11.57,0,5,0,57,32,171,0.146,50,2,6,71,5,3,22,2,73.0
1,205.95,237.25,103.25,102.55,585.35,677.55,0.11,0.24,241.31,318.64,30.4,56.2,39.94,45.14,245.16,372.44,35.31,44.67,11.45,26.25,72.0,108.82,12.5,15.2,272.06,379.13,7.92,10.09,0,3,0,24,24,112,0.000,24,4,7,41,3,0,4,0,30.0
1,205.95,230.95,103.25,105.68,585.35,676.95,0.11,0.18,241.31,255.0,30.4,28.14,39.94,43.8,245.16,299.17,35.31,35.25,11.45,12.5,72.0,75.08,12.5,13.1,272.06,297.88,7.92,14.5,0,4,0,51,34,151,0.113,50,4,14,53,3,0,2,1,56.0
0,205.95,217.25,103.25,96.05,585.35,581.45,0.11,0.19,241.31,269.0,30.4,47.36,39.94,59.08,245.16,271.18,35.31,36.08,11.45,14.36,72.0,100.5,12.5,17.31,272.06,340.31,7.92,9.11,1,4,0,52,16,133,0.271,50,3,8,55,3,2,12,3,63.0
