Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,0,44,13,95,0.326,37,3,6,48,4,2,2,1,0,0,South Carolina St.,217.95,109.71,86.84,64.67,600.37,323.05,0.21,0.06,282.69,190.27,36.77,35.0,35.77,32.71,295.25,149.76,37.0,36.13,20.55,9.4,61.67,34.07,15.0,7.09,274.81,171.56,11.14,5.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida A&M,217.95,164.19,86.84,81.57,600.37,498.71,0.21,0.04,282.69,211.4,36.77,49.2,35.77,49.67,295.25,323.36,37.0,43.45,20.55,23.5,61.67,57.77,15.0,15.6,274.81,276.8,11.14,15.27
1,3,0,35,9,81,0.321,30,6,4,33,3,4,4,0,0,1,Delaware St.,217.95,131.76,86.84,59.69,600.37,361.97,0.21,0.1,282.69,162.86,36.77,30.65,35.77,37.9,295.25,171.67,37.0,36.47,20.55,12.75,61.67,35.29,15.0,9.21,274.81,177.33,11.14,10.8
0,3,0,28,19,97,0.093,26,1,3,40,9,0,10,0,0,0,Belmont,217.95,267.0,86.84,115.6,600.37,749.4,0.21,0.11,282.69,266.57,36.77,33.5,35.77,41.62,295.25,332.79,37.0,40.5,20.55,10.88,61.67,80.08,15.0,15.58,274.81,331.75,11.14,19.6
0,4,0,56,16,133,0.301,53,4,7,59,5,0,16,2,68.0,1,Southern Ill.,217.95,294.65,86.84,122.47,600.37,903.47,0.21,0.11,282.69,360.62,36.77,46.0,35.77,69.55,295.25,477.0,37.0,38.33,20.55,14.62,61.67,104.0,15.0,14.82,274.81,416.63,11.14,9.33
0,3,0,24,8,86,0.186,22,3,3,39,10,1,19,1,37.5,0,Southeastern La.,217.95,232.68,86.84,96.26,600.37,656.68,0.21,0.12,282.69,273.33,36.77,34.77,35.77,54.79,295.25,324.19,37.0,38.33,20.55,24.2,61.67,73.08,15.0,14.36,274.81,316.53,11.14,12.75
0,3,0,28,14,92,0.152,24,4,4,39,10,0,13,1,38.5,0,SIUE,217.95,207.9,86.84,95.85,600.37,626.6,0.21,0.15,282.69,236.94,36.77,34.42,35.77,42.0,295.25,326.35,37.0,27.4,20.55,17.1,61.67,81.62,15.0,9.8,274.81,310.06,11.14,9.5
1,3,0,42,7,99,0.354,32,3,3,50,5,2,6,3,50.0,0,Gardner-Webb,217.95,143.53,86.84,75.47,600.37,447.58,0.21,0.16,282.69,138.89,36.77,26.71,35.77,25.8,295.25,193.72,37.0,27.19,20.55,20.29,61.67,54.71,15.0,11.8,274.81,201.42,11.14,9.1
0,4,0,29,20,113,0.080,25,6,8,52,11,3,15,7,45.5,0,Wofford,217.95,246.59,86.84,110.71,600.37,690.94,0.21,0.22,282.69,224.82,36.77,52.64,35.77,56.57,295.25,276.71,37.0,44.38,20.55,21.0,61.67,54.0,15.0,17.29,274.81,322.09,11.14,6.46
0,3,0,32,16,89,0.180,32,2,1,34,5,0,6,6,37.0,0,N.C. A&T,217.95,227.94,86.84,105.78,600.37,641.94,0.21,0.17,282.69,252.87,36.77,32.93,35.77,45.56,295.25,302.88,37.0,35.67,20.55,13.45,61.67,91.92,15.0,12.33,274.81,311.47,11.14,12.22
