BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,267.88,246.72,103.29,100.11,718.59,683.94,0.18,0.12,277.47,293.0,26.43,53.0,48.93,64.55,321.38,368.07,31.85,50.7,22.2,25.12,78.08,105.0,16.6,22.22,350.88,406.93,9.0,12.6,0,5,0,56,27,162,0.179,49,3,8,70,6,0,16,0,67.0
0,267.88,289.12,103.29,114.81,718.59,766.44,0.18,0.18,277.47,330.46,26.43,37.6,48.93,72.8,321.38,345.67,31.85,41.89,22.2,14.5,78.08,116.45,16.6,24.75,350.88,372.47,9.0,11.2,0,4,0,40,24,144,0.111,39,4,9,57,6,4,4,1,50.0
0,267.88,222.32,103.29,94.0,718.59,607.37,0.18,0.07,277.47,247.12,26.43,24.79,48.93,37.62,321.38,263.06,31.85,23.88,22.2,12.44,78.08,101.91,16.6,15.64,350.88,319.22,9.0,6.8,1,4,0,58,18,147,0.272,54,8,12,83,4,5,22,2,82.0
0,267.88,226.16,103.29,92.79,718.59,568.74,0.18,0.17,277.47,270.0,26.43,24.85,48.93,43.57,321.38,233.72,31.85,31.23,22.2,13.91,78.08,84.08,16.6,16.0,350.88,302.32,9.0,6.83,1,3,0,46,8,87,0.437,42,4,4,30,2,1,8,1,55.0
0,267.88,206.82,103.29,92.65,718.59,567.12,0.18,0.14,277.47,232.0,26.43,22.21,48.93,40.0,321.38,235.44,31.85,27.62,22.2,16.6,78.08,100.36,16.6,10.73,350.88,278.38,9.0,7.83,1,3,0,47,17,102,0.294,41,2,12,37,1,1,2,1,51.0
0,267.88,261.5,103.29,112.11,718.59,720.89,0.18,0.09,277.47,314.71,26.43,41.27,48.93,48.85,321.38,328.53,31.85,37.7,22.2,18.25,78.08,97.09,16.6,14.55,350.88,343.56,9.0,19.17,1,3,0,35,8,76,0.355,30,3,4,38,1,2,18,3,49.0
0,267.88,221.31,103.29,92.56,718.59,562.75,0.18,0.21,277.47,255.54,26.43,32.18,48.93,47.29,321.38,234.07,31.85,30.55,22.2,11.0,78.08,80.75,16.6,20.92,350.88,299.93,9.0,10.14,1,3,0,47,12,95,0.368,45,1,8,40,5,1,8,2,53.0
0,267.88,241.0,103.29,108.33,718.59,653.24,0.18,0.11,277.47,250.0,26.43,50.17,48.93,43.19,321.38,292.05,31.85,37.38,22.2,27.27,78.08,64.15,16.6,10.25,350.88,340.5,9.0,16.0,1,3,0,38,6,73,0.438,34,11,5,27,0,6,4,4,57.0
0,267.88,176.22,103.29,75.65,718.59,466.87,0.18,0.3,277.47,205.94,26.43,35.0,48.93,45.5,321.38,217.05,31.85,34.62,22.2,18.22,78.08,127.5,16.6,12.7,350.88,280.06,9.0,13.75,1,3,0,46,20,109,0.239,44,4,5,55,3,7,2,0,58.0
1,267.88,264.67,103.29,116.67,718.59,777.22,0.18,0.11,277.47,293.0,26.43,45.92,48.93,55.57,321.38,381.12,31.85,40.64,22.2,15.67,78.08,102.92,16.6,15.75,350.88,382.72,9.0,11.62,1,4,0,64,21,135,0.319,58,4,9,50,6,2,14,1,77.0
0,267.88,247.37,103.29,97.0,718.59,700.63,0.18,0.21,277.47,273.12,26.43,30.14,48.93,50.06,321.38,325.72,31.85,34.33,22.2,23.73,78.08,78.62,16.6,11.7,350.88,327.36,9.0,9.75,0,3,0,36,17,106,0.179,32,3,12,38,1,3,6,0,45.0
0,267.88,285.72,103.29,107.17,718.59,755.0,0.18,0.2,277.47,294.94,26.43,41.31,48.93,68.69,321.38,341.88,31.85,39.43,22.2,14.55,78.08,141.27,16.6,19.2,350.88,441.13,9.0,12.71,0,4,0,51,22,136,0.213,48,4,11,56,4,7,8,4,66.0
0,267.88,306.78,103.29,120.72,718.59,783.22,0.18,0.26,277.47,394.46,26.43,35.85,48.93,51.31,321.38,371.73,31.85,39.33,22.2,18.0,78.08,143.08,16.6,14.75,350.88,431.88,9.0,7.71,0,4,0,52,25,141,0.191,47,1,8,56,6,3,10,1,61.0
0,267.88,222.94,103.29,92.94,718.59,586.67,0.18,0.2,277.47,240.93,26.43,34.0,48.93,57.55,321.38,257.31,31.85,33.83,22.2,14.91,78.08,104.18,16.6,14.5,350.88,300.56,9.0,7.14,1,3,0,57,13,131,0.336,52,6,11,61,1,0,6,2,66.0
0,267.88,262.95,103.29,88.53,718.59,672.42,0.18,0.28,277.47,313.47,26.43,34.0,48.93,51.5,321.38,296.67,31.85,25.38,22.2,11.56,78.08,135.83,16.6,19.2,350.88,351.28,9.0,9.0,0,3,0,29,20,88,0.102,28,0,6,26,10,1,2,4,31.0
1,267.88,224.55,103.29,80.9,718.59,571.9,0.18,0.18,277.47,295.57,26.43,28.71,48.93,39.73,321.38,252.11,31.85,24.0,22.2,14.7,78.08,91.92,16.6,14.91,350.88,321.32,9.0,16.57,0,3,0,38,23,113,0.133,33,2,11,39,5,2,2,0,43.0
0,267.88,259.78,103.29,111.33,718.59,726.44,0.18,0.2,277.47,326.0,26.43,33.38,48.93,56.23,321.38,346.56,31.85,30.58,22.2,20.9,78.08,95.93,16.6,14.0,350.88,337.24,9.0,9.78,0,3,0,34,19,112,0.134,30,1,1,45,6,1,0,1,36.0
2,267.88,291.61,103.29,108.83,718.59,759.67,0.18,0.19,277.47,343.57,26.43,40.77,48.93,61.07,321.38,347.62,31.85,48.4,22.2,17.4,78.08,121.38,16.6,21.55,350.88,434.97,9.0,13.0,0,4,0,43,29,174,0.080,40,5,4,84,7,2,12,5,56.0
0,267.88,258.72,103.29,109.67,718.59,709.0,0.18,0.18,277.47,254.35,26.43,27.07,48.93,47.07,321.38,312.24,31.85,25.06,22.2,16.0,78.08,87.64,16.6,10.92,350.88,332.94,9.0,7.64,0,5,0,59,24,155,0.226,52,3,10,74,3,5,6,3,70.0
0,267.88,293.73,103.29,121.8,718.59,797.67,0.18,0.13,277.47,292.36,26.43,37.42,48.93,57.83,321.38,354.36,31.85,33.0,22.2,14.82,78.08,96.08,16.6,16.0,350.88,386.39,9.0,11.62,1,4,0,57,21,146,0.247,52,2,6,71,3,6,4,3,67.0
1,267.88,222.94,103.29,92.94,718.59,586.67,0.18,0.2,277.47,240.93,26.43,34.0,48.93,57.55,321.38,257.31,31.85,33.83,22.2,14.91,78.08,104.18,16.6,14.5,350.88,300.56,9.0,7.14,0,5,0,61,26,160,0.219,49,3,6,60,8,5,16,2,77.0
