BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
3,239.82,238.24,114.35,97.94,778.24,688.06,0.12,0.15,239.47,248.27,38.53,37.31,43.33,50.54,324.25,347.6,48.08,39.21,28.2,12.67,56.67,65.57,13.31,11.0,324.44,308.88,9.55,15.5,0,4,0,45,27,129,0.140,38,5,3,47,13,0,14,1,57.0
1,239.82,230.67,114.35,101.67,778.24,647.06,0.12,0.09,239.47,248.33,38.53,37.46,43.33,50.73,324.25,289.88,48.08,41.25,28.2,18.8,56.67,68.77,13.31,15.44,324.44,324.25,9.55,15.0,0,3,0,22,17,91,0.055,19,2,6,37,13,0,10,1,0
2,239.82,276.0,114.35,127.69,778.24,774.75,0.12,0.09,239.47,273.53,38.53,30.29,43.33,35.0,324.25,336.0,48.08,36.85,28.2,16.22,56.67,112.27,13.31,21.1,324.44,342.0,9.55,7.78,0,4,0,37,25,132,0.091,36,0,7,39,3,0,4,4,39.0
2,239.82,216.89,114.35,94.63,778.24,600.79,0.12,0.21,239.47,253.93,38.53,30.86,43.33,47.0,324.25,310.12,48.08,36.0,28.2,11.45,56.67,76.38,13.31,14.5,324.44,323.38,9.55,11.38,0,3,0,19,24,83,-0.060,18,1,9,30,5,1,4,4,23.0
3,239.82,143.53,114.35,75.47,778.24,447.58,0.12,0.16,239.47,138.89,38.53,26.71,43.33,25.8,324.25,193.72,48.08,27.19,28.2,20.29,56.67,54.71,13.31,11.8,324.44,201.42,9.55,9.1,0,3,0,23,20,94,0.032,23,6,4,43,12,0,12,3,35.0
2,239.82,230.44,114.35,103.28,778.24,623.5,0.12,0.17,239.47,277.21,38.53,36.54,43.33,47.93,324.25,257.35,48.08,35.5,28.2,11.8,56.67,92.08,13.31,8.25,324.44,333.69,9.55,9.29,0,4,0,29,30,123,-0.008,27,5,2,38,6,0,16,3,42.0
5,239.82,240.78,114.35,92.06,778.24,648.11,0.12,0.21,239.47,288.79,38.53,26.93,43.33,41.43,324.25,331.12,48.08,31.82,28.2,19.78,56.67,68.31,13.31,13.2,324.44,333.31,9.55,8.78,0,3,0,31,7,85,0.282,26,2,3,33,5,1,2,0,35.0
1,239.82,232.58,114.35,82.74,778.24,682.32,0.12,0.17,239.47,312.54,38.53,35.0,43.33,46.75,324.25,432.79,48.08,32.4,28.2,16.64,56.67,98.42,13.31,12.82,324.44,323.41,9.55,14.0,0,3,0,22,23,97,-0.010,18,3,2,31,7,0,0,6,25.0
2,239.82,251.41,114.35,113.06,778.24,734.53,0.12,0.19,239.47,277.5,38.53,48.78,43.33,47.42,324.25,383.43,48.08,47.62,28.2,20.7,56.67,89.82,13.31,11.0,324.44,371.18,9.55,14.36,0,3,0,16,18,89,-0.022,16,0,5,32,5,4,2,1,21.0
2,239.82,191.26,114.35,87.05,778.24,563.42,0.12,0.21,239.47,225.93,38.53,24.14,43.33,41.31,324.25,277.29,48.08,25.87,28.2,11.0,56.67,69.77,13.31,10.64,324.44,247.97,9.55,17.75,0,4,0,34,21,136,0.096,34,7,6,62,4,2,6,1,46.0
1,239.82,286.2,114.35,130.27,778.24,800.47,0.12,0.12,239.47,305.31,38.53,32.0,43.33,54.38,324.25,354.79,48.08,35.62,28.2,12.3,56.67,92.42,13.31,15.18,324.44,387.0,9.55,20.33,0,3,0,24,19,85,0.059,23,5,4,34,5,0,6,3,32.0
0,239.82,217.95,114.35,86.84,778.24,600.37,0.12,0.21,239.47,282.69,38.53,36.77,43.33,35.77,324.25,295.25,48.08,37.0,28.2,20.55,56.67,61.67,13.31,15.0,324.44,274.81,9.55,11.14,0,4,0,45,26,136,0.140,40,5,13,45,3,2,4,2,54.0
0,239.82,241.0,114.35,108.33,778.24,653.24,0.12,0.11,239.47,250.0,38.53,50.17,43.33,43.19,324.25,292.05,48.08,37.38,28.2,27.27,56.67,64.15,13.31,10.25,324.44,340.5,9.55,16.0,1,3,0,43,9,100,0.340,38,5,5,49,3,4,10,2,57.0
0,239.82,180.41,114.35,109.94,778.24,583.06,0.12,-0.04,239.47,180.53,38.53,38.77,43.33,46.23,324.25,257.81,48.08,39.53,28.2,12.1,56.67,52.42,13.31,13.5,324.44,256.37,9.55,23.0,1,3,0,44,7,95,0.389,40,3,7,37,4,1,8,1,52.0
0,239.82,204.14,114.35,101.59,778.24,600.68,0.12,0.14,239.47,248.81,38.53,32.4,43.33,43.4,324.25,311.47,48.08,40.15,28.2,31.27,56.67,52.6,13.31,10.27,324.44,282.45,9.55,10.3,0,5,0,40,21,149,0.128,36,9,9,54,2,6,4,0,57.0
2,239.82,142.81,114.35,79.52,778.24,446.9,0.12,0.08,239.47,153.65,38.53,29.71,43.33,40.62,324.25,204.63,48.08,32.47,28.2,16.75,56.67,45.62,13.31,8.5,324.44,196.68,9.55,14.4,0,4,0,48,28,155,0.129,46,6,9,61,5,2,24,2,68.0
0,239.82,170.9,114.35,87.7,778.24,582.7,0.12,0.08,239.47,181.56,38.53,31.5,43.33,31.22,324.25,215.11,48.08,32.31,28.2,20.17,56.67,42.47,13.31,10.36,324.44,255.5,9.55,10.71,0,5,0,55,21,124,0.274,42,19/,18/,38,6,8,4,0,84.0/
0,239.82,186.22,114.35,75.78,778.24,553.33,0.12,0.06,239.47,218.81,38.53,30.94,43.33,32.11,324.25,248.79,48.08,31.31,28.2,14.67,56.67,48.29,13.31,7.07,324.44,274.76,9.55,9.88,0,3,0,29,17,111,0.108,26,3,10,38,6,3,8,0,39.0
5,239.82,189.79,114.35,89.42,778.24,530.47,0.12,0.11,239.47,176.78,38.53,32.86,43.33,39.6,324.25,239.12,48.08,29.94,28.2,16.55,56.67,49.75,13.31,8.6,324.44,267.32,9.55,9.25,0,5,0,48,25,172,0.134,44,5,6,90,7,1,20,5,64.0
0,239.82,147.13,114.35,78.43,778.24,481.52,0.12,0.09,239.47,158.53,38.53,34.42,43.33,27.0,324.25,237.42,48.08,29.41,28.2,18.0,56.67,55.87,13.31,10.67,324.44,206.5,9.55,10.55,1,5,0,63,25,168,0.226,55,10,8,81,8,6,10,2,84.0/
0,239.82,217.95,114.35,86.84,778.24,600.37,0.12,0.21,239.47,282.69,38.53,36.77,43.33,35.77,324.25,295.25,48.08,37.0,28.2,20.55,56.67,61.67,13.31,15.0,324.44,274.81,9.55,11.14,0,3,0,30,17,104,0.125,17,4,3,43,3,6,0,3,40.0
0,239.82,241.0,114.35,108.33,778.24,653.24,0.12,0.11,239.47,250.0,38.53,50.17,43.33,43.19,324.25,292.05,48.08,37.38,28.2,27.27,56.67,64.15,13.31,10.25,324.44,340.5,9.55,16.0,0,4,0,43,23,155,0.129,38,6,6,68,6,2,6,0,54.0
0,239.82,180.41,114.35,109.94,778.24,583.06,0.12,-0.04,239.47,180.53,38.53,38.77,43.33,46.23,324.25,257.81,48.08,39.53,28.2,12.1,56.67,52.42,13.31,13.5,324.44,256.37,9.55,23.0,1,4,0,45,21,145,0.166,33,9,7,55,9,3,4,0,59.0
0,239.82,204.14,114.35,101.59,778.24,600.68,0.12,0.14,239.47,248.81,38.53,32.4,43.33,43.4,324.25,311.47,48.08,40.15,28.2,31.27,56.67,52.6,13.31,10.27,324.44,282.45,9.55,10.3,0,5,0,40,20,135,0.148,34,6,6,59,6,9,6,2,58.0
3,239.82,142.81,114.35,79.52,778.24,446.9,0.12,0.08,239.47,153.65,38.53,29.71,43.33,40.62,324.25,204.63,48.08,32.47,28.2,16.75,56.67,45.62,13.31,8.5,324.44,196.68,9.55,14.4,1,3,0,28,15,100,0.130,27,6,2,51,5,2,2,1,37.0
2,239.82,190.4,114.35,80.25,778.24,577.45,0.12,0.11,239.47,220.81,38.53,19.88,43.33,29.76,324.25,274.05,48.08,27.86,28.2,12.5,56.67,43.18,13.31,8.67,324.44,234.32,9.55,13.83,0,4,0,40,23,168,0.101,37,4,4,90,8,4,6,3,51.0
0,239.82,170.9,114.35,87.7,778.24,582.7,0.12,0.08,239.47,181.56,38.53,31.5,43.33,31.22,324.25,215.11,48.08,32.31,28.2,20.17,56.67,42.47,13.31,10.36,324.44,255.5,9.55,10.71,1,4,0,52,19,412/,0.080,49,1,5,24,2,4,0,2,57.0
