BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,235.14,253.82,91.95,104.71,703.33,776.29,0.12,0.22,271.59,267.27,35.15,35.42,50.5,53.23,360.74,393.5,31.93,25.93,16.5,13.45,89.85,101.67,9.6,10.78,321.08,316.25,8.67,7.57,1,4,0,52,17,155,0.226,51,6,10,74,1,0,10,0,0
2,235.14,251.88,91.95,102.29,703.33,713.82,0.12,0.16,271.59,267.27,35.15,35.15,50.5,51.12,360.74,349.2,31.93,37.55,16.5,14.71,89.85,101.8,9.6,12.8,321.08,327.8,8.67,13.0,0,5,0,59,15,167,0.263,56,3,13,78,8,0,18,3,0
0,235.14,276.62,91.95,117.88,703.33,793.75,0.12,0.23,271.59,321.0,35.15,34.73,50.5,61.23,360.74,385.43,31.93,30.36,16.5,12.0,89.85,125.7,9.6,18.33,321.08,366.64,8.67,10.29,0,4,0,31,23,128,0.062,30,2,9,48,7,0,14,3,0
0,235.14,221.84,91.95,84.05,703.33,695.63,0.12,0.12,271.59,303.46,35.15,29.46,50.5,41.86,360.74,354.0,31.93,35.09,16.5,15.27,89.85,100.45,9.6,18.17,321.08,325.81,8.67,13.5,1,3,0,48,2,103,0.447,39,6,9,56,2,2,10,0,61.0
2,235.14,261.0,91.95,116.5,703.33,784.81,0.12,0.16,271.59,275.43,35.15,34.62,50.5,49.31,360.74,374.87,31.93,36.08,16.5,17.88,89.85,93.83,9.6,13.89,321.08,344.4,8.67,12.1,1,4,0,54,16,160,0.237,51,5,5,87,0,6,10,0,70.0
0,235.14,205.85,91.95,84.45,703.33,608.25,0.12,0.14,271.59,242.88,35.15,31.17,50.5,34.93,360.74,312.78,31.93,27.5,16.5,16.1,89.85,90.67,9.6,9.17,321.08,288.64,8.67,7.0,1,4,0,56,20,177,0.203,55,1,6,94,9,1,12,1,64.0
1,235.14,196.38,91.95,83.81,703.33,571.29,0.12,-0.11,271.59,242.38,35.15,28.38,50.5,39.33,360.74,300.78,31.93,29.62,16.5,18.5,89.85,96.0,9.6,12.0,321.08,280.58,8.67,13.2,1,5,0,62,23,177,0.220,55,3,9,80,3,2,20,2,77.0
2,235.14,280.12,91.95,101.06,703.33,710.81,0.12,0.2,271.59,277.73,35.15,56.5,50.5,81.6,360.74,344.0,31.93,67.0,16.5,23.75,89.85,115.22,9.6,15.75,321.08,361.7,8.67,14.67,0,3,0,31,12,97,0.196,29,2,8,43,6,2,10,0,40.0
1,235.14,232.86,91.95,103.9,703.33,674.71,0.12,0.16,271.59,239.11,35.15,41.38,50.5,44.81,360.74,325.16,31.93,37.79,16.5,16.4,89.85,111.57,9.6,15.92,321.08,354.06,8.67,15.7,0,4,0,48,20,149,0.188,46,6,2,77,11,1,14,4,62.0
2,235.14,204.0,91.95,90.59,703.33,569.32,0.12,0.24,271.59,207.5,35.15,22.56,50.5,36.8,360.74,262.75,31.93,33.58,16.5,11.82,89.85,84.79,9.6,16.58,321.08,272.4,8.67,9.33,0,3,0,38,15,117,0.197,36,0,7,41,2,0,14,1,45.0
1,235.14,261.0,91.95,106.8,703.33,743.73,0.12,0.13,271.59,282.08,35.15,28.92,50.5,37.5,360.74,372.15,31.93,40.9,16.5,15.56,89.85,87.0,9.6,16.1,321.08,350.62,8.67,9.3,1,4,0,59,23,181,0.199,57,6,7,103,1,1,18,1,75.0
0,235.14,274.68,91.95,92.21,703.33,666.84,0.12,0.17,271.59,350.43,35.15,42.58,50.5,55.15,360.74,322.38,31.93,30.38,16.5,12.36,89.85,91.45,9.6,19.12,321.08,424.6,8.67,16.0,0,3,0,33,13,97,0.206,30,3,4,43,9,0,10,1,41.0
