BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
2,207.3,250.41,94.45,112.65,601.05,729.59,0.19,0.17,257.13,288.71,31.33,47.5,38.75,49.17,293.65,333.62,37.69,53.33,10.18,11.56,101.54,112.5,10.9,14.9,299.22,344.31,9.73,10.0,0,4,0,45,35,161,0.062,39,6,4,66,4,1,4,1,54.0
1,207.3,264.67,94.45,116.67,601.05,777.22,0.19,0.11,257.13,293.0,31.33,45.92,38.75,55.57,293.65,381.12,37.69,40.64,10.18,15.67,101.54,102.92,10.9,15.75,299.22,382.72,9.73,11.62,0,5,0,55,33,159,0.138,51,6,13,55,5,2,14,1,70.0
2,207.3,267.24,94.45,110.0,601.05,811.18,0.19,0.08,257.13,263.38,31.33,38.64,38.75,40.0,293.65,393.94,37.69,36.4,10.18,9.56,101.54,95.92,10.9,13.18,299.22,386.13,9.73,10.3,0,5,0,56,28,180,0.156,53,10,8,66,12,1,23,1,78.5
1,207.3,212.06,94.45,104.22,601.05,603.61,0.19,0.19,257.13,240.2,31.33,36.14,38.75,49.43,293.65,259.12,37.69,44.2,10.18,11.1,101.54,91.15,10.9,12.64,299.22,295.62,9.73,5.0,1,4,0,39,26,143,0.091,35,4,10,68,7,0,34,1,60.0
0,207.3,243.58,94.45,100.11,601.05,687.95,0.19,0.22,257.13,328.92,31.33,45.5,38.75,70.31,293.65,344.44,37.69,46.45,10.18,10.1,101.54,124.5,10.9,22.18,299.22,346.19,9.73,10.44,0,3,0,32,12,95,0.211,32,1,7,43,5,0,4,0,35.0
1,207.3,226.94,94.45,90.67,601.05,617.33,0.19,0.15,257.13,223.06,31.33,29.92,38.75,45.64,293.65,267.41,37.69,26.93,10.18,14.08,101.54,67.64,10.9,7.82,299.22,300.94,9.73,9.5,0,3,0,37,24,113,0.115,33,1,2,45,4,0,12,0,44.0
3,207.3,170.77,94.45,76.77,601.05,463.41,0.19,0.09,257.13,193.28,31.33,26.62,38.75,44.69,293.65,222.22,37.69,26.12,10.18,14.73,101.54,76.5,10.9,14.15,299.22,244.02,9.73,16.38,1,5,0,50,29,144,0.146,49,7,7,54,8,1,21,2,68.5
3,207.3,266.93,94.45,116.07,601.05,752.73,0.19,0.09,257.13,308.42,31.33,39.09,38.75,55.18,293.65,362.69,37.69,47.9,10.18,14.9,101.54,102.09,10.9,14.27,299.22,360.96,9.73,12.25,1,3,0,42,15,104,0.260,39,2,5,48,5,0,12,0,50.0
2,207.3,270.62,94.45,113.25,601.05,778.0,0.19,0.2,257.13,335.17,31.33,37.6,38.75,53.64,293.65,377.93,37.69,33.3,10.18,18.22,101.54,124.4,10.9,12.7,299.22,392.29,9.73,18.33,0,4,0,45,20,140,0.179,42,2,5,54,7,1,18,0,57.0
0,207.3,224.22,94.45,96.39,601.05,667.11,0.19,0.16,257.13,222.71,31.33,31.0,38.75,48.21,293.65,305.76,37.69,32.15,10.18,12.0,101.54,91.38,10.9,13.82,299.22,289.71,9.73,12.29,1,5,0,63,30,183,0.180,62,7,8,91,8,0,18,3,79.0
