BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,267.24,264.67,110.0,116.67,811.18,777.22,0.08,0.11,263.38,293.0,38.64,45.92,40.0,55.57,393.94,381.12,36.4,40.64,9.56,15.67,95.92,102.92,13.18,15.75,386.13,382.72,10.3,11.62,0,3,0,26,19,103,0.068,25,1,2,45,7,1,8,2,32.0
1,267.24,250.41,110.0,112.65,811.18,729.59,0.08,0.17,263.38,288.71,38.64,47.5,40.0,49.17,393.94,333.62,36.4,53.33,9.56,11.56,95.92,112.5,13.18,14.9,386.13,344.31,10.3,10.0,1,5,0,58,20,186,0.204,52,2,8,88,7,2,20,3,72.0
1,267.24,207.3,110.0,94.45,811.18,601.05,0.08,0.19,263.38,257.13,38.64,31.33,40.0,38.75,393.94,293.65,36.4,37.69,9.56,10.18,95.92,101.54,13.18,10.9,386.13,299.22,10.3,9.73,1,5,0,57,19,152,0.250,53,12,10,83,10,2,17,0,79.5
0,267.24,199.18,110.0,90.82,811.18,532.73,0.08,0.15,263.38,263.94,38.64,36.93,40.0,56.59,393.94,245.53,36.4,31.4,9.56,16.1,95.92,78.54,13.18,13.93,386.13,306.14,10.3,13.62,0,3,0,35,18,89,0.191,34,4,2,27,5,1,4,0,42.0
2,267.24,178.71,110.0,67.71,811.18,449.05,0.08,0.11,263.38,205.0,38.64,23.14,40.0,32.18,393.94,202.17,36.4,31.09,9.56,10.73,95.92,68.92,13.18,10.62,386.13,257.92,10.3,10.33,0,3,0,39,15,127,0.189,35,1,5,54,3,3,8,1,47.0
3,267.24,238.0,110.0,102.0,811.18,695.05,0.08,0.16,263.38,279.06,38.64,40.18,40.0,51.0,393.94,393.62,36.4,42.0,9.56,12.8,95.92,86.17,13.18,11.8,386.13,367.07,10.3,18.62,0,4,0,48,24,175,0.137,41,3,9,75,4,1,16,1,60.0
0,267.24,191.12,110.0,82.24,811.18,528.47,0.08,0.19,263.38,217.93,38.64,34.42,40.0,32.43,393.94,233.5,36.4,42.9,9.56,9.78,95.92,69.38,13.18,9.07,386.13,247.53,10.3,8.4,0,4,0,52,17,140,0.250,47,6,3,55,10,1,10,1,64.0
2,267.24,221.84,110.0,84.05,811.18,695.63,0.08,0.12,263.38,303.46,38.64,29.46,40.0,41.86,393.94,354.0,36.4,35.09,9.56,15.27,95.92,100.45,13.18,18.17,386.13,325.81,10.3,13.5,0,5,0,62,30,210,0.152,59,4,5,106/,3,2,8,0,72.0
3,267.24,158.24,110.0,59.9,811.18,428.48,0.08,0.29,263.38,220.5,38.64,29.67,40.0,39.21,393.94,210.44,36.4,28.5,9.56,12.22,95.92,50.12,13.18,6.92,386.13,232.78,10.3,10.78,0,3,0,24,19,97,0.052,23,2,2,38,8,1,10,1,32.0
0,267.24,261.29,110.0,107.53,811.18,689.59,0.08,0.19,263.38,296.5,38.64,42.36,40.0,45.93,393.94,288.19,36.4,42.25,9.56,18.7,95.92,99.09,13.18,11.78,386.13,351.5,10.3,10.17,0,5,0,60,16,156,0.282,59,5,9,64,11,0,14,2,72.0
