BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,198.63,283.0,92.05,111.53,540.21,764.47,0.18,0.15,251.29,299.33,34.92,38.57,34.73,59.43,245.69,359.6,41.09,40.0,18.22,15.44,74.07,84.77,12.8,16.4,290.62,344.68,9.78,18.0,0,3,0,33,10,87,0.264,32,2,5,27,8,3,2,2,0
0,198.63,217.69,92.05,93.69,540.21,631.19,0.18,0.05,251.29,269.5,34.92,40.2,34.73,39.08,245.69,342.46,41.09,48.0,18.22,8.45,74.07,74.5,12.8,11.5,290.62,274.27,9.78,14.0,0,4,0,45,20,124,0.202,44,7,12,46,5,4,6,2,0
0,198.63,255.06,92.05,115.69,540.21,746.56,0.18,0.07,251.29,269.71,34.92,37.21,34.73,52.93,245.69,359.79,41.09,44.18,18.22,13.56,74.07,110.18,12.8,6.55,290.62,373.18,9.78,9.9,0,3,0,30,21,97,0.093,25,2,4,37,10,3,12,0,41.0
1,198.63,313.4,92.05,125.27,540.21,832.47,0.18,0.23,251.29,311.07,34.92,42.08,34.73,56.57,245.69,363.29,41.09,39.25,18.22,18.73,74.07,88.33,12.8,23.17,290.62,401.29,9.78,8.75,0,3,0,26,18,81,0.099,25,1,4,14,4,1,6,2,31.0
0,198.63,259.12,92.05,91.94,540.21,654.53,0.18,0.2,251.29,314.77,34.92,43.21,34.73,62.93,245.69,304.21,41.09,57.89,18.22,19.73,74.07,78.31,12.8,13.55,290.62,362.53,9.78,17.5,0,3,0,32,22,95,0.105,31,2,6,34,11,2,10,3,41.0
0,198.63,109.71,92.05,64.67,540.21,323.05,0.18,0.06,251.29,190.27,34.92,35.0,34.73,32.71,245.69,149.76,41.09,36.13,18.22,9.4,74.07,34.07,12.8,7.09,290.62,171.56,9.78,5.5,1,3,0,37,16,76,0.276,36,11,7,29,1,1,10,1,54.0
0,198.63,227.94,92.05,105.78,540.21,641.94,0.18,0.17,251.29,252.87,34.92,32.93,34.73,45.56,245.69,302.88,41.09,35.67,18.22,13.45,74.07,91.92,12.8,12.33,290.62,311.47,9.78,12.22,1,3,0,38,17,103,0.204,36,10,9,42,4,3,6,0,54.0
1,198.63,254.41,92.05,105.06,540.21,693.59,0.18,0.16,251.29,286.43,34.92,41.73,34.73,58.46,245.69,309.44,41.09,44.36,18.22,13.0,74.07,87.5,12.8,13.58,290.62,362.43,9.78,14.38,1,4,0,44,16,117,0.239,40,7,6,47,6,2,10,2,58.0
0,198.63,267.0,92.05,115.6,540.21,749.4,0.18,0.11,251.29,266.57,34.92,33.5,34.73,41.62,245.69,332.79,41.09,40.5,18.22,10.88,74.07,80.08,12.8,15.58,290.62,331.75,9.78,19.6,1,4,0,58,23,141,0.248,53,8,4,59,6,2,6,1,71.0
0,198.63,238.25,92.05,105.19,540.21,673.5,0.18,0.18,251.29,255.5,34.92,30.0,34.73,43.21,245.69,303.8,41.09,33.25,18.22,12.9,74.07,65.08,12.8,13.21,290.62,307.03,9.78,9.58,1,4,0,51,25,142,0.183,49,2,9,54,4,2,34/,6,72.0
0,198.63,109.71,92.05,64.67,540.21,323.05,0.18,0.06,251.29,190.27,34.92,35.0,34.73,32.71,245.69,149.76,41.09,36.13,18.22,9.4,74.07,34.07,12.8,7.09,290.62,171.56,9.78,5.5,1,3,0,40,14,70,0.371,35,9,2,23,4,0,4,0,51.0
1,198.63,255.29,92.05,105.41,540.21,672.41,0.18,0.17,251.29,283.86,34.92,27.5,34.73,43.69,245.69,280.75,41.09,28.75,18.22,20.67,74.07,83.64,12.8,15.44,290.62,335.97,9.78,14.5,1,4,0,57,21,130,0.277,55,2,5,48,3,3,22,0,73.0
3,198.63,196.95,92.05,93.21,540.21,587.32,0.18,0.15,251.29,221.0,34.92,24.5,34.73,32.4,245.69,267.67,41.09,27.14,18.22,10.54,74.07,64.81,12.8,10.93,290.62,263.31,9.78,18.12,0,3,0,34,19,102,0.147,33,1,4,40,6,0,10,0,40.0
