Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,0,55,19,151,0.238,50,8,11,64,8,0,6,1,66.0,2,Mississippi St.,239.29,246.65,107.82,111.18,697.29,705.94,0.18,0.24,284.0,274.43,38.54,31.54,58.42,43.77,366.86,361.86,40.75,40.91,19.33,22.8,70.55,84.45,13.2,10.8,336.13,338.43,21.43,8.57
1,3,0,39,9,92,0.326,36,3,6,51,5,3,4,2,0,0,Western Ill.,239.29,206.72,107.82,95.5,697.29,599.56,0.18,0.03,284.0,286.08,38.54,31.23,58.42,52.31,366.86,273.75,40.75,31.92,19.33,13.27,70.55,78.85,13.2,7.9,336.13,304.1,21.43,11.5
1,3,0,42,8,92,0.370,41,7,11,43,1,1,6,0,53.0,2,Mississippi Val.,239.29,180.41,107.82,109.94,697.29,583.06,0.18,-0.04,284.0,180.53,38.54,38.77,58.42,46.23,366.86,257.81,40.75,39.53,19.33,12.1,70.55,52.42,13.2,13.5,336.13,256.37,21.43,23.0
0,4,0,43,16,130,0.208,41,5,10,46,7,1,16,2,57.0,8,Tennessee St.,239.29,191.26,107.82,87.05,697.29,563.42,0.18,0.21,284.0,225.93,38.54,24.14,58.42,41.31,366.86,277.29,40.75,25.87,19.33,11.0,70.55,69.77,13.2,10.64,336.13,247.97,21.43,17.75
0,4,0,22,22,124,0.000,20,4,5,45,7,4,4,0,32.0,3,Murray St.,239.29,250.61,107.82,105.72,697.29,699.33,0.18,0.06,284.0,245.06,38.54,29.87,58.42,50.86,366.86,313.47,40.75,31.92,19.33,11.82,70.55,60.08,13.2,8.9,336.13,308.03,21.43,13.38
0,3,0,20,11,78,0.115,18,3,6,29,8,3,4,0,28.0,2,Troy,239.29,268.24,107.82,127.29,697.29,720.29,0.18,0.15,284.0,284.87,38.54,49.6,58.42,76.91,366.86,315.53,40.75,45.4,19.33,26.3,70.55,86.0,13.2,9.0,336.13,342.12,21.43,9.83
0,4,0,44,33,142,0.077,39,8,12,62,6,0,6,0,55.0,5,Jacksonville,239.29,254.41,107.82,105.06,697.29,693.59,0.18,0.16,284.0,286.43,38.54,41.73,58.42,58.46,366.86,309.44,40.75,44.36,19.33,13.0,70.55,87.5,13.2,13.58,336.13,362.43,21.43,14.38
1,4,0,54,22,144,0.222,49,10,10,70,8,1,6,0,68.0,1,Tennessee Tech,239.29,224.16,107.82,100.47,697.29,644.16,0.18,0.14,284.0,247.38,38.54,29.46,58.42,38.94,366.86,308.82,40.75,44.11,19.33,15.73,70.55,73.77,13.2,12.5,336.13,295.85,21.43,10.0
1,5,0,59,25,147,0.231,48,10,11,53,10,2,6,2,74.0,3,Manhattan,239.29,226.35,107.82,104.76,697.29,687.24,0.18,0.05,284.0,268.77,38.54,41.38,58.42,53.27,366.86,314.69,40.75,48.17,19.33,16.67,70.55,83.27,13.2,18.56,336.13,356.68,21.43,24.67
0,5,0,57,28,164,0.177,52,8,10,74,6,0,18,0,74.0,2,Virginia Tech,239.29,230.95,107.82,105.68,697.29,676.95,0.18,0.18,284.0,255.0,38.54,28.14,58.42,43.8,366.86,299.17,40.75,35.25,19.33,12.5,70.55,75.08,13.2,13.1,336.13,297.88,21.43,14.5
0,3,0,41,24,128,0.133,39,1,6,50,3,1,4,1,45.0,2,Charlotte,239.29,221.84,107.82,84.05,697.29,695.63,0.18,0.12,284.0,303.46,38.54,29.46,58.42,41.86,366.86,354.0,40.75,35.09,19.33,15.27,70.55,100.45,13.2,18.17,336.13,325.81,21.43,13.5
0,3,0,28,27,107,0.009,28,2,4,37,5,1,2,2,32.0,3,Arkansas St.,239.29,251.41,107.82,113.06,697.29,734.53,0.18,0.19,284.0,277.5,38.54,48.78,58.42,47.42,366.86,383.43,40.75,47.62,19.33,20.7,70.55,89.82,13.2,11.0,336.13,371.18,21.43,14.36
0,3,0,34,20,101,0.139,32,1,5,34,5,0,6,1,38.0,1,Samford,239.29,246.72,107.82,100.11,697.29,683.94,0.18,0.12,284.0,293.0,38.54,53.0,58.42,64.55,366.86,368.07,40.75,50.7,19.33,25.12,70.55,105.0,13.2,22.22,336.13,406.93,21.43,12.6
0,3,0,40,16,98,0.245,33,1,6,39,5,2,10,3,48.0,1,ETSU,239.29,313.4,107.82,125.27,697.29,832.47,0.18,0.23,284.0,311.07,38.54,42.08,58.42,56.57,366.86,363.29,40.75,39.25,19.33,18.73,70.55,88.33,13.2,23.17,336.13,401.29,21.43,8.75
0,3,0,40,20,136,0.147,37,5,8,68,5,1,8,0,50.0,3,Western Caro.,239.29,289.73,107.82,116.87,697.29,873.33,0.18,0.18,284.0,307.23,38.54,39.64,58.42,48.82,366.86,432.29,40.75,43.9,19.33,17.8,70.55,70.91,13.2,17.11,336.13,357.11,21.43,9.62
0,3,0,35,11,97,0.247,33,3,6,42,3,4,6,1,45.0,1,Mercer,239.29,264.31,107.82,121.44,697.29,721.81,0.18,0.21,284.0,279.64,38.54,47.82,58.42,81.64,366.86,325.36,40.75,44.67,19.33,21.83,70.55,79.0,13.2,24.7,336.13,357.93,21.43,16.67
0,4,0,40,25,154,0.097,36,6,5,77,7,2,8,2,52.0,2,UNC Greensboro,239.29,245.35,107.82,116.47,697.29,716.94,0.18,0.15,284.0,241.56,38.54,35.0,58.42,48.57,366.86,318.12,40.75,40.92,19.33,19.5,70.55,74.85,13.2,13.33,336.13,329.03,21.43,16.83
0,5,0,67,31,196,0.184,61,6,10,78,4,0,20,1,83.0,3,Furman,239.29,288.6,107.82,118.8,697.29,820.07,0.18,0.12,284.0,329.0,38.54,41.4,58.42,48.27,366.86,405.31,40.75,45.64,19.33,24.5,70.55,90.5,13.2,17.09,336.13,389.88,21.43,12.43
0,5,0,49,24,159,0.157,39,6,9,57,10,3,10,3,63.0,0,Wofford,239.29,246.59,107.82,110.71,697.29,690.94,0.18,0.22,284.0,224.82,38.54,52.64,58.42,56.57,366.86,276.71,40.75,44.38,19.33,21.0,70.55,54.0,13.2,17.29,336.13,322.09,21.43,6.46
0,5,0,57,27,157,0.191,54,3,6,62,5,1,14,0,68.0,3,The Citadel,239.29,199.6,107.82,95.45,697.29,591.85,0.18,0.15,284.0,246.53,38.54,46.0,58.42,60.38,366.86,296.18,40.75,40.0,19.33,18.9,70.55,67.67,13.2,18.36,336.13,321.19,21.43,20.0
0,5,0,54,26,191,0.147,46,15,12,92,1,1,14,5,77.0,0,Samford,239.29,246.72,107.82,100.11,697.29,683.94,0.18,0.12,284.0,293.0,38.54,53.0,58.42,64.55,366.86,368.07,40.75,50.7,19.33,25.12,70.55,105.0,13.2,22.22,336.13,406.93,21.43,12.6
0,3,0,28,18,103,0.097,27,0,6,44,4,0,2,1,29.0,1,Western Caro.,239.29,289.73,107.82,116.87,697.29,873.33,0.18,0.18,284.0,307.23,38.54,39.64,58.42,48.82,366.86,432.29,40.75,43.9,19.33,17.8,70.55,70.91,13.2,17.11,336.13,357.11,21.43,9.62
0,5,0,50,28,150,0.147,46,3,11,64,5,5,8,0,62.0,0,ETSU,239.29,313.4,107.82,125.27,697.29,832.47,0.18,0.23,284.0,311.07,38.54,42.08,58.42,56.57,366.86,363.29,40.75,39.25,19.33,18.73,70.55,88.33,13.2,23.17,336.13,401.29,21.43,8.75
0,3,0,28,21,112,0.062,25,7,9,40,3,2,6,1,40.0,2,Mercer,239.29,264.31,107.82,121.44,697.29,721.81,0.18,0.21,284.0,279.64,38.54,47.82,58.42,81.64,366.86,325.36,40.75,44.67,19.33,21.83,70.55,79.0,13.2,24.7,336.13,357.93,21.43,16.67
0,5,0,66,24,167,0.251,59,8,3,65,4,4,10,2,83.0,0,Furman,239.29,288.6,107.82,118.8,697.29,820.07,0.18,0.12,284.0,329.0,38.54,41.4,58.42,48.27,366.86,405.31,40.75,45.64,19.33,24.5,70.55,90.5,13.2,17.09,336.13,389.88,21.43,12.43
0,4,0,42,29,158,0.082,39,6,5,59,8,1,14,1,56.0,2,UNC Greensboro,239.29,245.35,107.82,116.47,697.29,716.94,0.18,0.15,284.0,241.56,38.54,35.0,58.42,48.57,366.86,318.12,40.75,40.92,19.33,19.5,70.55,74.85,13.2,13.33,336.13,329.03,21.43,16.83
1,5,0,58,20,163,0.233,54,11,15,81,5,2,10,3,76.0,4,The Citadel,239.29,199.6,107.82,95.45,697.29,591.85,0.18,0.15,284.0,246.53,38.54,46.0,58.42,60.38,366.86,296.18,40.75,40.0,19.33,18.9,70.55,67.67,13.2,18.36,336.13,321.19,21.43,20.0
1,3,0,37,14,99,0.232,31,6,9,43,3,5,6,0,51.0,0,Wofford,239.29,246.59,107.82,110.71,697.29,690.94,0.18,0.22,284.0,224.82,38.54,52.64,58.42,56.57,366.86,276.71,40.75,44.38,19.33,21.0,70.55,54.0,13.2,17.29,336.13,322.09,21.43,6.46
0,3,0,30,17,103,0.126,29,4,4,46,6,2,4,1,38.0,0,The Citadel,239.29,199.6,107.82,95.45,697.29,591.85,0.18,0.15,284.0,246.53,38.54,46.0,58.42,60.38,366.86,296.18,40.75,40.0,19.33,18.9,70.55,67.67,13.2,18.36,336.13,321.19,21.43,20.0
