BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,222.94,270.71,92.94,106.65,586.67,740.82,0.2,0.17,240.93,302.5,34.0,29.36,57.55,45.77,257.31,349.07,33.83,35.83,14.91,15.27,104.18,108.0,14.5,16.09,300.56,372.3,7.14,11.38,1,3,0,39,19,110,0.182,35,4,2,39,3,1,14,2,0
2,222.94,238.25,92.94,105.19,586.67,673.5,0.2,0.18,240.93,255.5,34.0,30.0,57.55,43.21,257.31,303.8,33.83,33.25,14.91,12.9,104.18,65.08,14.5,13.21,300.56,307.03,7.14,9.58,1,3,0,35,17,99,0.182,33,2,7,45,3,1,16,1,0
2,222.94,212.85,92.94,83.4,586.67,555.2,0.2,0.23,240.93,283.43,34.0,29.17,57.55,43.5,257.31,270.94,33.83,31.0,14.91,17.33,104.18,79.21,14.5,11.22,300.56,274.92,7.14,9.22,1,4,0,50,21,128,0.227,47,5,4,58,3,2,18,1,0
1,222.94,233.89,92.94,87.47,586.67,622.53,0.2,0.15,240.93,224.33,34.0,32.54,57.55,50.87,257.31,261.28,33.83,32.79,14.91,9.8,104.18,89.92,14.5,8.38,300.56,306.15,7.14,9.5,1,3,0,39,8,90,0.344,33,2,10,39,2,0,18,0,50.0
0,222.94,221.48,92.94,89.24,586.67,586.33,0.2,0.05,240.93,288.0,34.0,38.58,57.55,49.93,257.31,269.33,33.83,31.75,14.91,13.78,104.18,102.17,14.5,13.6,300.56,317.36,7.14,7.0,1,3,0,44,8,78,0.462,35,7,6,21,7,1,10,0,57.0
0,222.94,254.38,92.94,105.69,586.67,653.88,0.2,0.2,240.93,293.08,34.0,39.67,57.55,58.36,257.31,279.8,33.83,45.11,14.91,22.33,104.18,119.55,14.5,14.0,300.56,385.89,7.14,6.38,0,3,0,20,20,85,0.000,19,2,8,27,4,1,6,4,26.0
2,222.94,254.38,92.94,105.69,586.67,653.88,0.2,0.2,240.93,293.08,34.0,39.67,57.55,58.36,257.31,279.8,33.83,45.11,14.91,22.33,104.18,119.55,14.5,14.0,300.56,385.89,7.14,6.38,0,5,0,45,22,129,0.178,38,4,7,43,6,4,16,0,61.0
0,222.94,196.38,92.94,83.81,586.67,571.29,0.2,-0.11,240.93,242.38,34.0,28.38,57.55,39.33,257.31,300.78,33.83,29.62,14.91,18.5,104.18,96.0,14.5,12.0,300.56,280.58,7.14,13.2,1,4,0,60,12,98,0.490,54,1,9,40,4,1,18,8/,71.0
0,222.94,191.12,92.94,82.24,586.67,528.47,0.2,0.19,240.93,217.93,34.0,34.42,57.55,32.43,257.31,233.5,33.83,42.9,14.91,9.78,104.18,69.38,14.5,9.07,300.56,247.53,7.14,8.4,1,3,0,44,14,108,0.278,42,6,5,48,6,1,14,2,58.0
1,222.94,249.31,92.94,111.75,586.67,692.56,0.2,0.16,240.93,278.15,34.0,47.36,57.55,37.5,257.31,314.0,33.83,38.46,14.91,15.33,104.18,81.58,14.5,9.6,300.56,342.47,7.14,9.88,1,3,0,41,10,92,0.337,37,4,6,36,2,1,13,0,52.5
