Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,0,44,33,163,0.067,37,5,10,65,5,0,8,4,53.0,0,Nebraska,259.88,289.12,106.5,114.81,712.12,766.44,0.23,0.18,259.0,330.46,40.42,37.6,52.57,72.8,345.71,345.67,41.2,41.89,14.75,14.5,108.6,116.45,19.8,24.75,353.6,372.47,11.4,11.2
0,3,0,31,14,99,0.172,27,3,13,33,3,0,6,3,37.0,0,Baylor,259.88,265.25,106.5,101.38,712.12,659.81,0.23,0.24,259.0,331.17,40.42,33.2,52.57,50.38,345.71,304.64,41.2,35.11,14.75,13.38,108.6,116.73,19.8,15.11,353.6,367.79,11.4,8.55
1,4,0,65,14,161,0.317,59,4,14,63,3,2,16,1,79.0,2,Kentucky,259.88,254.22,106.5,96.72,712.12,667.78,0.23,0.2,259.0,352.17,40.42,33.67,52.57,51.08,345.71,330.6,41.2,29.83,14.75,16.27,108.6,116.18,19.8,13.73,353.6,386.53,11.4,9.43
1,5,0,57,28,188,0.154,55,6,8,88,3,1,13,4,70.5,0,UNI,259.88,327.81,106.5,133.5,712.12,935.06,0.23,0.18,259.0,375.85,40.42,42.18,52.57,56.69,345.71,481.57,41.2,36.08,14.75,19.8,108.6,99.91,19.8,15.22,353.6,430.37,11.4,8.0
1,4,0,65,15,141,0.355,58,4,9,60,9,2,8,5,75.0,0,Southern California,259.88,285.72,106.5,107.17,712.12,755.0,0.23,0.2,259.0,294.94,40.42,41.31,52.57,68.69,345.71,341.88,41.2,39.43,14.75,14.55,108.6,141.27,19.8,19.2,353.6,441.13,11.4,12.71
1,3,0,34,12,84,0.262,34,8,10,37,4,1,8,2,47.0,0,Omaha,259.88,258.74,106.5,109.47,712.12,690.58,0.23,0.14,259.0,271.12,40.42,44.15,52.57,58.73,345.71,316.94,41.2,37.14,14.75,12.36,108.6,96.5,19.8,15.82,353.6,362.41,11.4,8.5
1,4,0,63,15,141,0.340,60,5,16,73,6,3,12,2,77.0,0,Drake,259.88,258.11,106.5,108.44,712.12,796.11,0.23,0.08,259.0,294.0,40.42,35.14,52.57,46.2,345.71,381.53,41.2,39.57,14.75,9.73,108.6,92.71,19.8,9.08,353.6,346.68,11.4,9.0
0,4,0,54,22,150,0.213,52,5,9,49,9,1,6,2,63.0,1,Washington,259.88,291.61,106.5,108.83,712.12,759.67,0.23,0.19,259.0,343.57,40.42,40.77,52.57,61.07,345.71,347.62,41.2,48.4,14.75,17.4,108.6,121.38,19.8,21.55,353.6,434.97,11.4,13.0
1,3,0,44,15,105,0.276,39,2,10,39,1,3,16,2,57.0,0,Wichita St.,259.88,214.39,106.5,92.67,712.12,611.89,0.23,0.19,259.0,257.79,40.42,22.07,52.57,38.6,345.71,279.24,41.2,24.57,14.75,11.9,108.6,77.21,19.8,12.0,353.6,285.18,11.4,9.62
1,3,0,40,16,118,0.203,37,6,5,53,4,4,20,2,60.0,0,Wyoming,259.88,270.71,106.5,106.65,712.12,740.82,0.23,0.17,259.0,302.5,40.42,29.36,52.57,45.77,345.71,349.07,41.2,35.83,14.75,15.27,108.6,108.0,19.8,16.09,353.6,372.3,11.4,11.38
1,3,0,50,12,104,0.365,49,9,5,49,0,2,0,2,61.0,1,Villanova,259.88,214.05,106.5,74.05,712.12,572.95,0.23,0.17,259.0,277.29,40.42,39.83,52.57,60.93,345.71,287.06,41.2,37.92,14.75,14.91,108.6,86.45,19.8,16.0,353.6,284.13,11.4,10.12
1,4,0,48,17,113,0.274,44,6,14,50,6,0,16,1,62.0,0,Georgetown,259.88,210.85,106.5,97.95,712.12,605.0,0.23,0.18,259.0,231.82,40.42,32.6,52.57,56.94,345.71,277.89,41.2,29.4,14.75,11.8,108.6,69.06,19.8,9.0,353.6,282.95,11.4,13.0
1,3,0,45,12,108,0.306,41,8,4,49,4,1,8,1,58.0,0,Seton Hall,259.88,229.61,106.5,95.72,712.12,675.94,0.23,0.07,259.0,251.87,40.42,39.58,52.57,46.92,345.71,324.69,41.2,47.82,14.75,13.6,108.6,75.64,19.8,12.67,353.6,344.0,11.4,9.38
1,3,0,43,10,77,0.429,38,11,8,29,2,2,2,0,57.0,0,DePaul,259.88,248.32,106.5,100.42,712.12,677.53,0.23,0.14,259.0,288.2,40.42,41.75,52.57,54.33,345.71,314.06,41.2,63.78,14.75,29.55,108.6,64.31,19.8,9.8,353.6,350.71,11.4,5.5
1,5,0,76,25,186,0.274,68,6,15,85,5,1,26,4,96.0/,1,Marquette,259.88,266.84,106.5,96.95,712.12,677.42,0.23,0.25,259.0,299.44,40.42,34.4,52.57,51.6,345.71,298.72,41.2,40.91,14.75,10.3,108.6,82.71,19.8,15.64,353.6,348.22,11.4,5.75
1,3,0,46,13,105,0.314,45,9,6,52,3,1,12,3,62.0,0,Butler,259.88,261.0,106.5,116.5,712.12,784.81,0.23,0.16,259.0,275.43,40.42,34.62,52.57,49.31,345.71,374.87,41.2,36.08,14.75,17.88,108.6,93.83,19.8,13.89,353.6,344.4,11.4,12.1
1,3,0,45,18,98,0.276,43,9,9,38,5,1,3,2,56.5,0,Xavier,259.88,261.0,106.5,106.8,712.12,743.73,0.23,0.13,259.0,282.08,40.42,28.92,52.57,37.5,345.71,372.15,41.2,40.9,14.75,15.56,108.6,87.0,19.8,16.1,353.6,350.62,11.4,9.3
1,3,0,46,22,123,0.195,44,4,8,50,2,1,10,2,56.0,0,Providence,259.88,222.89,106.5,107.78,712.12,651.39,0.23,0.07,259.0,230.44,40.42,35.64,52.57,48.27,345.71,318.38,41.2,37.86,14.75,9.83,108.6,82.15,19.8,12.62,353.6,294.65,11.4,17.29
1,3,0,40,17,103,0.223,38,4,9,50,1,0,10,4,49.0,0,Providence,259.88,222.89,106.5,107.78,712.12,651.39,0.23,0.07,259.0,230.44,40.42,35.64,52.57,48.27,345.71,318.38,41.2,37.86,14.75,9.83,108.6,82.15,19.8,12.62,353.6,294.65,11.4,17.29
