BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
3,182.62,199.81,80.71,82.19,519.48,589.43,0.13,0.19,223.94,275.43,33.58,38.92,38.53,34.31,236.95,312.78,33.62,31.14,8.69,13.0,60.6,61.0,10.43,10.42,266.97,295.53,8.42,11.33,0,5,0,56,29,168,0.161,51,3,6,72,7,3,10,1,67.0
3,182.62,261.5,80.71,112.11,519.48,720.89,0.13,0.09,223.94,314.71,33.58,41.27,38.53,48.85,236.95,328.53,33.62,37.7,8.69,18.25,60.6,97.09,10.43,14.55,266.97,343.56,8.42,19.17,0,5,0,47,18,150,0.193,41,5,3,60,13,1,18,4,62.0
2,182.62,227.94,80.71,105.78,519.48,641.94,0.13,0.17,223.94,252.87,33.58,32.93,38.53,45.56,236.95,302.88,33.62,35.67,8.69,13.45,60.6,91.92,10.43,12.33,266.97,311.47,8.42,12.22,1,3,0,34,10,86,0.279,29,6,7,32,3,2,12,1,48.0
1,182.62,230.95,80.71,105.68,519.48,676.95,0.13,0.18,223.94,255.0,33.58,28.14,38.53,43.8,236.95,299.17,33.62,35.25,8.69,12.5,60.6,75.08,10.43,13.1,266.97,297.88,8.42,14.5,0,4,0,45,32,157,0.083,43,4,5,75,5,1,4,2,52.0
3,182.62,264.72,80.71,121.22,519.48,745.72,0.13,0.1,223.94,298.4,33.58,42.33,38.53,45.13,236.95,323.76,33.62,44.25,8.69,12.2,60.6,99.29,10.43,14.45,266.97,358.18,8.42,15.27,1,5,0,58,33,163,0.153,58,5,7,75,2,4,22,5,78.0
0,182.62,230.9,80.71,96.8,519.48,632.3,0.13,0.17,223.94,285.0,33.58,37.67,38.53,57.4,236.95,294.72,33.62,38.75,8.69,13.44,60.6,109.86,10.43,11.67,266.97,372.44,8.42,11.27,0,3,0,24,20,107,0.037,22,3,4,47,5,0,6,1,30.0
1,182.62,236.5,80.71,111.88,519.48,694.0,0.13,0.07,223.94,250.86,33.58,42.73,38.53,44.58,236.95,341.29,33.62,42.9,8.69,15.67,60.6,75.25,10.43,11.0,266.97,346.14,8.42,13.22,1,3,0,41,11,105,0.286,38,10,8,48,1,0,10,1,56.0
0,182.62,231.05,80.71,101.79,519.48,672.95,0.13,0.18,223.94,316.54,33.58,48.92,38.53,53.83,236.95,350.44,33.62,47.14,8.69,13.3,60.6,71.21,10.43,18.45,266.97,314.31,8.42,22.29,1,3,0,42,11,104,0.298,40,8,7,42,3,0,6,0,53.0
0,182.62,255.06,80.71,115.69,519.48,746.56,0.13,0.07,223.94,269.71,33.58,37.21,38.53,52.93,236.95,359.79,33.62,44.18,8.69,13.56,60.6,110.18,10.43,6.55,266.97,373.18,8.42,9.9,1,3,0,33,7,75,0.347,31,4,3,31,8,1,20,0,48.0
3,182.62,221.84,80.71,84.05,519.48,695.63,0.13,0.12,223.94,303.46,33.58,29.46,38.53,41.86,236.95,354.0,33.62,35.09,8.69,15.27,60.6,100.45,10.43,18.17,266.97,325.81,8.42,13.5,0,5,0,75/,26,225,0.218,72/,1,7,112,6,1,8,8/,81.0
0,182.62,254.41,80.71,105.06,519.48,693.59,0.13,0.16,223.94,286.43,33.58,41.73,38.53,58.46,236.95,309.44,33.62,44.36,8.69,13.0,60.6,87.5,10.43,13.58,266.97,362.43,8.42,14.38,0,4,0,49,30,150,0.127,48,6,7,57,5,5,20,3,70.0
1,182.62,246.59,80.71,110.71,519.48,690.94,0.13,0.22,223.94,224.82,33.58,52.64,38.53,56.57,236.95,276.71,33.62,44.38,8.69,21.0,60.6,54.0,10.43,17.29,266.97,322.09,8.42,6.46,0,5,0,44,30,155,0.090,41,8,8,62,6,2,16,1,62.0
0,182.62,191.96,80.71,86.87,519.48,554.35,0.13,0.16,223.94,205.75,33.58,36.44,38.53,45.2,236.95,263.14,33.62,32.88,8.69,14.0,60.6,85.0,10.43,10.93,266.97,260.0,8.42,17.09,0,3,0,28,16,100,0.120,26,3,5,38,6,0,6,2,34.0
1,182.62,217.69,80.71,93.69,519.48,631.19,0.13,0.05,223.94,269.5,33.58,40.2,38.53,39.08,236.95,342.46,33.62,48.0,8.69,8.45,60.6,74.5,10.43,11.5,266.97,274.27,8.42,14.0,1,4,0,53,23,154,0.195,50,6,8,51,5,3,14,1,69.0
0,182.62,251.88,80.71,102.29,519.48,713.82,0.13,0.16,223.94,267.27,33.58,35.15,38.53,51.12,236.95,349.2,33.62,37.55,8.69,14.71,60.6,101.8,10.43,12.8,266.97,327.8,8.42,13.0,0,3,0,32,19,103,0.126,29,0,5,31,3,1,6,1,36.0
0,182.62,234.28,80.71,92.56,519.48,611.11,0.13,0.09,223.94,281.57,33.58,31.85,38.53,54.23,236.95,269.19,33.62,44.0,8.69,17.38,60.6,151.4,10.43,16.89,266.97,307.97,8.42,11.83,0,3,0,34,18,89,0.180,31,2,4,25,4,1,4,0,39.0
1,182.62,194.4,80.71,82.65,519.48,611.75,0.13,0.13,223.94,224.19,33.58,25.5,38.53,32.81,236.95,323.94,33.62,45.88,8.69,11.4,60.6,79.0,10.43,12.73,266.97,271.71,8.42,17.0,1,4,0,63,26,161,0.230,59,4,7,56,6,1,12,1,74.0
1,182.62,195.67,80.71,82.56,519.48,592.44,0.13,0.09,223.94,272.08,33.58,36.18,38.53,47.85,236.95,313.27,33.62,33.92,8.69,14.22,60.6,68.58,10.43,10.73,266.97,274.7,8.42,10.62,1,3,0,38,11,106,0.255,36,4,4,62,4,1,10,0,48.0
0,182.62,234.28,80.71,92.56,519.48,611.11,0.13,0.09,223.94,281.57,33.58,31.85,38.53,54.23,236.95,269.19,33.62,44.0,8.69,17.38,60.6,151.4,10.43,16.89,266.97,307.97,8.42,11.83,0,3,0,33,17,102,0.157,27,4,6,35,2,2,4,0,41.0
1,182.62,251.88,80.71,102.29,519.48,713.82,0.13,0.16,223.94,267.27,33.58,35.15,38.53,51.12,236.95,349.2,33.62,37.55,8.69,14.71,60.6,101.8,10.43,12.8,266.97,327.8,8.42,13.0,0,4,0,42,23,148,0.128,39,3,10,45,5,2,14,1,54.0
0,182.62,217.69,80.71,93.69,519.48,631.19,0.13,0.05,223.94,269.5,33.58,40.2,38.53,39.08,236.95,342.46,33.62,48.0,8.69,8.45,60.6,74.5,10.43,11.5,266.97,274.27,8.42,14.0,1,3,0,40,10,106,0.283,38,3,4,54,4,1,18,0,53.0
1,182.62,198.17,80.71,96.5,519.48,574.33,0.13,0.18,223.94,272.58,33.58,51.44,38.53,50.36,236.95,269.94,33.62,49.89,8.69,8.5,60.6,102.33,10.43,15.09,266.97,283.41,8.42,10.2,0,4,0,58,33,150,0.167,57,2,11,51,8,0,10,2,65.0
1,182.62,194.72,80.71,87.44,519.48,564.11,0.13,0.21,223.94,230.57,33.58,31.54,38.53,29.21,236.95,269.25,33.62,39.58,8.69,10.42,60.6,70.5,10.43,11.29,266.97,259.82,8.42,19.86,1,4,0,60,21,155,0.252,56,7,5,59,7,1,8,0,72.0
1,182.62,195.67,80.71,82.56,519.48,592.44,0.13,0.09,223.94,272.08,33.58,36.18,38.53,47.85,236.95,313.27,33.62,33.92,8.69,14.22,60.6,68.58,10.43,10.73,266.97,274.7,8.42,10.62,0,3,0,28,17,101,0.109,28,3,5,34,6,0,4,4,33.0
