BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
3,224.74,184.58,88.89,89.89,637.58,551.37,0.26,0.15,248.25,206.69,29.0,34.77,35.31,38.71,316.29,229.5,32.58,30.5,14.2,12.64,86.33,93.93,5.25,4.5,279.42,267.0,11.29,10.4,1,5,0,60,30,172,0.174,58,5,6,81,8,0,20,0,75.0
2,224.74,234.21,88.89,88.68,637.58,658.63,0.26,0.18,248.25,275.87,29.0,32.27,35.31,40.73,316.29,357.93,32.58,51.0,14.2,12.18,86.33,89.58,5.25,11.8,279.42,317.94,11.29,11.0,0,3,0,35,21,101,0.139,34,4,5,37,7,0,6,0,0
0,224.74,261.0,88.89,106.8,637.58,743.73,0.26,0.13,248.25,282.08,29.0,28.92,35.31,37.5,316.29,372.15,32.58,40.9,14.2,15.56,86.33,87.0,5.25,16.1,279.42,350.62,11.29,9.3,0,4,0,59,23,151,0.238,56,2,4,56,6,1,14,0,0
1,224.74,164.19,88.89,81.57,637.58,498.71,0.26,0.04,248.25,211.4,29.0,49.2,35.31,49.67,316.29,323.36,32.58,43.45,14.2,23.5,86.33,57.77,5.25,15.6,279.42,276.8,11.29,15.27,1,4,0,60,18,149,0.282,55,4,8,69,4,2,6,3,69.0
0,224.74,215.05,88.89,88.63,637.58,667.74,0.26,0.12,248.25,252.53,29.0,24.2,35.31,35.53,316.29,348.94,32.58,28.62,14.2,20.6,86.33,66.08,5.25,9.27,279.42,282.44,11.29,11.5,0,3,0,39,16,126,0.183,39,2,6,64,5,3,4,3,46.0
2,224.74,199.42,88.89,89.89,637.58,583.26,0.26,0.1,248.25,196.89,29.0,32.93,35.31,51.53,316.29,266.22,32.58,29.21,14.2,18.45,86.33,76.42,5.25,13.0,279.42,265.44,11.29,12.27,1,3,0,45,22,118,0.195,39,3,4,59,1,0,16,1,56.0
2,224.74,192.95,88.89,78.68,637.58,527.05,0.26,0.14,248.25,230.59,29.0,38.43,35.31,45.0,316.29,247.47,32.58,38.62,14.2,16.7,86.33,66.33,5.25,12.7,279.42,270.84,11.29,9.3,0,5,0,63,22,170,0.241,61,5,10,77,6,2,24,0,82.0
0,224.74,221.67,88.89,83.57,637.58,560.43,0.26,0.31,248.25,306.93,29.0,42.83,35.31,56.64,316.29,289.06,32.58,56.11,14.2,11.9,86.33,91.38,5.25,13.8,279.42,278.7,11.29,9.17,0,3,0,32,16,102,0.157,29,2,4,39,4,3,10,0,42.0
0,224.74,289.29,88.89,121.76,637.58,827.29,0.26,0.17,248.25,307.53,29.0,35.42,35.31,48.23,316.29,379.44,32.58,37.33,14.2,18.62,86.33,118.91,5.25,15.89,279.42,409.7,11.29,6.55,1,4,0,60,16,150,0.293,60,3,5,70,4,1,20,0,74.0
4,224.74,250.61,88.89,105.72,637.58,699.33,0.26,0.06,248.25,245.06,29.0,29.87,35.31,50.86,316.29,313.47,32.58,31.92,14.2,11.82,86.33,60.08,5.25,8.9,279.42,308.03,11.29,13.38,0,3,0,27,19,88,0.091,26,3,4,40,5,1,6,0,34.0
3,224.74,237.11,88.89,86.84,637.58,649.53,0.26,0.17,248.25,261.62,29.0,44.92,35.31,55.0,316.29,315.47,32.58,37.64,14.2,14.6,86.33,46.71,5.25,9.64,279.42,338.44,11.29,11.36,1,3,0,45,10,121,0.289,42,4,5,60,4,0,16,0,57.0
0,224.74,260.61,88.89,105.61,637.58,687.61,0.26,0.18,248.25,311.36,29.0,43.73,35.31,49.38,316.29,294.65,32.58,29.36,14.2,18.6,86.33,119.5,5.25,12.91,279.42,390.6,11.29,7.7,0,4,0,48,17,139,0.223,47,3,6,41,7,1,18,1,61.0
0,224.74,250.0,88.89,100.71,637.58,700.71,0.26,0.18,248.25,281.29,29.0,31.0,35.31,52.42,316.29,323.06,32.58,34.0,14.2,21.67,86.33,64.77,5.25,7.42,279.42,325.44,11.29,16.67,0,3,0,26,13,88,0.148,25,3,4,38,4,1,8,0,34.0
2,224.74,227.44,88.89,98.0,637.58,610.44,0.26,0.13,248.25,269.29,29.0,40.9,35.31,43.79,316.29,278.81,32.58,42.64,14.2,15.5,86.33,77.55,5.25,12.2,279.42,300.5,11.29,9.33,0,4,0,51,22,135,0.215,48,2,7,56,5,1,12,0,60.0
0,224.74,229.63,88.89,101.89,637.58,681.05,0.26,0.14,248.25,291.93,29.0,34.33,35.31,39.77,316.29,363.81,32.58,29.46,14.2,22.73,86.33,65.69,5.25,6.86,279.42,303.59,11.29,14.6,0,4,0,55,25,166,0.181,55,3,5,73,4,2,19,0,69.5
0,224.74,214.68,88.89,84.14,637.58,601.18,0.26,0.1,248.25,293.47,29.0,38.64,35.31,58.23,316.29,321.22,32.58,37.09,14.2,20.91,86.33,98.82,5.25,15.0,279.42,361.97,11.29,8.5,1,4,0,61,21,150,0.267,55,3,1,71,8,2,18,0,75.0
0,224.74,263.4,88.89,107.87,637.58,780.27,0.26,0.21,248.25,257.21,29.0,44.09,35.31,47.5,316.29,367.93,32.58,46.73,14.2,16.82,86.33,76.18,5.25,10.7,279.42,342.39,11.29,15.88,1,4,0,59,16,141,0.305,53,4,4,74,7,3,14,0,73.0
0,224.74,255.35,88.89,97.8,637.58,728.0,0.26,0.27,248.25,278.24,29.0,35.54,35.31,39.15,316.29,361.72,32.58,39.27,14.2,16.08,86.33,82.58,5.25,14.82,279.42,342.69,11.29,8.55,0,5,0,60,28,188,0.170,54,1,4,75,3,1,18,0,71.0
1,224.74,235.14,88.89,91.95,637.58,703.33,0.26,0.12,248.25,271.59,29.0,35.15,35.31,50.5,316.29,360.74,32.58,31.93,14.2,16.5,86.33,89.85,5.25,9.6,279.42,321.08,11.29,8.67,0,5,0,82/,30,235/,0.221,73,4,3,124/,6,5,4,0,93.0
