Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,0,44,19,121,0.207,38,6,11,46,8,3,6,0,0,0,Northern Ill.,202.0,227.44,98.0,98.0,670.75,610.44,0.16,0.13,234.77,269.29,28.62,40.9,32.71,43.79,326.8,278.81,35.31,42.64,10.3,15.5,69.25,77.55,11.64,12.2,251.97,300.5,13.88,9.33
0,4,0,40,22,148,0.122,38,5,6,55,9,1,12,2,0,0,UC Riverside,202.0,192.1,98.0,84.6,670.75,543.0,0.16,0.13,234.77,219.06,28.62,22.53,32.71,39.0,326.8,233.63,35.31,27.69,10.3,8.25,69.25,57.07,11.64,8.55,251.97,240.17,13.88,9.67
0,3,0,27,16,100,0.110,26,4,6,38,8,0,4,1,0,1,SIUE,202.0,207.9,98.0,95.85,670.75,626.6,0.16,0.15,234.77,236.94,28.62,34.42,32.71,42.0,326.8,326.35,35.31,27.4,10.3,17.1,69.25,81.62,11.64,9.8,251.97,310.06,13.88,9.5
0,3,0,22,20,94,0.021,21,1,6,36,3,0,6,3,26.0,0,Morgan St.,202.0,228.61,98.0,99.5,670.75,655.94,0.16,0.21,234.77,295.23,28.62,53.4,32.71,64.36,326.8,338.8,35.31,40.75,10.3,11.27,69.25,63.67,11.64,15.5,251.97,368.18,13.88,14.88
0,3,0,26,15,115,0.096,26,5,5,57,8,5,8,3,40.0,2,Quinnipiac,202.0,246.06,98.0,114.35,670.75,742.53,0.16,0.12,234.77,244.31,28.62,31.69,32.71,36.07,326.8,337.69,35.31,40.9,10.3,17.8,69.25,104.91,11.64,13.33,251.97,334.38,13.88,11.6
0,5,0,57,23,147,0.231,54,7,10,55,7,1,11,1,70.5,3,NJIT,202.0,211.29,98.0,100.18,670.75,616.18,0.16,0.14,234.77,237.43,28.62,32.31,32.71,46.0,326.8,256.25,35.31,41.85,10.3,11.75,69.25,75.83,11.64,13.67,251.97,266.56,13.88,13.11
0,4,0,25,18,126,0.056,25,1,3,54,9,1,8,2,31.0,0,Lafayette,202.0,225.05,98.0,94.6,670.75,627.55,0.16,0.15,234.77,272.2,28.62,44.83,32.71,46.43,326.8,312.38,35.31,52.0,10.3,14.33,69.25,100.0,11.64,10.62,251.97,351.75,13.88,10.0
0,3,0,27,16,112,0.098,26,2,2,51,5,2,10,1,36.0,1,Providence,202.0,222.89,98.0,107.78,670.75,651.39,0.16,0.07,234.77,230.44,28.62,35.64,32.71,48.27,326.8,318.38,35.31,37.86,10.3,9.83,69.25,82.15,11.64,12.62,251.97,294.65,13.88,17.29
0,3,0,28,21,92,0.076,25,1,6,34,7,1,2,1,31.0,2,Brown,202.0,150.55,98.0,55.82,670.75,414.45,0.16,0.12,234.77,171.5,28.62,28.83,32.71,35.46,326.8,200.84,35.31,30.73,10.3,8.11,69.25,64.33,11.64,8.77,251.97,247.82,13.88,14.9
0,3,0,26,17,116,0.078,25,5,3,52,10,0,14,2,38.0,0,Coppin St.,202.0,222.11,98.0,97.67,670.75,611.28,0.16,0.16,234.77,219.76,28.62,37.56,32.71,50.0,326.8,262.76,35.31,36.69,10.3,10.2,69.25,81.0,11.64,16.0,251.97,300.41,13.88,7.73
0,4,0,45,17,168,0.167,42,6,2,80,8,4,14,1,62.0,1,Delaware St.,202.0,131.76,98.0,59.69,670.75,361.97,0.16,0.1,234.77,162.86,28.62,30.65,32.71,37.9,326.8,171.67,35.31,36.47,10.3,12.75,69.25,35.29,11.64,9.21,251.97,177.33,13.88,10.8
0,3,0,28,19,101,0.089,28,4,2,44,3,1,12,1,39.0,2,Bucknell,202.0,182.62,98.0,76.81,670.75,522.43,0.16,0.13,234.77,222.38,28.62,33.5,32.71,31.12,326.8,244.05,35.31,35.45,10.3,15.82,69.25,67.69,11.64,14.6,251.97,303.06,13.88,16.0
0,3,0,21,23,113,-0.018,19,4,5,37,3,1,2,1,27.0,0,Hampton,202.0,194.65,98.0,94.53,670.75,566.65,0.16,0.12,234.77,201.6,28.62,32.77,32.71,33.6,326.8,246.94,35.31,41.08,10.3,10.2,69.25,75.0,11.64,10.44,251.97,267.94,13.88,13.67
0,3,0,22,11,111,0.099,21,1,4,42,1,2,12,1,31.0,1,Bryant,202.0,219.58,98.0,104.26,670.75,627.58,0.16,0.13,234.77,224.59,28.62,37.17,32.71,43.07,326.8,284.71,35.31,42.44,10.3,10.18,69.25,81.92,11.64,11.0,251.97,276.44,13.88,14.62
0,3,0,27,15,113,0.106,27,1,4,51,2,2,2,0,31.0,2,Central Conn. St.,202.0,243.22,98.0,95.61,670.75,707.11,0.16,0.25,234.77,275.6,28.62,31.77,32.71,40.36,326.8,339.12,35.31,29.31,10.3,17.27,69.25,100.36,11.64,9.91,251.97,345.81,13.88,11.56
1,3,0,28,13,105,0.143,27,7,4,50,6,1,10,0,41.0,4,Manhattan,202.0,226.35,98.0,104.76,670.75,687.24,0.16,0.05,234.77,268.77,28.62,41.38,32.71,53.27,326.8,314.69,35.31,48.17,10.3,16.67,69.25,83.27,11.64,18.56,251.97,356.68,13.88,24.67
0,3,0,28,12,103,0.155,27,1,5,45,11,0,8,0,33.0,2,St. Francis Brooklyn,202.0,207.29,98.0,84.95,670.75,612.24,0.16,0.13,234.77,249.5,28.62,41.85,32.71,42.06,326.8,320.72,35.31,45.15,10.3,7.73,69.25,94.83,11.64,13.62,251.97,294.17,13.88,13.11
0,3,0,23,14,98,0.092,20,3,5,36,9,0,12,2,32.0,1,LIU,202.0,238.25,98.0,105.19,670.75,673.5,0.16,0.18,234.77,255.5,28.62,30.0,32.71,43.21,326.8,303.8,35.31,33.25,10.3,12.9,69.25,65.08,11.64,13.21,251.97,307.03,13.88,9.58
0,3,0,14,18,97,-0.041,14,0,4,44,11,0,4,3,16.0,2,Robert Morris,202.0,257.56,98.0,97.62,670.75,747.88,0.16,0.18,234.77,271.29,28.62,46.6,32.71,45.83,326.8,360.73,35.31,39.8,10.3,13.9,69.25,85.53,11.64,12.4,251.97,357.8,13.88,16.83
0,3,0,20,12,100,0.080,20,1,1,35,3,2,12,2,29.0,3,Sacred Heart,202.0,255.67,98.0,110.33,670.75,711.17,0.16,0.0,234.77,297.93,28.62,37.17,32.71,44.69,326.8,319.53,35.31,34.08,10.3,16.89,69.25,96.38,11.64,16.17,251.97,364.12,13.88,9.78
0,3,0,13,15,87,-0.023,12,1,3,31,7,0,10,1,19.0,1,Bryant,202.0,219.58,98.0,104.26,670.75,627.58,0.16,0.13,234.77,224.59,28.62,37.17,32.71,43.07,326.8,284.71,35.31,42.44,10.3,10.18,69.25,81.92,11.64,11.0,251.97,276.44,13.88,14.62
0,3,0,30,15,114,0.132,25,1,4,43,7,0,10,1,36.0,0,Central Conn. St.,202.0,243.22,98.0,95.61,670.75,707.11,0.16,0.25,234.77,275.6,28.62,31.77,32.71,40.36,326.8,339.12,35.31,29.31,10.3,17.27,69.25,100.36,11.64,9.91,251.97,345.81,13.88,11.56
0,3,0,33,28,147,0.034,28,4,6,54,2,2,16,5,47.0,1,St. Francis Brooklyn,202.0,207.29,98.0,84.95,670.75,612.24,0.16,0.13,234.77,249.5,28.62,41.85,32.71,42.06,326.8,320.72,35.31,45.15,10.3,7.73,69.25,94.83,11.64,13.62,251.97,294.17,13.88,13.11
0,3,0,23,12,100,0.110,22,2,6,50,6,0,6,2,28.0,2,LIU,202.0,238.25,98.0,105.19,670.75,673.5,0.16,0.18,234.77,255.5,28.62,30.0,32.71,43.21,326.8,303.8,35.31,33.25,10.3,12.9,69.25,65.08,11.64,13.21,251.97,307.03,13.88,9.58
0,3,0,22,12,101,0.099,18,1,3,42,4,2,12,0,31.0,1,Sacred Heart,202.0,255.67,98.0,110.33,670.75,711.17,0.16,0.0,234.77,297.93,28.62,37.17,32.71,44.69,326.8,319.53,35.31,34.08,10.3,16.89,69.25,96.38,11.64,16.17,251.97,364.12,13.88,9.78
0,3,0,34,19,125,0.120,33,2,0,57,6,3,6,3,42.0,2,Robert Morris,202.0,257.56,98.0,97.62,670.75,747.88,0.16,0.18,234.77,271.29,28.62,46.6,32.71,45.83,326.8,360.73,35.31,39.8,10.3,13.9,69.25,85.53,11.64,12.4,251.97,357.8,13.88,16.83
