Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,0,41,13,92,0.304,36,2,8,48,5,7,14,0,0,1,Louisville,236.68,236.37,85.26,106.68,602.95,629.26,0.19,0.17,299.14,263.19,41.45,30.13,52.07,44.47,301.69,274.82,44.78,36.08,18.7,15.38,96.58,102.23,12.83,12.92,364.9,323.09,12.29,10.43
1,5,0,60,23,163,0.227,58,0,12,70,3,7,16,2,0,0,Dayton,236.68,227.05,85.26,91.21,602.95,611.26,0.19,0.22,299.14,218.61,41.45,34.5,52.07,47.6,301.69,266.28,44.78,33.46,18.7,14.22,96.58,96.62,12.83,8.92,364.9,290.08,12.29,7.08
0,3,0,28,17,93,0.118,26,1,8,28,3,2,4,0,33.0,0,Stanford,236.68,262.95,85.26,88.53,602.95,672.42,0.19,0.28,299.14,313.47,41.45,34.0,52.07,51.5,301.69,296.67,44.78,25.38,18.7,11.56,96.58,135.83,12.83,19.2,364.9,351.28,12.29,9.0
0,3,0,38,21,124,0.137,37,3,7,55,3,1,15,2,49.5,0,Minnesota,236.68,267.44,85.26,96.72,602.95,727.61,0.19,0.19,299.14,321.57,41.45,39.09,52.07,42.54,301.69,332.71,44.78,40.0,18.7,15.89,96.58,118.92,12.83,13.54,364.9,362.35,12.29,6.33
1,4,0,55,17,131,0.290,48,8,11,54,5,1,12,1,70.0,2,South Fla.,236.68,232.17,85.26,95.44,602.95,646.22,0.19,0.14,299.14,263.47,41.45,32.69,52.07,39.33,301.69,291.24,44.78,42.36,18.7,11.17,96.58,81.17,12.83,10.82,364.9,299.35,12.29,12.36
1,3,0,37,11,88,0.295,36,8,4,42,3,0,14,2,52.0,1,James Madison,236.68,216.88,85.26,91.06,602.95,589.56,0.19,0.24,299.14,261.42,41.45,30.73,52.07,55.55,301.69,291.23,44.78,42.12,18.7,14.7,96.58,92.08,12.83,11.0,364.9,281.93,12.29,11.43
1,5,0,66,15,148,0.345,61,7,8,59,5,3,10,1,81.0,5,Long Beach St.,236.68,206.19,85.26,82.81,602.95,539.24,0.19,0.11,299.14,221.83,41.45,25.2,52.07,44.38,301.69,252.17,44.78,25.38,18.7,12.91,96.58,73.71,12.83,10.64,364.9,268.25,12.29,9.64
1,3,0,52,15,115,0.322,49,5,11,50,0,0,6,2,60.0,1,Florida St.,236.68,222.44,85.26,87.22,602.95,610.83,0.19,0.19,299.14,250.67,41.45,31.33,52.07,41.77,301.69,282.12,44.78,27.79,18.7,14.75,96.58,106.69,12.83,15.55,364.9,305.38,12.29,15.33
1,3,0,42,9,83,0.398,41,4,3,33,4,0,18,0,55.0,0,Liberty,236.68,230.9,85.26,96.8,602.95,632.3,0.19,0.17,299.14,285.0,41.45,37.67,52.07,57.4,301.69,294.72,44.78,38.75,18.7,13.44,96.58,109.86,12.83,11.67,364.9,372.44,12.29,11.27
1,3,0,42,10,96,0.333,34,6,7,49,3,1,15,0,56.5,3,Northern Ariz.,236.68,292.75,85.26,108.0,602.95,844.62,0.19,0.26,299.14,314.93,41.45,51.0,52.07,56.75,301.69,412.13,44.78,58.22,18.7,15.1,96.58,101.83,12.83,15.82,364.9,384.83,12.29,11.88
