Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,0,44,10,112,0.304,39,6,8,45,6,0,8,1,54.0,0,Rider,210.85,263.75,97.95,121.5,605.0,771.06,0.18,0.07,231.82,304.92,32.6,51.6,56.94,60.45,277.89,385.64,29.4,37.93,11.8,10.6,69.06,103.33,9.0,13.7,282.95,364.13,13.0,20.4
1,5,0,61,25,191,0.188,58,8,14,72,6,2,14,1,78.0,0,Sacred Heart,210.85,255.67,97.95,110.33,605.0,711.17,0.18,0.0,231.82,297.93,32.6,37.17,56.94,44.69,277.89,319.53,29.4,34.08,11.8,16.89,69.06,96.38,9.0,16.17,282.95,364.12,13.0,9.78
1,3,0,39,13,108,0.241,35,5,13,44,3,1,16,0,53.0,1,Central Conn. St.,210.85,243.22,97.95,95.61,605.0,707.11,0.18,0.25,231.82,275.6,32.6,31.77,56.94,40.36,277.89,339.12,29.4,29.31,11.8,17.27,69.06,100.36,9.0,9.91,282.95,345.81,13.0,11.56
0,3,0,30,20,88,0.114,30,1,10,26,5,0,8,0,35.0,1,Central Ark.,210.85,281.18,97.95,118.29,605.0,763.06,0.18,0.15,231.82,278.56,32.6,34.77,56.94,46.2,277.89,336.56,29.4,33.43,11.8,13.64,69.06,98.73,9.0,15.0,282.95,394.97,13.0,9.89
0,5,0,57,28,149,0.195,52,3,8,69,4,3,10,2,68.0,0,Marshall,210.85,217.06,97.95,86.89,605.0,611.06,0.18,0.15,231.82,244.53,32.6,29.67,56.94,31.17,277.89,296.19,29.4,36.11,11.8,22.12,69.06,104.45,9.0,14.18,282.95,272.88,13.0,10.86
0,4,0,40,26,155,0.090,40,5,5,72,7,4,4,0,51.0,3,Northern Ky.,210.85,286.94,97.95,114.29,605.0,840.76,0.18,0.21,231.82,325.0,32.6,53.33,56.94,56.17,277.89,462.07,29.4,39.8,11.8,17.0,69.06,131.73,9.0,12.55,282.95,445.39,13.0,10.71
0,5,0,75,27,175,0.274,69,7,17,65,7,1,10,0,88.0,0,Stony Brook,210.85,191.32,97.95,75.84,605.0,536.42,0.18,0.15,231.82,221.87,32.6,23.4,56.94,36.12,277.89,244.82,29.4,27.0,11.8,9.42,69.06,54.86,9.0,10.17,282.95,239.0,13.0,6.38
1,3,0,36,15,104,0.202,27,8,3,52,4,0,12,0,50.0,1,Iona,210.85,231.8,97.95,113.87,605.0,738.07,0.18,0.05,231.82,230.71,32.6,34.62,56.94,47.08,277.89,344.21,29.4,37.08,11.8,12.56,69.06,81.27,9.0,14.5,282.95,301.36,13.0,14.6
1,3,0,34,15,103,0.184,31,7,7,45,1,1,9,2,46.5,0,UNC Greensboro,210.85,245.35,97.95,116.47,605.0,716.94,0.18,0.15,231.82,241.56,32.6,35.0,56.94,48.57,277.89,318.12,29.4,40.92,11.8,19.5,69.06,74.85,9.0,13.33,282.95,329.03,13.0,16.83
1,3,0,37,7,78,0.385,35,8,7,38,1,2,10,0,52.0,0,William & Mary,210.85,228.87,97.95,104.13,605.0,640.6,0.18,0.13,231.82,225.79,32.6,33.92,56.94,38.14,277.89,278.21,29.4,46.5,11.8,14.3,69.06,87.55,9.0,9.67,282.95,318.79,13.0,9.5
