Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,0,37,15,91,0.242,34,9,10,40,4,5,4,0,53.0,0,UConn,196.9,221.53,83.05,99.59,564.2,642.0,0.13,0.18,258.0,237.2,39.92,26.23,39.35,37.14,263.5,294.62,36.71,30.92,11.17,15.67,64.73,65.15,9.64,14.0,261.95,281.56,13.89,10.08
1,4,0,50,14,128,0.281,46,13,9,46,7,0,4,0,65.0,0,Navy,196.9,192.95,83.05,78.68,564.2,527.05,0.13,0.14,258.0,230.59,39.92,38.43,39.35,45.0,263.5,247.47,36.71,38.62,11.17,16.7,64.73,66.33,9.64,12.7,261.95,270.84,13.89,9.3
1,3,0,35,11,94,0.255,32,14,8,35,4,3,2,1,0,0,Air Force,196.9,205.95,83.05,103.25,564.2,585.35,0.13,0.11,258.0,241.31,39.92,30.4,39.35,39.94,263.5,245.16,36.71,35.31,11.17,11.45,64.73,72.0,9.64,12.5,261.95,272.06,13.89,7.92
0,4,0,51,24,146,0.185,48,3,10,52,7,4,6,1,61.0,3,Grand Canyon,196.9,264.0,83.05,99.12,564.2,733.76,0.13,0.26,258.0,260.25,39.92,30.43,39.35,49.0,263.5,313.53,36.71,39.8,11.17,17.08,64.73,78.64,9.64,14.0,261.95,308.15,13.89,11.8
1,3,0,45,11,92,0.370,43,8,7,34,4,3,2,2,57.0,0,Ball St.,196.9,255.35,83.05,97.8,564.2,728.0,0.13,0.27,258.0,278.24,39.92,35.54,39.35,39.15,263.5,361.72,36.71,39.27,11.17,16.08,64.73,82.58,9.64,14.82,261.95,342.69,13.89,8.55
1,3,0,37,8,96,0.302,31,11,6,43,3,2,6,2,53.0,0,Montana,196.9,266.93,83.05,116.07,564.2,752.73,0.13,0.09,258.0,308.42,39.92,39.09,39.35,55.18,263.5,362.69,36.71,47.9,11.17,14.9,64.73,102.09,9.64,14.27,261.95,360.96,13.89,12.25
1,3,0,42,12,90,0.333,39,8,11,32,5,1,6,0,54.0,0,New Mexico,196.9,245.53,83.05,109.12,564.2,697.18,0.13,0.15,258.0,276.86,39.92,34.92,39.35,54.15,263.5,298.94,36.71,38.08,11.17,13.36,64.73,102.0,9.64,12.77,261.95,313.22,13.89,13.33
0,5,0,55,25,144,0.208,48,12,7,60,7,2,10,0,74.0,0,Seattle U,196.9,254.88,83.05,121.18,564.2,716.24,0.13,0.13,258.0,269.13,39.92,35.71,39.35,45.5,263.5,323.53,36.71,38.92,11.17,10.91,64.73,111.17,9.64,12.45,261.95,337.16,13.89,9.29
0,4,0,58,30,167,0.168,55,5,9,60,7,1,8,0,68.0,0,Oregon St.,196.9,258.72,83.05,109.67,564.2,709.0,0.13,0.18,258.0,254.35,39.92,27.07,39.35,47.07,263.5,312.24,36.71,25.06,11.17,16.0,64.73,87.64,9.64,10.92,261.95,332.94,13.89,7.64
0,3,0,33,20,112,0.116,28,4,7,35,5,2,8,1,43.0,3,Nevada,196.9,250.41,83.05,112.65,564.2,729.59,0.13,0.17,258.0,288.71,39.92,47.5,39.35,49.17,263.5,333.62,36.71,53.33,11.17,11.56,64.73,112.5,9.64,14.9,261.95,344.31,13.89,10.0
