Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,0,49,17,116,0.276,47,5,13,45,5,2,10,5,61.0,0,Hartford,199.18,241.71,90.82,92.82,532.73,629.12,0.15,0.11,263.94,248.27,36.93,50.5,56.59,41.69,245.53,283.87,31.4,42.42,16.1,13.6,78.54,91.18,13.93,14.27,306.14,333.17,13.62,9.25
0,4,0,45,23,151,0.146,42,4,10,67,4,1,12,2,56.0,2,American,199.18,241.26,90.82,90.53,532.73,653.16,0.15,0.24,263.94,258.31,36.93,43.0,56.59,50.25,245.53,309.24,31.4,35.71,16.1,14.08,78.54,87.69,13.93,13.55,306.14,360.66,13.62,10.17
0,3,0,35,27,117,0.068,32,3,2,41,5,0,6,1,0,0,George Washington,199.18,198.17,90.82,96.5,532.73,574.33,0.15,0.18,263.94,272.58,36.93,51.44,56.59,50.36,245.53,269.94,31.4,49.89,16.1,8.5,78.54,102.33,13.93,15.09,306.14,283.41,13.62,10.2
0,5,0,46,38,143,0.056,43,9,12,58,7,3,10,3,63.0,0,Maryland,199.18,222.25,90.82,93.75,532.73,600.55,0.15,0.14,263.94,258.69,36.93,39.93,56.59,50.53,245.53,262.5,31.4,42.92,16.1,11.82,78.54,122.92,13.93,11.2,306.14,313.08,13.62,13.6
0,5,0,56,24,162,0.198,51,7,13,64,9,2,16,5,73.0,5,Columbia,199.18,178.71,90.82,67.71,532.73,449.05,0.15,0.11,263.94,205.0,36.93,23.14,56.59,32.18,245.53,202.17,31.4,31.09,16.1,10.73,78.54,68.92,13.93,10.62,306.14,257.92,13.62,10.33
1,3,0,49,8,92,0.446,47,5,7,30,4,2,6,2,59.0,0,Canisius,199.18,267.24,90.82,110.0,532.73,811.18,0.15,0.08,263.94,263.38,36.93,38.64,56.59,40.0,245.53,393.94,31.4,36.4,16.1,9.56,78.54,95.92,13.93,13.18,306.14,386.13,13.62,10.3
0,5,0,58,27,130,0.238,54,10,26/,35,3,1,8,2,73.0,0,Loyola Maryland,199.18,238.0,90.82,102.0,532.73,695.05,0.15,0.16,263.94,279.06,36.93,40.18,56.59,51.0,245.53,393.62,31.4,42.0,16.1,12.8,78.54,86.17,13.93,11.8,306.14,367.07,13.62,18.62
0,3,0,33,20,100,0.130,29,1,12,37,5,3,6,3,40.0,0,Villanova,199.18,214.05,90.82,74.05,532.73,572.95,0.15,0.17,263.94,277.29,36.93,39.83,56.59,60.93,245.53,287.06,31.4,37.92,16.1,14.91,78.54,86.45,13.93,16.0,306.14,284.13,13.62,10.12
0,3,0,37,17,112,0.179,37,4,6,55,3,2,6,1,46.0,3,Southern California,199.18,285.72,90.82,107.17,532.73,755.0,0.15,0.2,263.94,294.94,36.93,41.31,56.59,68.69,245.53,341.88,31.4,39.43,16.1,14.55,78.54,141.27,13.93,19.2,306.14,441.13,13.62,12.71
0,3,0,32,24,111,0.072,28,3,9,51,6,1,6,6,39.0,0,Yale,199.18,156.43,90.82,58.38,532.73,416.19,0.15,0.12,263.94,229.38,36.93,32.2,56.59,39.08,245.53,223.88,31.4,32.89,16.1,13.2,78.54,58.45,13.93,12.1,306.14,270.67,13.62,6.4
0,3,0,38,24,106,0.132,36,3,8,42,2,0,4,2,43.0,0,Ole Miss,199.18,275.31,90.82,114.62,532.73,785.12,0.15,0.15,263.94,340.83,36.93,33.0,56.59,56.55,245.53,455.08,31.4,33.91,16.1,21.75,78.54,108.0,13.93,9.78,306.14,425.85,13.62,25.67
1,4,0,56,19,123,0.301,47,2,6,50,4,5,10,0,68.0,0,Rutgers,199.18,227.06,90.82,105.5,532.73,630.25,0.15,0.18,263.94,260.77,36.93,39.08,56.59,42.93,245.53,280.5,31.4,40.77,16.1,12.27,78.54,97.58,13.93,13.42,306.14,318.75,13.62,9.89
0,3,0,26,22,94,0.043,25,2,10,33,9,2,10,0,35.0,0,Georgetown,199.18,210.85,90.82,97.95,532.73,605.0,0.15,0.18,263.94,231.82,36.93,32.6,56.59,56.94,245.53,277.89,31.4,29.4,16.1,11.8,78.54,69.06,13.93,9.0,306.14,282.95,13.62,13.0
1,4,0,61,32,166,0.175,57,5,10,73,2,2,6,1,71.0,2,Bethune-Cookman,199.18,203.75,90.82,89.3,532.73,612.8,0.15,0.24,263.94,270.36,36.93,35.93,56.59,40.73,245.53,305.11,31.4,42.93,16.1,13.83,78.54,62.93,13.93,9.46,306.14,276.56,13.62,11.21
1,4,0,52,16,115,0.313,47,7,10,52,4,1,4,2,62.0,4,Florida A&M,199.18,164.19,90.82,81.57,532.73,498.71,0.15,0.04,263.94,211.4,36.93,49.2,56.59,49.67,245.53,323.36,31.4,43.45,16.1,23.5,78.54,57.77,13.93,15.6,306.14,276.8,13.62,15.27
1,3,0,38,11,90,0.300,35,9,6,32,3,3,16,3,58.0,0,Delaware St.,199.18,131.76,90.82,59.69,532.73,361.97,0.15,0.1,263.94,162.86,36.93,30.65,56.59,37.9,245.53,171.67,31.4,36.47,16.1,12.75,78.54,35.29,13.93,9.21,306.14,177.33,13.62,10.8
1,4,0,42,20,119,0.185,40,10,10,55,2,0,12,2,58.0,1,UMES,199.18,288.6,90.82,130.2,532.73,784.47,0.15,0.15,263.94,325.25,36.93,70.45,56.59,68.0,245.53,335.0,31.4,63.25,16.1,16.38,78.54,101.33,13.93,14.73,306.14,392.07,13.62,23.12
1,3,0,37,17,111,0.180,37,3,9,56,3,2,20,1,52.0,0,Morgan St.,199.18,228.61,90.82,99.5,532.73,655.94,0.15,0.21,263.94,295.23,36.93,53.4,56.59,64.36,245.53,338.8,31.4,40.75,16.1,11.27,78.54,63.67,13.93,15.5,306.14,368.18,13.62,14.88
