BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,209.94,243.24,95.33,100.18,661.22,651.06,0.12,0.12,254.21,256.87,38.2,44.73,38.69,56.67,368.33,305.27,49.33,43.0,11.88,16.67,93.64,93.8,11.7,12.44,366.92,374.71,10.91,8.7,0,4,0,51,27,158,0.152,50,4,8,73,8,1,12,4,62.0
0,209.94,212.06,95.33,104.22,661.22,603.61,0.12,0.19,254.21,240.2,38.2,36.14,38.69,49.43,368.33,259.12,49.33,44.2,11.88,11.1,93.64,91.15,11.7,12.64,366.92,295.62,10.91,5.0,0,3,0,24,16,95,0.084,24,2,1,47,8,1,12,1,33.0
0,209.94,246.5,95.33,103.33,661.22,732.78,0.12,0.31,254.21,277.47,38.2,36.55,38.69,53.25,368.33,428.36,49.33,30.43,11.88,9.0,93.64,106.0,11.7,15.09,366.92,397.5,10.91,4.8,0,5,0,50,29,175,0.120,49,9,3,86,7,1,10,2,65.0
1,209.94,208.32,95.33,93.26,661.22,559.47,0.12,0.16,254.21,217.12,38.2,28.21,38.69,44.06,368.33,262.12,49.33,28.71,11.88,18.9,93.64,95.77,11.7,14.0,366.92,286.92,10.91,8.73,0,3,0,25,19,82,0.073,24,2,4,31,9,1,4,0,30.0
1,209.94,274.68,95.33,92.21,661.22,666.84,0.12,0.17,254.21,350.43,38.2,42.58,38.69,55.15,368.33,322.38,49.33,30.38,11.88,12.36,93.64,91.45,11.7,19.12,366.92,424.6,10.91,16.0,0,3,0,26,9,86,0.198,26,5,7,26,5,0,6,3,34.0
1,209.94,253.82,95.33,104.71,661.22,776.29,0.12,0.22,254.21,267.27,38.2,35.42,38.69,53.23,368.33,393.5,49.33,25.93,11.88,13.45,93.64,101.67,11.7,10.78,366.92,316.25,10.91,7.57,0,5,0,64,33,201,0.154,62,4,10,98,8,1,10,1,74.0
0,209.94,263.4,95.33,107.87,661.22,780.27,0.12,0.21,254.21,257.21,38.2,44.09,38.69,47.5,368.33,367.93,49.33,46.73,11.88,16.82,93.64,76.18,11.7,10.7,366.92,342.39,10.91,15.88,0,3,0,36,18,110,0.164,36,0,5,53,2,0,6,2,39.0
0,209.94,206.72,95.33,95.5,661.22,599.56,0.12,0.03,254.21,286.08,38.2,31.23,38.69,52.31,368.33,273.75,49.33,31.92,11.88,13.27,93.64,78.85,11.7,7.9,366.92,304.1,10.91,11.5,1,3,0,43,20,111,0.207,42,9,5,58,1,0,6,0,55.0
0,209.94,244.62,95.33,119.31,661.22,757.5,0.12,0.2,254.21,259.79,38.2,38.5,38.69,71.0,368.33,380.64,49.33,37.58,11.88,17.11,93.64,96.55,11.7,9.4,366.92,319.13,10.91,16.0,1,3,0,35,15,124,0.161,31,2,4,70,1,1,10,0,43.0
4,209.94,258.11,95.33,108.44,661.22,796.11,0.12,0.08,254.21,294.0,38.2,35.14,38.69,46.2,368.33,381.53,49.33,39.57,11.88,9.73,93.64,92.71,11.7,9.08,366.92,346.68,10.91,9.0,0,5,0,60,39/,207,0.101,54,4,4,111,3,1,28,2,79.0
4,209.94,327.81,95.33,133.5,661.22,935.06,0.12,0.18,254.21,375.85,38.2,42.18,38.69,56.69,368.33,481.57,49.33,36.08,11.88,19.8,93.64,99.91,11.7,15.22,366.92,430.37,10.91,8.0,0,4,0,49,24,167,0.150,47,6,5,76,9,3,6,4,61.0
3,209.94,257.06,95.33,103.22,661.22,797.39,0.12,0.07,254.21,289.6,38.2,35.83,38.69,46.0,368.33,455.0,49.33,29.54,11.88,12.0,93.64,111.09,11.7,13.09,366.92,369.47,10.91,12.0,0,4,0,51,27,172,0.140,49,2,8,93,8,1,2,0,55.0
6,209.94,237.25,95.33,102.55,661.22,677.55,0.12,0.24,254.21,318.64,38.2,56.2,38.69,45.14,368.33,372.44,49.33,44.67,11.88,26.25,93.64,108.82,11.7,15.2,366.92,379.13,10.91,10.09,0,3,0,29,18,115,0.096,29,3,4,52,5,0,10,0,37.0
2,209.94,226.95,95.33,107.05,661.22,712.81,0.12,0.13,254.21,279.81,38.2,30.29,38.69,37.0,368.33,369.78,49.33,37.73,11.88,19.56,93.64,108.67,11.7,11.36,366.92,320.03,10.91,7.89,0,3,0,38,9,115,0.252,36,3,8,47,6,0,14,0,48.0
