Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,0,24,14,92,0.109,21,3,6,24,6,1,12,0,0,1,Washington St.,216.88,259.78,91.06,111.33,589.56,726.44,0.24,0.2,261.42,326.0,30.73,33.38,55.55,56.23,291.23,346.56,42.12,30.58,14.7,20.9,92.08,95.93,11.0,14.0,281.93,337.24,11.43,9.78
1,3,0,45,13,94,0.340,39,7,8,38,1,1,10,1,0,0,Stony Brook,216.88,191.32,91.06,75.84,589.56,536.42,0.24,0.15,261.42,221.87,30.73,23.4,55.55,36.12,291.23,244.82,42.12,27.0,14.7,9.42,92.08,54.86,11.0,10.17,281.93,239.0,11.43,6.38
0,3,0,32,29,109,0.028,29,8,7,38,6,2,8,2,0,1,Iowa,216.88,233.89,91.06,87.47,589.56,622.53,0.24,0.15,261.42,224.33,30.73,32.54,55.55,50.87,291.23,261.28,42.12,32.79,14.7,9.8,92.08,89.92,11.0,8.38,281.93,306.15,11.43,9.5
0,5,0,47,20,164,0.165,44,1,9,72,7,7,18,1,64.0,3,Kennesaw St.,216.88,267.35,91.06,108.71,589.56,698.71,0.24,0.2,261.42,325.62,30.73,58.6,55.55,70.75,291.23,329.73,42.12,53.22,14.7,25.57,92.08,79.0,11.0,11.11,281.93,363.88,11.43,10.25
1,3,0,39,11,110,0.255,37,5,10,52,4,1,14,0,52.0,1,Furman,216.88,288.6,91.06,118.8,589.56,820.07,0.24,0.12,261.42,329.0,30.73,41.4,55.55,48.27,291.23,405.31,42.12,45.64,14.7,24.5,92.08,90.5,11.0,17.09,281.93,389.88,11.43,12.43
1,3,0,31,11,96,0.208,26,2,7,46,8,0,10,0,38.0,4,High Point,216.88,191.96,91.06,86.87,589.56,554.35,0.24,0.16,261.42,205.75,30.73,36.44,55.55,45.2,291.23,263.14,42.12,32.88,14.7,14.0,92.08,85.0,11.0,10.93,281.93,260.0,11.43,17.09
1,3,0,41,16,113,0.221,35,5,5,46,4,1,14,0,54.0,0,Long Beach St.,216.88,206.19,91.06,82.81,589.56,539.24,0.24,0.11,261.42,221.83,30.73,25.2,55.55,44.38,291.23,252.17,42.12,25.38,14.7,12.91,92.08,73.71,11.0,10.64,281.93,268.25,11.43,9.64
0,3,0,28,20,100,0.080,27,3,8,36,8,0,6,1,34.0,1,Florida,216.88,236.68,91.06,85.26,589.56,602.95,0.24,0.19,261.42,299.14,30.73,41.45,55.55,52.07,291.23,301.69,42.12,44.78,14.7,18.7,92.08,96.58,11.0,12.83,281.93,364.9,11.43,12.29
1,3,0,43,10,99,0.333,39,1,9,48,3,2,12,2,52.0,0,South Fla.,216.88,232.17,91.06,95.44,589.56,646.22,0.24,0.14,261.42,263.47,30.73,32.69,55.55,39.33,291.23,291.24,42.12,42.36,14.7,11.17,92.08,81.17,11.0,10.82,281.93,299.35,11.43,12.36
1,4,0,53,17,124,0.290,46,6,10,66,1,6,16,0,73.0,0,VCU,216.88,234.28,91.06,92.56,589.56,611.11,0.24,0.09,261.42,281.57,30.73,31.85,55.55,54.23,291.23,269.19,42.12,44.0,14.7,17.38,92.08,151.4,11.0,16.89,281.93,307.97,11.43,11.83
1,3,0,40,17,109,0.211,35,2,7,52,1,2,14,0,51.0,1,UNCW,216.88,255.06,91.06,115.69,589.56,746.56,0.24,0.07,261.42,269.71,30.73,37.21,55.55,52.93,291.23,359.79,42.12,44.18,14.7,13.56,92.08,110.18,11.0,6.55,281.93,373.18,11.43,9.9
1,3,0,39,20,107,0.178,36,5,6,50,2,3,10,2,52.0,0,Col. of Charleston,216.88,196.95,91.06,93.21,589.56,587.32,0.24,0.15,261.42,221.0,30.73,24.5,55.55,32.4,291.23,267.67,42.12,27.14,14.7,10.54,92.08,64.81,11.0,10.93,281.93,263.31,11.43,18.12
0,4,0,43,22,143,0.147,39,2,6,51,4,3,22,3,59.0,0,Towson,216.88,185.33,91.06,72.62,589.56,492.04,0.24,0.29,261.42,230.83,30.73,32.14,55.55,36.27,291.23,280.67,42.12,38.0,14.7,11.56,92.08,110.62,11.0,15.11,281.93,286.05,11.43,12.83
0,4,0,40,17,120,0.192,39,4,9,50,7,2,8,2,50.0,1,Delaware,216.88,205.42,91.06,86.74,589.56,545.32,0.24,0.16,261.42,225.88,30.73,43.73,55.55,43.14,291.23,242.71,42.12,31.2,14.7,11.56,92.08,81.62,11.0,8.88,281.93,305.12,11.43,13.8
1,3,0,40,18,104,0.212,39,5,7,45,1,0,20,5,55.0,1,Elon,216.88,264.72,91.06,121.22,589.56,745.72,0.24,0.1,261.42,298.4,30.73,42.33,55.55,45.13,291.23,323.76,42.12,44.25,14.7,12.2,92.08,99.29,11.0,14.45,281.93,358.18,11.43,15.27
1,3,0,50,9,107,0.383,45,6,10,47,4,1,8,0,61.0,0,William & Mary,216.88,228.87,91.06,104.13,589.56,640.6,0.24,0.13,261.42,225.79,30.73,33.92,55.55,38.14,291.23,278.21,42.12,46.5,14.7,14.3,92.08,87.55,11.0,9.67,281.93,318.79,11.43,9.5
1,3,0,45,14,108,0.287,41,2,4,44,6,4,22,1,62.0,1,Northeastern,216.88,243.24,91.06,100.18,589.56,651.06,0.24,0.12,261.42,256.87,30.73,44.73,55.55,56.67,291.23,305.27,42.12,43.0,14.7,16.67,92.08,93.8,11.0,12.44,281.93,374.71,11.43,8.7
