Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,5,0,62,22,159,0.252,56,9,15,55,6,0,20,4,81.0,2,Kansas,242.17,206.82,96.67,92.65,651.44,567.12,0.18,0.14,290.07,232.0,47.6,22.21,47.54,40.0,297.12,235.44,44.1,27.62,16.11,16.6,85.58,100.36,15.0,10.73,343.34,278.38,7.55,7.83
1,4,0,62,28,143,0.238,58,13/,10,60,7,0,8,4,79.0,0,Louisiana Tech,242.17,228.35,96.67,89.71,651.44,656.18,0.18,0.12,290.07,220.69,47.6,33.08,47.54,45.85,297.12,298.69,44.1,33.83,16.11,14.08,85.58,62.54,15.0,13.0,343.34,274.97,7.55,9.78
0,3,0,34,21,105,0.124,32,3,3,43,3,0,6,1,40.0,0,South Dakota,242.17,272.61,96.67,105.17,651.44,733.67,0.18,0.28,290.07,352.85,47.6,45.0,47.54,51.14,297.12,394.0,44.1,45.3,16.11,14.22,85.58,125.64,15.0,16.33,343.34,368.44,7.55,13.86
0,4,0,48,24,159,0.151,46,5,9,67,7,2,12,2,61.0,1,Tulsa,242.17,297.88,96.67,135.12,651.44,897.59,0.18,0.14,290.07,334.93,47.6,38.17,47.54,52.0,297.12,424.75,44.1,34.57,16.11,22.67,85.58,111.15,15.0,19.0,343.34,394.22,7.55,9.78
0,4,0,37,23,112,0.125,35,4,6,38,2,2,8,0,47.0,2,UNI,242.17,327.81,96.67,133.5,651.44,935.06,0.18,0.18,290.07,375.85,47.6,42.18,47.54,56.69,297.12,481.57,44.1,36.08,16.11,19.8,85.58,99.91,15.0,15.22,343.34,430.37,7.55,8.0
1,4,0,63,21,158,0.266,52,4,2,73,3,1,12,0,74.0,0,Austin Peay,242.17,253.44,96.67,108.78,651.44,715.0,0.18,0.14,290.07,264.06,47.6,35.92,47.54,32.0,297.12,328.47,44.1,31.79,16.11,16.75,85.58,84.67,15.0,8.15,343.34,322.5,7.55,15.17
0,3,0,37,17,79,0.253,31,2,4,22,6,0,6,0,42.0,0,Missouri,242.17,283.56,96.67,100.25,651.44,671.12,0.18,0.14,290.07,274.87,47.6,46.55,47.54,62.75,297.12,271.47,44.1,38.08,16.11,20.8,85.58,82.83,15.0,8.2,343.34,383.6,7.55,7.12
0,3,0,41,14,106,0.255,37,2,3,35,7,2,2,2,46.0,1,Milwaukee,242.17,239.1,96.67,91.05,651.44,672.7,0.18,0.2,290.07,282.69,47.6,47.1,47.54,47.5,297.12,351.65,44.1,35.08,16.11,15.86,85.58,96.45,15.0,10.83,343.34,354.19,7.55,8.89
1,4,0,57,17,137,0.292,57,8,6,57,9,1,18,1,75.0,2,Valparaiso,242.17,226.95,96.67,107.05,651.44,712.81,0.18,0.13,290.07,279.81,47.6,30.29,47.54,37.0,297.12,369.78,44.1,37.73,16.11,19.56,85.58,108.67,15.0,11.36,343.34,320.03,7.55,7.89
1,4,0,53,16,143,0.259,53,8,5,75,0,0,16,2,69.0,1,South Dakota St.,242.17,241.12,96.67,111.12,651.44,704.0,0.18,0.08,290.07,254.14,47.6,34.83,47.54,42.31,297.12,316.8,44.1,36.46,16.11,18.6,85.58,68.08,15.0,13.67,343.34,324.57,7.55,7.22
