Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,0,44,10,105,0.324,42,5,5,52,4,1,16,0,58.0,1,Cal Poly,254.22,190.05,96.72,80.0,667.78,512.9,0.2,0.15,352.17,219.0,33.67,39.85,51.08,64.25,330.6,253.76,29.83,32.62,16.27,15.73,116.18,66.69,13.73,15.12,386.53,325.91,9.43,8.71
0,3,0,36,30,107,0.056,35,3,5,36,3,0,10,0,44.0,1,Utah,254.22,306.78,96.72,120.72,667.78,783.22,0.2,0.26,352.17,394.46,33.67,35.85,51.08,51.31,330.6,371.73,29.83,39.33,16.27,18.0,116.18,143.08,13.73,14.75,386.53,431.88,9.43,7.71
0,4,0,55,22,152,0.217,49,3,3,67,4,0,8,4,62.0,0,Creighton,254.22,259.88,96.72,106.5,667.78,712.12,0.2,0.23,352.17,259.0,33.67,40.42,51.08,52.57,330.6,345.71,29.83,41.2,16.27,14.75,116.18,108.6,13.73,19.8,386.53,353.6,9.43,11.4
1,4,0,63,25,176,0.216,61,6,10,76,4,2,8,3,75.0,3,Southern California,254.22,285.72,96.72,107.17,667.78,755.0,0.2,0.2,352.17,294.94,33.67,41.31,51.08,68.69,330.6,341.88,29.83,39.43,16.27,14.55,116.18,141.27,13.73,19.2,386.53,441.13,9.43,12.71
1,3,0,40,14,99,0.263,38,6,8,48,1,2,14,3,55.0,1,UNI,254.22,327.81,96.72,133.5,667.78,935.06,0.2,0.18,352.17,375.85,33.67,42.18,51.08,56.69,330.6,481.57,29.83,36.08,16.27,19.8,116.18,99.91,13.73,15.22,386.53,430.37,9.43,8.0
1,3,0,45,9,103,0.350,44,6,5,48,2,1,8,1,56.0,0,Cleveland St.,254.22,205.85,96.72,84.45,667.78,608.25,0.2,0.14,352.17,242.88,33.67,31.17,51.08,34.93,330.6,312.78,29.83,27.5,16.27,16.1,116.18,90.67,13.73,9.17,386.53,288.64,9.43,7.0
1,4,0,69,26,166,0.259,63,3,11,71,5,3,14,2,82.0,0,FGCU,254.22,259.44,96.72,101.75,667.78,713.31,0.2,0.2,352.17,323.17,33.67,37.73,51.08,42.07,330.6,354.71,29.83,35.4,16.27,15.36,116.18,102.58,13.73,12.62,386.53,372.96,9.43,13.4
0,5,0,57,29,161,0.174,56,3,6,72,6,0,27,2,73.5,3,Indiana,254.22,218.76,96.72,98.29,667.78,619.19,0.2,0.06,352.17,287.0,33.67,36.92,51.08,47.4,330.6,294.11,29.83,35.31,16.27,22.82,116.18,113.73,13.73,12.45,386.53,321.06,9.43,9.83
0,5,0,66,32,189,0.180,56,4,5,73,3,3,14,2,80.0,0,Purdue,254.22,260.61,96.72,105.61,667.78,687.61,0.2,0.18,352.17,311.36,33.67,43.73,51.08,49.38,330.6,294.65,29.83,29.36,16.27,18.6,116.18,119.5,13.73,12.91,386.53,390.6,9.43,7.7
1,3,0,47,13,98,0.347,46,6,6,44,2,3,12,2,62.0,1,Louisville,254.22,236.37,96.72,106.68,667.78,629.26,0.2,0.17,352.17,263.19,33.67,30.13,51.08,44.47,330.6,274.82,29.83,36.08,16.27,15.38,116.18,102.23,13.73,12.92,386.53,323.09,9.43,10.43
