BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,238.25,212.85,105.19,83.4,673.5,555.2,0.18,0.23,255.5,283.43,30.0,29.17,43.21,43.5,303.8,270.94,33.25,31.0,12.9,17.33,65.08,79.21,13.21,11.22,307.03,274.92,9.58,9.22,0,3,0,31,20,95,0.116,28,2,4,32,5,0,10,1,0
0,238.25,222.94,105.19,92.94,673.5,586.67,0.18,0.2,255.5,240.93,30.0,34.0,43.21,57.55,303.8,257.31,33.25,33.83,12.9,14.91,65.08,104.18,13.21,14.5,307.03,300.56,9.58,7.14,0,3,0,30,28,109,0.018,28,3,8,42,2,2,2,2,0
3,238.25,270.71,105.19,106.65,673.5,740.82,0.18,0.17,255.5,302.5,30.0,29.36,43.21,45.77,303.8,349.07,33.25,35.83,12.9,15.27,65.08,108.0,13.21,16.09,307.03,372.3,9.58,11.38,0,3,0,32,20,97,0.124,30,1,7,35,3,1,6,1,37.0
1,238.25,233.44,105.19,91.89,673.5,599.44,0.18,0.13,255.5,242.06,30.0,35.46,43.21,51.54,303.8,265.12,33.25,33.33,12.9,11.25,65.08,119.17,13.21,17.78,307.03,341.75,9.58,11.57,0,3,0,19,17,67,0.030,18,1,3,28,11,2,0,2,22.0
0,238.25,286.28,105.19,110.72,673.5,812.5,0.18,0.19,255.5,374.0,30.0,48.91,43.21,62.18,303.8,471.43,33.25,42.27,12.9,17.1,65.08,153.0,13.21,12.8,307.03,552.21,9.58,15.17,0,3,0,32,27,113,0.044,31,5,7,47,5,1,6,0,41.0
3,238.25,310.65,105.19,128.88,673.5,894.24,0.18,0.09,255.5,324.53,30.0,33.42,43.21,43.31,303.8,403.44,33.25,35.0,12.9,21.44,65.08,93.57,13.21,13.64,307.03,405.27,9.58,15.2,0,3,0,25,24,100,0.010,23,2,4,28,3,1,2,5,29.0
0,238.25,219.11,105.19,96.22,673.5,599.61,0.18,0.06,255.5,263.14,30.0,26.0,43.21,42.15,303.8,278.5,33.25,27.5,12.9,18.22,65.08,75.69,13.21,13.08,307.03,305.93,9.58,13.17,0,3,0,33,12,108,0.194,31,1,5,39,4,0,10,1,39.0
6,238.25,283.0,105.19,111.53,673.5,764.47,0.18,0.15,255.5,299.33,30.0,38.57,43.21,59.43,303.8,359.6,33.25,40.0,12.9,15.44,65.08,84.77,13.21,16.4,307.03,344.68,9.58,18.0,0,4,0,44,16,114,0.246,44,3,8,56,4,2,10,2,54.0
8/,238.25,198.63,105.19,92.05,673.5,540.21,0.18,0.18,255.5,251.29,30.0,34.92,43.21,34.73,303.8,245.69,33.25,41.09,12.9,18.22,65.08,74.07,13.21,12.8,307.03,290.62,9.58,9.78,0,4,0,45,32,140,0.093,40,4,4,56,2,5,8,3,58.0
1,238.25,218.17,105.19,100.06,673.5,606.83,0.18,0.22,255.5,215.29,30.0,30.93,43.21,44.62,303.8,273.18,33.25,34.79,12.9,14.89,65.08,62.12,13.21,10.64,307.03,295.35,9.58,13.33,0,3,0,27,23,109,0.037,25,3,5,43,4,0,12,5,36.0
3,238.25,194.4,105.19,82.65,673.5,611.75,0.18,0.13,255.5,224.19,30.0,25.5,43.21,32.81,303.8,323.94,33.25,45.88,12.9,11.4,65.08,79.0,13.21,12.73,307.03,271.71,9.58,17.0,1,5,0,56,27,190,0.153,53,7,9,87,8,3,12,1,72.0
0,238.25,178.71,105.19,67.71,673.5,449.05,0.18,0.11,255.5,205.0,30.0,23.14,43.21,32.18,303.8,202.17,33.25,31.09,12.9,10.73,65.08,68.92,13.21,10.62,307.03,257.92,9.58,10.33,0,5,0,57,18,145,0.269,53,3,6,58,9,0,8,4,64.0
0,238.25,243.22,105.19,95.61,673.5,707.11,0.18,0.25,255.5,275.6,30.0,31.77,43.21,40.36,303.8,339.12,33.25,29.31,12.9,17.27,65.08,100.36,13.21,9.91,307.03,345.81,9.58,11.56,1,5,0,66,28,184,0.207,63,7,15,87,5,5,8,2,82.0
1,238.25,255.67,105.19,110.33,673.5,711.17,0.18,0.0,255.5,297.93,30.0,37.17,43.21,44.69,303.8,319.53,33.25,34.08,12.9,16.89,65.08,96.38,13.21,16.17,307.03,364.12,9.58,9.78,1,5,0,56,22,161,0.211,54,4,8,75,5,4,18,6/,73.0
1,238.25,202.0,105.19,98.0,673.5,670.75,0.18,0.16,255.5,234.77,30.0,28.62,43.21,32.71,303.8,326.8,33.25,35.31,12.9,10.3,65.08,69.25,13.21,11.64,307.03,251.97,9.58,13.88,1,3,0,45,16,110,0.264,42,9,10,56,3,0,6,0,57.0
1,238.25,257.56,105.19,97.62,673.5,747.88,0.18,0.18,255.5,271.29,30.0,46.6,43.21,45.83,303.8,360.73,33.25,39.8,12.9,13.9,65.08,85.53,13.21,12.4,307.03,357.8,9.58,16.83,0,3,0,40,21,124,0.153,39,4,4,52,2,0,8,2,48.0
1,238.25,207.29,105.19,84.95,673.5,612.24,0.18,0.13,255.5,249.5,30.0,41.85,43.21,42.06,303.8,320.72,33.25,45.15,12.9,7.73,65.08,94.83,13.21,13.62,307.03,294.17,9.58,13.11,1,4,0,50,21,141,0.206,47,8,10,59,5,3,6,2,64.0
0,238.25,219.58,105.19,104.26,673.5,627.58,0.18,0.13,255.5,224.59,30.0,37.17,43.21,43.07,303.8,284.71,33.25,42.44,12.9,10.18,65.08,81.92,13.21,11.0,307.03,276.44,9.58,14.62,0,4,0,48,26,131,0.168,45,5,5,46,8,2,8,2,59.0
1,238.25,243.22,105.19,95.61,673.5,707.11,0.18,0.25,255.5,275.6,30.0,31.77,43.21,40.36,303.8,339.12,33.25,29.31,12.9,17.27,65.08,100.36,13.21,9.91,307.03,345.81,9.58,11.56,0,5,0,62,28,187,0.182,61,9,9,88,3,2,12,2,79.0
3,238.25,255.67,105.19,110.33,673.5,711.17,0.18,0.0,255.5,297.93,30.0,37.17,43.21,44.69,303.8,319.53,33.25,34.08,12.9,16.89,65.08,96.38,13.21,16.17,307.03,364.12,9.58,9.78,0,3,0,36,20,121,0.132,36,2,5,48,2,4,8,1,46.0
2,238.25,207.29,105.19,84.95,673.5,612.24,0.18,0.13,255.5,249.5,30.0,41.85,43.21,42.06,303.8,320.72,33.25,45.15,12.9,7.73,65.08,94.83,13.21,13.62,307.03,294.17,9.58,13.11,0,4,0,65,27,190,0.200,59,9,11,75,4,0,8,3,78.0
1,238.25,202.0,105.19,98.0,673.5,670.75,0.18,0.16,255.5,234.77,30.0,28.62,43.21,32.71,303.8,326.8,33.25,35.31,12.9,10.3,65.08,69.25,13.21,11.64,307.03,251.97,9.58,13.88,1,3,0,48,12,113,0.319,45,6,1,57,2,0,2,1,55.0
1,238.25,219.58,105.19,104.26,673.5,627.58,0.18,0.13,255.5,224.59,30.0,37.17,43.21,43.07,303.8,284.71,33.25,42.44,12.9,10.18,65.08,81.92,13.21,11.0,307.03,276.44,9.58,14.62,1,5,0,63,19,158,0.278,61,8,14,68,6,2,6,3,76.0
2,238.25,257.56,105.19,97.62,673.5,747.88,0.18,0.18,255.5,271.29,30.0,46.6,43.21,45.83,303.8,360.73,33.25,39.8,12.9,13.9,65.08,85.53,13.21,12.4,307.03,357.8,9.58,16.83,1,4,0,53,15,140,0.271,50,7,7,69,7,1,8,4,65.0
0,238.25,255.67,105.19,110.33,673.5,711.17,0.18,0.0,255.5,297.93,30.0,37.17,43.21,44.69,303.8,319.53,33.25,34.08,12.9,16.89,65.08,96.38,13.21,16.17,307.03,364.12,9.58,9.78,0,3,0,35,22,117,0.111,33,3,5,34,2,0,14,3,45.0
