BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,251.88,276.62,102.29,117.88,713.82,793.75,0.16,0.23,267.27,321.0,35.15,34.73,51.12,61.23,349.2,385.43,37.55,30.36,14.71,12.0,101.8,125.7,12.8,18.33,327.8,366.64,13.0,10.29,0,4,0,56,28,172,0.163,53,3,19/,66,8,2,16,2,0
4,251.88,235.14,102.29,91.95,713.82,703.33,0.16,0.12,267.27,271.59,35.15,35.15,51.12,50.5,349.2,360.74,37.55,31.93,14.71,16.5,101.8,89.85,12.8,9.6,327.8,321.08,13.0,8.67,1,5,0,67,17,180,0.278,64,8,15,82,3,1,14,0,0
0,251.88,253.82,102.29,104.71,713.82,776.29,0.16,0.22,267.27,267.27,35.15,35.42,51.12,53.23,349.2,393.5,37.55,25.93,14.71,13.45,101.8,101.67,12.8,10.78,327.8,316.25,13.0,7.57,0,4,0,65,32,203,0.163,64,5,14,89,2,0,8,2,0
0,251.88,137.71,102.29,68.76,713.82,408.88,0.16,0.03,267.27,162.77,35.15,28.92,51.12,46.92,349.2,179.33,37.55,33.0,14.71,7.78,101.8,53.83,12.8,7.0,327.8,201.93,13.0,9.67,1,3,0,36,17,80,0.237,35,8,6,37,3,1,4,2,47.0
0,251.88,229.61,102.29,95.72,713.82,675.94,0.16,0.07,267.27,251.87,35.15,39.58,51.12,46.92,349.2,324.69,37.55,47.82,14.71,13.6,101.8,75.64,12.8,12.67,327.8,344.0,13.0,9.38,1,3,0,46,13,108,0.306,45,5,10,51,5,5,6,0,59.0
0,251.88,292.75,102.29,108.0,713.82,844.62,0.16,0.26,267.27,314.93,35.15,51.0,51.12,56.75,349.2,412.13,37.55,58.22,14.71,15.1,101.8,101.83,12.8,15.82,327.8,384.83,13.0,11.88,0,4,0,57,31,160,0.163,52,11,6,67,5,0,6,3,71.0
1,251.88,179.78,102.29,75.5,713.82,485.11,0.16,0.19,267.27,199.0,35.15,30.07,51.12,39.93,349.2,193.41,37.55,35.67,14.71,8.8,101.8,65.86,12.8,9.8,327.8,247.41,13.0,11.2,1,3,0,42,14,112,0.250,36,5,7,48,5,0,8,1,51.0
2,251.88,212.85,102.29,83.4,713.82,555.2,0.16,0.23,267.27,283.43,35.15,29.17,51.12,43.5,349.2,270.94,37.55,31.0,14.71,17.33,101.8,79.21,12.8,11.22,327.8,274.92,13.0,9.22,0,3,0,44,20,137,0.175,43,4,5,51,3,1,16,0,57.0
1,251.88,259.06,102.29,96.18,713.82,653.41,0.16,0.21,267.27,272.0,35.15,38.73,51.12,48.93,349.2,299.53,37.55,40.5,14.71,15.55,101.8,99.45,12.8,12.45,327.8,362.5,13.0,6.12,0,3,0,34,21,109,0.119,32,3,7,41,4,1,6,0,41.0
1,251.88,205.42,102.29,86.74,713.82,545.32,0.16,0.16,267.27,225.88,35.15,43.73,51.12,43.14,349.2,242.71,37.55,31.2,14.71,11.56,101.8,81.62,12.8,8.88,327.8,305.12,13.0,13.8,1,4,0,55,11,117,0.376,51,11,12,47,5,0,16,2,74.0
