Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,5,0,65,43/,187,0.118,63,6,4,74,7,2,8,1,77.0,0,Fordham,192.83,194.4,88.44,82.65,545.72,611.75,0.09,0.13,217.8,224.19,35.83,25.5,43.33,32.81,272.8,323.94,39.18,45.88,12.12,11.4,58.83,79.0,5.5,12.73,284.13,271.71,11.0,17.0
0,5,0,61,37,174,0.138,57,7,7,65,7,2,14,1,77.0,2,Georgia St.,192.83,212.11,88.44,103.22,545.72,636.94,0.09,0.11,217.8,236.2,35.83,39.0,43.33,49.5,272.8,290.65,39.18,38.17,12.12,15.91,58.83,67.53,5.5,10.85,284.13,275.15,11.0,11.0
1,3,0,39,16,112,0.205,37,4,5,56,4,2,14,1,0,2,Western Caro.,192.83,289.73,88.44,116.87,545.72,873.33,0.09,0.18,217.8,307.23,35.83,39.64,43.33,48.82,272.8,432.29,39.18,43.9,12.12,17.8,58.83,70.91,5.5,17.11,284.13,357.11,11.0,9.62
1,3,0,46,10,88,0.409,45,7,5,44,2,2,2,1,56.0,0,Prairie View,192.83,186.22,88.44,75.78,545.72,553.33,0.09,0.06,217.8,218.81,35.83,30.94,43.33,32.11,272.8,248.79,39.18,31.31,12.12,14.67,58.83,48.29,5.5,7.07,284.13,274.76,11.0,9.88
1,3,0,46,12,113,0.301,42,8,9,48,3,2,8,3,60.0,0,South Dakota St.,192.83,241.12,88.44,111.12,545.72,704.0,0.09,0.08,217.8,254.14,35.83,34.83,43.33,42.31,272.8,316.8,39.18,36.46,12.12,18.6,58.83,68.08,5.5,13.67,284.13,324.57,11.0,7.22
0,4,0,44,27,143,0.119,43,4,8,63,7,0,16,2,56.0,0,Houston,192.83,217.21,88.44,95.04,545.72,651.04,0.09,0.12,217.8,303.56,35.83,36.14,43.33,46.0,272.8,353.63,39.18,43.55,12.12,26.64,58.83,93.69,5.5,12.09,284.13,339.86,11.0,16.43
1,3,0,46,14,100,0.320,41,3,5,43,0,0,8,1,53.0,0,Grambling,192.83,147.13,88.44,78.43,545.72,481.52,0.09,0.09,217.8,158.53,35.83,34.42,43.33,27.0,272.8,237.42,39.18,29.41,12.12,18.0,58.83,55.87,5.5,10.67,284.13,206.5,11.0,10.55
0,4,0,33,30,136,0.022,26,4,7,57,9,0,6,2,40.0,0,Portland,192.83,225.65,88.44,103.76,545.72,662.65,0.09,0.1,217.8,277.23,35.83,46.18,43.33,64.73,272.8,300.25,39.18,40.0,12.12,16.25,58.83,105.6,5.5,8.64,284.13,312.56,11.0,12.0
0,4,0,42,30,147,0.082,40,9,2,54,5,1,4,0,54.0,0,New Mexico St.,192.83,176.22,88.44,75.65,545.72,466.87,0.09,0.3,217.8,205.94,35.83,35.0,43.33,45.5,272.8,217.05,39.18,34.62,12.12,18.22,58.83,127.5,5.5,12.7,284.13,280.06,11.0,13.75
0,4,0,39,25,127,0.110,38,6,9,51,5,1,4,2,48.0,2,New Orleans,192.83,230.67,88.44,101.67,545.72,647.06,0.09,0.09,217.8,248.33,35.83,37.46,43.33,50.73,272.8,289.88,39.18,41.25,12.12,18.8,58.83,68.77,5.5,15.44,284.13,324.25,11.0,15.0
0,4,0,45,27,139,0.129,44,6,8,66,8,0,10,0,56.0,4,Southeastern La.,192.83,232.68,88.44,96.26,545.72,656.68,0.09,0.12,217.8,273.33,35.83,34.77,43.33,54.79,272.8,324.19,39.18,38.33,12.12,24.2,58.83,73.08,5.5,14.36,284.13,316.53,11.0,12.75
0,3,0,36,22,114,0.123,35,6,4,48,10,1,6,0,46.0,0,SFA,192.83,232.58,88.44,82.74,545.72,682.32,0.09,0.17,217.8,312.54,35.83,35.0,43.33,46.75,272.8,432.79,39.18,32.4,12.12,16.64,58.83,98.42,5.5,12.82,284.13,323.41,11.0,14.0
1,4,0,59,26,150,0.220,56,13,6,47,3,2,12,0,80.0,1,Abilene Christian,192.83,174.05,88.44,70.5,545.72,492.45,0.09,0.15,217.8,214.8,35.83,25.23,43.33,34.0,272.8,219.37,39.18,35.0,12.12,9.88,58.83,67.62,5.5,10.78,284.13,234.21,11.0,10.56
0,3,0,22,19,94,0.032,21,4,6,34,7,0,4,0,28.0,2,Northwestern St.,192.83,291.25,88.44,113.06,545.72,821.56,0.09,0.21,217.8,288.93,35.83,48.2,43.33,73.08,272.8,388.0,39.18,40.91,12.12,15.44,58.83,77.17,5.5,16.0,284.13,410.29,11.0,12.6
0,3,0,39,25,127,0.110,38,2,5,40,3,0,14,0,48.0,2,Sam Houston St.,192.83,310.65,88.44,128.88,545.72,894.24,0.09,0.09,217.8,324.53,35.83,33.42,43.33,43.31,272.8,403.44,39.18,35.0,12.12,21.44,58.83,93.57,5.5,13.64,284.13,405.27,11.0,15.2
0,3,0,28,20,112,0.071,27,4,1,46,3,1,0,0,33.0,2,Central Ark.,192.83,281.18,88.44,118.29,545.72,763.06,0.09,0.15,217.8,278.56,35.83,34.77,43.33,46.2,272.8,336.56,39.18,33.43,12.12,13.64,58.83,98.73,5.5,15.0,284.13,394.97,11.0,9.89
1,3,0,40,14,102,0.255,37,4,3,42,7,0,8,0,48.0,1,Nicholls St.,192.83,187.71,88.44,77.71,545.72,533.43,0.09,0.13,217.8,222.44,35.83,30.62,43.33,49.36,272.8,254.16,39.18,40.5,12.12,19.46,58.83,56.73,5.5,5.8,284.13,288.5,11.0,12.67
1,3,0,46,15,125,0.248,46,5,4,60,3,2,4,0,55.0,2,McNeese,192.83,199.42,88.44,89.89,545.72,583.26,0.09,0.1,217.8,196.89,35.83,32.93,43.33,51.53,272.8,266.22,39.18,29.21,12.12,18.45,58.83,76.42,5.5,13.0,284.13,265.44,11.0,12.27
0,3,0,31,20,119,0.092,30,6,3,46,2,0,8,0,41.0,0,Houston Baptist,192.83,219.65,88.44,93.85,545.72,667.05,0.09,0.19,217.8,289.71,35.83,35.92,43.33,63.08,272.8,365.24,39.18,47.89,12.12,10.6,58.83,87.31,5.5,8.73,284.13,306.71,11.0,18.0
0,4,0,59,21,144,0.264,54,6,8,68,11,2,4,0,69.0,0,UIW,192.83,256.69,88.44,100.0,545.72,698.56,0.09,0.15,217.8,246.53,35.83,35.64,43.33,50.43,272.8,295.13,39.18,48.82,12.12,16.6,58.83,81.25,5.5,8.8,284.13,350.57,11.0,9.56
0,4,0,43,25,137,0.131,41,6,10,47,9,0,2,0,50.0,1,A&M-Corpus Christi,192.83,237.11,88.44,86.84,545.72,649.53,0.09,0.17,217.8,261.62,35.83,44.92,43.33,55.0,272.8,315.47,39.18,37.64,12.12,14.6,58.83,46.71,5.5,9.64,284.13,338.44,11.0,11.36
0,3,0,33,23,122,0.082,33,4,7,53,6,2,2,0,40.0,0,New Orleans,192.83,230.67,88.44,101.67,545.72,647.06,0.09,0.09,217.8,248.33,35.83,37.46,43.33,50.73,272.8,289.88,39.18,41.25,12.12,18.8,58.83,68.77,5.5,15.44,284.13,324.25,11.0,15.0
1,5,0,58,30,153,0.183,54,6,8,58,5,4,16,0,76.0,0,Southeastern La.,192.83,232.68,88.44,96.26,545.72,656.68,0.09,0.12,217.8,273.33,35.83,34.77,43.33,54.79,272.8,324.19,39.18,38.33,12.12,24.2,58.83,73.08,5.5,14.36,284.13,316.53,11.0,12.75
