Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,0,24,16,85,0.094,23,1,11,38,7,2,4,1,29.0,3,Ohio St.,224.94,204.0,94.83,90.59,633.22,569.32,0.19,0.24,270.64,207.5,35.08,22.56,44.81,36.8,283.71,262.75,51.3,33.58,25.38,11.82,70.93,84.79,10.33,16.58,300.97,272.4,11.33,9.33
0,3,0,24,16,89,0.090,21,1,10,26,11,0,14,1,0,2,VCU,224.94,234.28,94.83,92.56,633.22,611.11,0.19,0.09,270.64,281.57,35.08,31.85,44.81,54.23,283.71,269.19,51.3,44.0,25.38,17.38,70.93,151.4,10.33,16.89,300.97,307.97,11.33,11.83
0,4,0,44,19,118,0.212,42,7,14,47,14/,3,6,0,57.0,2,Texas Tech,224.94,183.56,94.83,74.48,633.22,497.68,0.19,0.14,270.64,267.31,35.08,28.93,44.81,38.18,283.71,234.55,51.3,31.23,25.38,17.08,70.93,86.15,10.33,10.67,300.97,261.19,11.33,9.6
1,4,0,46,17,133,0.218,43,10,12,64,5,6,12,1,68.0,1,Penn,224.94,141.62,94.83,59.14,633.22,381.1,0.19,0.17,270.64,209.62,35.08,27.08,44.81,37.81,283.71,202.0,51.3,25.69,25.38,9.2,70.93,42.33,10.33,8.58,300.97,198.5,11.33,9.44
1,4,0,57,14,129,0.333,50,7,16,61,12,2,14,0,73.0,1,UMES,224.94,288.6,94.83,130.2,633.22,784.47,0.19,0.15,270.64,325.25,35.08,70.45,44.81,68.0,283.71,335.0,51.3,63.25,25.38,16.38,70.93,101.33,10.33,14.73,300.97,392.07,11.33,23.12
1,3,0,47,15,110,0.291,45,8,10,34,7,2,10,1,62.0,2,Delaware St.,224.94,131.76,94.83,59.69,633.22,361.97,0.19,0.1,270.64,162.86,35.08,30.65,44.81,37.9,283.71,171.67,51.3,36.47,25.38,12.75,70.93,35.29,10.33,9.21,300.97,177.33,11.33,10.8
1,3,0,45,8,84,0.440,43,8,11,36,2,2,10,2,60.0,1,Manhattan,224.94,226.35,94.83,104.76,633.22,687.24,0.19,0.05,270.64,268.77,35.08,41.38,44.81,53.27,283.71,314.69,51.3,48.17,25.38,16.67,70.93,83.27,10.33,18.56,300.97,356.68,11.33,24.67
1,5,0,66,23,155,0.277,61,7,13,63,4,1,14,1,81.0,3,NJIT,224.94,211.29,94.83,100.18,633.22,616.18,0.19,0.14,270.64,237.43,35.08,32.31,44.81,46.0,283.71,256.25,51.3,41.85,25.38,11.75,70.93,75.83,10.33,13.67,300.97,266.56,11.33,13.11
0,4,0,47,19,135,0.207,44,1,10,41,5,0,13,1,54.5,3,Columbia,224.94,178.71,94.83,67.71,633.22,449.05,0.19,0.11,270.64,205.0,35.08,23.14,44.81,32.18,283.71,202.17,51.3,31.09,25.38,10.73,70.93,68.92,10.33,10.62,300.97,257.92,11.33,10.33
0,3,0,40,16,112,0.214,37,2,6,37,5,1,8,1,47.0,1,Radford,224.94,151.5,94.83,73.86,633.22,451.36,0.19,0.13,270.64,181.29,35.08,27.07,44.81,28.71,283.71,216.47,51.3,25.06,25.38,8.67,70.93,72.0,10.33,9.42,300.97,219.39,11.33,11.91
0,3,0,34,21,113,0.115,32,9,9,41,7,0,8,1,47.0,0,Temple,224.94,221.12,94.83,88.25,633.22,627.31,0.19,0.19,270.64,238.29,35.08,24.15,44.81,30.93,283.71,293.4,51.3,25.46,25.38,8.8,70.93,63.77,10.33,10.27,300.97,272.8,11.33,15.14
1,4,0,60,17,126,0.341,60,7,13,51,9,1,14,1,75.0,1,Elon,224.94,264.72,94.83,121.22,633.22,745.72,0.19,0.1,270.64,298.4,35.08,42.33,44.81,45.13,283.71,323.76,51.3,44.25,25.38,12.2,70.93,99.29,10.33,14.45,300.97,358.18,11.33,15.27
0,3,0,23,14,93,0.097,23,1,4,44,7,0,4,1,26.0,1,Virginia,224.94,210.11,94.83,91.37,633.22,567.89,0.19,0.15,270.64,220.65,35.08,31.08,44.81,37.82,283.71,239.39,51.3,37.45,25.38,13.7,70.93,107.73,10.33,13.62,300.97,283.38,11.33,10.1
1,4,0,50,19,130,0.238,47,7,6,59,5,4,18,2,70.0,2,UNC Greensboro,224.94,245.35,94.83,116.47,633.22,716.94,0.19,0.15,270.64,241.56,35.08,35.0,44.81,48.57,283.71,318.12,51.3,40.92,25.38,19.5,70.93,74.85,10.33,13.33,300.97,329.03,11.33,16.83
1,5,0,66,20,157,0.293,59,2,11,74,7,4,30/,0,87.0,0,Lafayette,224.94,225.05,94.83,94.6,633.22,627.55,0.19,0.15,270.64,272.2,35.08,44.83,44.81,46.43,283.71,312.38,51.3,52.0,25.38,14.33,70.93,100.0,10.33,10.62,300.97,351.75,11.33,10.0
1,4,0,59,21,171,0.222,54,1,8,75,2,2,22,4,73.0,1,Bucknell,224.94,182.62,94.83,76.81,633.22,522.43,0.19,0.13,270.64,222.38,35.08,33.5,44.81,31.12,283.71,244.05,51.3,35.45,25.38,15.82,70.93,67.69,10.33,14.6,300.97,303.06,11.33,16.0
0,3,0,30,20,99,0.101,29,1,3,33,4,2,14,2,40.0,2,American,224.94,241.26,94.83,90.53,633.22,653.16,0.19,0.24,270.64,258.31,35.08,43.0,44.81,50.25,283.71,309.24,51.3,35.71,25.38,14.08,70.93,87.69,10.33,13.55,300.97,360.66,11.33,10.17
0,3,0,28,20,82,0.098,28,0,0,23,6,1,4,1,31.0,0,Navy,224.94,192.95,94.83,78.68,633.22,527.05,0.19,0.14,270.64,230.59,35.08,38.43,44.81,45.0,283.71,247.47,51.3,38.62,25.38,16.7,70.93,66.33,10.33,12.7,300.97,270.84,11.33,9.3
0,3,0,33,14,108,0.176,32,4,5,43,5,3,8,1,44.0,0,Colgate,224.94,233.4,94.83,95.5,633.22,648.1,0.19,0.2,270.64,249.35,35.08,34.0,44.81,46.93,283.71,302.0,51.3,42.2,25.38,23.4,70.93,77.71,10.33,11.94,300.97,301.56,11.33,9.33
0,3,0,38,15,113,0.204,36,6,5,47,4,1,10,0,50.0,2,Army West Point,224.94,221.6,94.83,94.85,633.22,647.75,0.19,0.13,270.64,272.33,35.08,39.67,44.81,53.92,283.71,345.06,51.3,34.83,25.38,21.11,70.93,97.75,10.33,17.36,300.97,359.63,11.33,9.2
1,3,0,41,12,127,0.228,38,3,9,60,4,1,24,2,57.0,2,Loyola Maryland,224.94,238.0,94.83,102.0,633.22,695.05,0.19,0.16,270.64,279.06,35.08,40.18,44.81,51.0,283.71,393.62,51.3,42.0,25.38,12.8,70.93,86.17,10.33,11.8,300.97,367.07,11.33,18.62
1,3,0,39,17,111,0.198,39,3,4,53,5,5,12,0,53.0,1,Holy Cross,224.94,187.48,94.83,86.05,633.22,567.86,0.19,0.13,270.64,226.88,35.08,31.33,44.81,44.47,283.71,285.61,51.3,29.53,25.38,15.64,70.93,64.92,10.33,8.89,300.97,248.42,11.33,9.3
1,3,0,45,21,125,0.192,40,2,2,52,2,2,20,0,59.0,0,Bucknell,224.94,182.62,94.83,76.81,633.22,522.43,0.19,0.13,270.64,222.38,35.08,33.5,44.81,31.12,283.71,244.05,51.3,35.45,25.38,15.82,70.93,67.69,10.33,14.6,300.97,303.06,11.33,16.0
1,4,0,52,18,148,0.230,50,6,9,70,3,3,24,2,73.0,1,Lafayette,224.94,225.05,94.83,94.6,633.22,627.55,0.19,0.15,270.64,272.2,35.08,44.83,44.81,46.43,283.71,312.38,51.3,52.0,25.38,14.33,70.93,100.0,10.33,10.62,300.97,351.75,11.33,10.0
0,4,0,45,17,127,0.220,43,4,5,52,9,4,8,2,57.0,0,Navy,224.94,192.95,94.83,78.68,633.22,527.05,0.19,0.14,270.64,230.59,35.08,38.43,44.81,45.0,283.71,247.47,51.3,38.62,25.38,16.7,70.93,66.33,10.33,12.7,300.97,270.84,11.33,9.3
0,3,0,33,19,87,0.161,33,1,7,34,10,2,6,0,39.0,0,American,224.94,241.26,94.83,90.53,633.22,653.16,0.19,0.24,270.64,258.31,35.08,43.0,44.81,50.25,283.71,309.24,51.3,35.71,25.38,14.08,70.93,87.69,10.33,13.55,300.97,360.66,11.33,10.17
0,4,0,41,21,156,0.128,36,4,10,67,9,6,8,1,55.0,0,Army West Point,224.94,221.6,94.83,94.85,633.22,647.75,0.19,0.13,270.64,272.33,35.08,39.67,44.81,53.92,283.71,345.06,51.3,34.83,25.38,21.11,70.93,97.75,10.33,17.36,300.97,359.63,11.33,9.2
0,3,0,35,18,116,0.147,34,3,6,46,3,3,4,1,43.0,1,Colgate,224.94,233.4,94.83,95.5,633.22,648.1,0.19,0.2,270.64,249.35,35.08,34.0,44.81,46.93,283.71,302.0,51.3,42.2,25.38,23.4,70.93,77.71,10.33,11.94,300.97,301.56,11.33,9.33
0,4,0,47,26,161,0.130,45,6,3,76,6,8/,16,2,69.0,2,Loyola Maryland,224.94,238.0,94.83,102.0,633.22,695.05,0.19,0.16,270.64,279.06,35.08,40.18,44.81,51.0,283.71,393.62,51.3,42.0,25.38,12.8,70.93,86.17,10.33,11.8,300.97,367.07,11.33,18.62
1,4,0,56,18,146,0.260,54,8,11,70,3,1,14,1,72.0,1,Holy Cross,224.94,187.48,94.83,86.05,633.22,567.86,0.19,0.13,270.64,226.88,35.08,31.33,44.81,44.47,283.71,285.61,51.3,29.53,25.38,15.64,70.93,64.92,10.33,8.89,300.97,248.42,11.33,9.3
0,3,0,28,17,110,0.100,26,3,7,49,8,1,10,1,37.0,1,Navy,224.94,192.95,94.83,78.68,633.22,527.05,0.19,0.14,270.64,230.59,35.08,38.43,44.81,45.0,283.71,247.47,51.3,38.62,25.38,16.7,70.93,66.33,10.33,12.7,300.97,270.84,11.33,9.3
