BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,206.62,270.62,95.88,113.25,635.0,778.0,0.1,0.2,235.0,335.17,35.8,37.6,40.33,53.64,291.67,377.93,40.1,33.3,8.7,18.22,60.36,124.4,9.86,12.7,277.93,392.29,15.89,18.33,0,3,0,29,24,111,0.045,28,1,7,53,8,0,4,3,32.0
3,206.62,230.44,95.88,103.28,635.0,623.5,0.1,0.17,235.0,277.21,35.8,36.54,40.33,47.93,291.67,257.35,40.1,35.5,8.7,11.8,60.36,92.08,9.86,8.25,277.93,333.69,15.89,9.29,0,3,0,23,21,93,0.022,22,5,7,37,5,1,8,2,33.0
4,206.62,291.25,95.88,113.06,635.0,821.56,0.1,0.21,235.0,288.93,35.8,48.2,40.33,73.08,291.67,388.0,40.1,40.91,8.7,15.44,60.36,77.17,9.86,16.0,277.93,410.29,15.89,12.6,0,3,0,23,15,103,0.078,22,5,4,36,3,0,12,1,34.0
2,206.62,269.53,95.88,119.89,635.0,757.47,0.1,0.22,235.0,320.67,35.8,43.08,40.33,61.17,291.67,367.88,40.1,32.13,8.7,12.8,60.36,129.5,9.86,14.83,277.93,384.85,15.89,10.0,0,3,0,19,13,65,0.092,20,3,6,18,16/,0,10,3,27.0
1,206.62,205.95,95.88,103.25,635.0,585.35,0.1,0.11,235.0,241.31,35.8,30.4,40.33,39.94,291.67,245.16,40.1,35.31,8.7,11.45,60.36,72.0,9.86,12.5,277.93,272.06,15.89,7.92,0,3,0,32,16,92,0.174,27,5,5,42,6,0,12,1,43.0
3,206.62,270.41,95.88,113.06,635.0,783.65,0.1,0.19,235.0,358.17,35.8,37.62,40.33,45.43,291.67,395.13,40.1,50.6,8.7,11.7,60.36,80.15,9.86,16.92,277.93,351.5,15.89,11.8,0,3,0,31,23,115,0.070,28,2,5,32,6,3,10,5,41.0
4,206.62,275.31,95.88,114.62,635.0,785.12,0.1,0.15,235.0,340.83,35.8,33.0,40.33,56.55,291.67,455.08,40.1,33.91,8.7,21.75,60.36,108.0,9.86,9.78,277.93,425.85,15.89,25.67,0,3,0,27,18,101,0.089,26,4,4,45,4,1,2,2,33.0
2,206.62,270.41,95.88,113.06,635.0,783.65,0.1,0.19,235.0,358.17,35.8,37.62,40.33,45.43,291.67,395.13,40.1,50.6,8.7,11.7,60.36,80.15,9.86,16.92,277.93,351.5,15.89,11.8,1,5,0,65,18,186,0.253,62,5,12,95,6,2,16,5,80.0
1,206.62,281.18,95.88,118.29,635.0,763.06,0.1,0.15,235.0,278.56,35.8,34.77,40.33,46.2,291.67,336.56,40.1,33.43,8.7,13.64,60.36,98.73,9.86,15.0,277.93,394.97,15.89,9.89,1,4,0,46,19,125,0.216,44,4,5,61,4,0,22,3,61.0
1,206.62,264.31,95.88,121.44,635.0,721.81,0.1,0.21,235.0,279.64,35.8,47.82,40.33,81.64,291.67,325.36,40.1,44.67,8.7,21.83,60.36,79.0,9.86,24.7,277.93,357.93,15.89,16.67,0,4,0,34,23,115,0.096,33,5,5,40,9,1,8,4,44.0
1,206.62,285.44,95.88,122.81,635.0,860.25,0.1,0.17,235.0,307.57,35.8,37.0,40.33,52.75,291.67,457.07,40.1,35.27,8.7,10.5,60.36,110.6,9.86,15.0,277.93,400.61,15.89,5.56,0,3,0,37,19,117,0.154,37,3,8,63,3,0,12,2,46.0
5,206.62,276.0,95.88,127.69,635.0,774.75,0.1,0.09,235.0,273.53,35.8,30.29,40.33,35.0,291.67,336.0,40.1,36.85,8.7,16.22,60.36,112.27,9.86,21.1,277.93,342.0,15.89,7.78,0,4,0,44,20,132,0.182,41,4,5,51,7,2,12,4,56.0
2,206.62,268.24,95.88,127.29,635.0,720.29,0.1,0.15,235.0,284.87,35.8,49.6,40.33,76.91,291.67,315.53,40.1,45.4,8.7,26.3,60.36,86.0,9.86,9.0,277.93,342.12,15.89,9.83,0,3,0,24,21,97,0.031,22,0,5,46,3,1,8,3,29.0
