BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
4,228.35,270.41,89.71,113.06,656.18,783.65,0.12,0.19,220.69,358.17,33.08,37.62,45.85,45.43,298.69,395.13,33.83,50.6,14.08,11.7,62.54,80.15,13.0,16.92,274.97,351.5,9.78,11.8,1,5,0,71,28,218,0.197,70,6,7,104,5,1,14,4,0
1,228.35,310.65,89.71,128.88,656.18,894.24,0.12,0.09,220.69,324.53,33.08,33.42,45.85,43.31,298.69,403.44,33.83,35.0,14.08,21.44,62.54,93.57,13.0,13.64,274.97,405.27,9.78,15.2,1,5,0,70,24,192,0.240,66,6,9,55,7,2,4,0,0
4,228.35,186.22,89.71,75.78,656.18,553.33,0.12,0.06,220.69,218.81,33.08,30.94,45.85,32.11,298.69,248.79,33.83,31.31,14.08,14.67,62.54,48.29,13.0,7.07,274.97,274.76,9.78,9.88,1,4,0,56,20,163,0.221,49,4,9,60,3,4,12,2,0
0,228.35,242.17,89.71,96.67,656.18,651.44,0.12,0.18,220.69,290.07,33.08,47.6,45.85,47.54,298.69,297.12,33.83,44.1,14.08,16.11,62.54,85.58,13.0,15.0,274.97,343.34,9.78,7.55,0,4,0,36,16,119,0.168,34,7,10,41,13,0,22,4,54.0
1,228.35,297.88,89.71,135.12,656.18,897.59,0.12,0.14,220.69,334.93,33.08,38.17,45.85,52.0,298.69,424.75,33.83,34.57,14.08,22.67,62.54,111.15,13.0,19.0,274.97,394.22,9.78,9.78,0,4,0,47,19,157,0.178,44,7,13,67,2,1,16,4,63.0
0,228.35,272.61,89.71,105.17,656.18,733.67,0.12,0.28,220.69,352.85,33.08,45.0,45.85,51.14,298.69,394.0,33.83,45.3,14.08,14.22,62.54,125.64,13.0,16.33,274.97,368.44,9.78,13.86,0,3,0,33,16,96,0.177,29,0,1,45,5,0,10,2,38.0
0,228.35,204.14,89.71,101.59,656.18,600.68,0.12,0.14,220.69,248.81,33.08,32.4,45.85,43.4,298.69,311.47,33.83,40.15,14.08,31.27,62.54,52.6,13.0,10.27,274.97,282.45,9.78,10.3,1,3,0,39,10,73,0.397,33,8,10,31,1,6,0,2,53.0
3,228.35,187.71,89.71,77.71,656.18,533.43,0.12,0.13,220.69,222.44,33.08,30.62,45.85,49.36,298.69,254.16,33.83,40.5,14.08,19.46,62.54,56.73,13.0,5.8,274.97,288.5,9.78,12.67,1,5,0,57,17,160,0.250,55,8,8,82,7,2,18,5,76.0
0,228.35,180.41,89.71,109.94,656.18,583.06,0.12,-0.04,220.69,180.53,33.08,38.77,45.85,46.23,298.69,257.81,33.83,39.53,14.08,12.1,62.54,52.42,13.0,13.5,274.97,256.37,9.78,23.0,1,3,0,42,21,122,0.172,37,5,10,61,3,1,6,1,51.0
0,228.35,295.07,89.71,111.2,656.18,813.73,0.12,0.19,220.69,304.15,33.08,43.09,45.85,55.92,298.69,376.77,33.83,50.0,14.08,21.45,62.54,72.5,13.0,8.3,274.97,397.75,9.78,9.8,0,3,0,25,17,85,0.094,24,4,3,34,5,2,16,0,39.0
1,228.35,187.71,89.71,77.71,656.18,533.43,0.12,0.13,220.69,222.44,33.08,30.62,45.85,49.36,298.69,254.16,33.83,40.5,14.08,19.46,62.54,56.73,13.0,5.8,274.97,288.5,9.78,12.67,1,4,0,49,12,137,0.270,40,3,6,69,3,5,16,0,65.0
2,228.35,203.75,89.71,89.3,656.18,612.8,0.12,0.24,220.69,270.36,33.08,35.93,45.85,40.73,298.69,305.11,33.83,42.93,14.08,13.83,62.54,62.93,13.0,9.46,274.97,276.56,9.78,11.21,1,4,0,60,21,173,0.225,48,12,8,70,1,0,4,0,74.0
1,228.35,204.72,89.71,87.94,656.18,577.56,0.12,0.13,220.69,263.15,33.08,36.62,45.85,41.67,298.69,274.5,33.83,34.38,14.08,11.67,62.54,82.91,13.0,11.25,274.97,305.77,9.78,13.5,1,4,0,52,16,134,0.269,48,7,9,57,7,2,8,2,65.0
0,228.35,215.17,89.71,84.33,656.18,558.22,0.12,0.16,220.69,257.86,33.08,32.38,45.85,49.54,298.69,258.75,33.83,33.0,14.08,14.73,62.54,66.71,13.0,11.83,274.97,307.66,9.78,12.62,0,3,0,29,18,108,0.102,27,5,1,52,5,1,10,4,40.0
