BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,228.61,229.61,99.5,95.72,655.94,675.94,0.21,0.07,295.23,251.87,53.4,39.58,64.36,46.92,338.8,324.69,40.75,47.82,11.27,13.6,63.67,75.64,15.5,12.67,368.18,344.0,14.88,9.38,1,5,0,71,22,161,0.304,63,6,23,54,3,4,4,2,83.0
1,228.61,228.87,99.5,104.13,655.94,640.6,0.21,0.13,295.23,225.79,53.4,33.92,64.36,38.14,338.8,278.21,40.75,46.5,11.27,14.3,63.67,87.55,15.5,9.67,368.18,318.79,14.88,9.5,1,5,0,60,24,164,0.220,54,7,16,67,9,0,6,0,70.0
0,228.61,185.33,99.5,72.62,655.94,492.04,0.21,0.29,295.23,230.83,53.4,32.14,64.36,36.27,338.8,280.67,40.75,38.0,11.27,11.56,63.67,110.62,15.5,15.11,368.18,286.05,14.88,12.83,0,3,0,29,15,96,0.146,25,3,6,34,7,1,4,4,35.0
0,228.61,230.0,99.5,99.22,655.94,653.39,0.21,0.14,295.23,238.75,53.4,28.0,64.36,43.81,338.8,291.35,40.75,32.86,11.27,14.5,63.67,77.08,15.5,11.45,368.18,327.12,14.88,12.45,1,3,0,41,15,96,0.271,39,5,8,47,2,0,2,1,47.0
0,228.61,202.0,99.5,98.0,655.94,670.75,0.21,0.16,295.23,234.77,53.4,28.62,64.36,32.71,338.8,326.8,40.75,35.31,11.27,10.3,63.67,69.25,15.5,11.64,368.18,251.97,14.88,13.88,1,3,0,45,16,102,0.284,42,3,9,48,1,0,10,3,53.0
0,228.61,211.29,99.5,100.18,655.94,616.18,0.21,0.14,295.23,237.43,53.4,32.31,64.36,46.0,338.8,256.25,40.75,41.85,11.27,11.75,63.67,75.83,15.5,13.67,368.18,266.56,14.88,13.11,1,3,0,42,18,132,0.182,37,4,10,57,3,1,10,4,52.0
1,228.61,246.06,99.5,114.35,655.94,742.53,0.21,0.12,295.23,244.31,53.4,31.69,64.36,36.07,338.8,337.69,40.75,40.9,11.27,17.8,63.67,104.91,15.5,13.33,368.18,334.38,14.88,11.6,0,3,0,28,21,126,0.056,25,1,7,55,4,0,18,4,38.0
3,228.61,262.53,99.5,110.6,655.94,815.73,0.21,0.12,295.23,262.79,53.4,35.85,64.36,50.46,338.8,407.71,40.75,47.64,11.27,10.91,63.67,93.5,15.5,11.67,368.18,363.14,14.88,10.56,0,5,0,58,27,173,0.179,55,8,11,89,3,3,6,4,72.0
2,228.61,226.94,99.5,90.67,655.94,617.33,0.21,0.15,295.23,223.06,53.4,29.92,64.36,45.64,338.8,267.41,40.75,26.93,11.27,14.08,63.67,67.64,15.5,7.82,368.18,300.94,14.88,9.5,0,3,0,32,17,109,0.138,30,1,5,50,5,0,6,4,36.0
1,228.61,250.41,99.5,112.65,655.94,729.59,0.21,0.17,295.23,288.71,53.4,47.5,64.36,49.17,338.8,333.62,40.75,53.33,11.27,11.56,63.67,112.5,15.5,14.9,368.18,344.31,14.88,10.0,0,3,0,35,17,126,0.143,34,3,9,59,7,0,8,3,42.0
0,228.61,210.85,99.5,97.95,655.94,605.0,0.21,0.18,295.23,231.82,53.4,32.6,64.36,56.94,338.8,277.89,40.75,29.4,11.27,11.8,63.67,69.06,15.5,9.0,368.18,282.95,14.88,13.0,0,4,0,51,28,150,0.153,47,5,16,60,13,1,6,1,60.0
3,228.61,219.11,99.5,96.22,655.94,599.61,0.21,0.06,295.23,263.14,53.4,26.0,64.36,42.15,338.8,278.5,40.75,27.5,11.27,18.22,63.67,75.69,15.5,13.08,368.18,305.93,14.88,13.17,0,4,0,41,20,135,0.156,39,6,10,46,6,1,4,1,50.0
1,228.61,137.71,99.5,68.76,655.94,408.88,0.21,0.03,295.23,162.77,53.4,28.92,64.36,46.92,338.8,179.33,40.75,33.0,11.27,7.78,63.67,53.83,15.5,7.0,368.18,201.93,14.88,9.67,1,5,0,64,28,173,0.208,59,11,12,87,4,0,10,4,80.0
2,228.61,288.6,99.5,130.2,655.94,784.47,0.21,0.15,295.23,325.25,53.4,70.45,64.36,68.0,338.8,335.0,40.75,63.25,11.27,16.38,63.67,101.33,15.5,14.73,368.18,392.07,14.88,23.12,1,5,0,54,24,161,0.186,50,8,11,57,8,2,10,2,69.0
1,228.61,131.76,99.5,59.69,655.94,361.97,0.21,0.1,295.23,162.86,53.4,30.65,64.36,37.9,338.8,171.67,40.75,36.47,11.27,12.75,63.67,35.29,15.5,9.21,368.18,177.33,14.88,10.8,0,5,0,55,27,144,0.194,49,7,13,57,7,3,4,3,67.0
3,228.61,231.05,99.5,101.79,655.94,672.95,0.21,0.18,295.23,316.54,53.4,48.92,64.36,53.83,338.8,350.44,40.75,47.14,11.27,13.3,63.67,71.21,15.5,18.45,368.18,314.31,14.88,22.29,1,4,0,58,22,154,0.234,56,10,9,63,3,3,8,0,75.0
1,228.61,227.94,99.5,105.78,655.94,641.94,0.21,0.17,295.23,252.87,53.4,32.93,64.36,45.56,338.8,302.88,40.75,35.67,11.27,13.45,63.67,91.92,15.5,12.33,368.18,311.47,14.88,12.22,0,3,0,24,25,101,-0.010,22,3,9,32,7,0,10,1,32.0
0,228.61,199.18,99.5,90.82,655.94,532.73,0.21,0.15,295.23,263.94,53.4,36.93,64.36,56.59,338.8,245.53,40.75,31.4,11.27,16.1,63.67,78.54,15.5,13.93,368.18,306.14,14.88,13.62,0,3,0,37,23,129,0.109,27,3,12,43,3,0,10,1,45.0
2,228.61,125.19,99.5,63.71,655.94,388.33,0.21,0.1,295.23,173.43,53.4,36.0,64.36,44.64,338.8,193.11,40.75,40.62,11.27,10.0,63.67,41.06,15.5,8.5,368.18,182.61,14.88,15.56,0,3,0,25,20,120,0.042,23,7,6,59,5,1,0,3,33.0
4,228.61,203.75,99.5,89.3,655.94,612.8,0.21,0.24,295.23,270.36,53.4,35.93,64.36,40.73,338.8,305.11,40.75,42.93,11.27,13.83,63.67,62.93,15.5,9.46,368.18,276.56,14.88,11.21,1,5,0,58,32,199/,0.131,56,12,13,96,4,3,6,2,76.0
0,228.61,164.19,99.5,81.57,655.94,498.71,0.21,0.04,295.23,211.4,53.4,49.2,64.36,49.67,338.8,323.36,40.75,43.45,11.27,23.5,63.67,57.77,15.5,15.6,368.18,276.8,14.88,15.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,228.61,109.71,99.5,64.67,655.94,323.05,0.21,0.06,295.23,190.27,53.4,35.0,64.36,32.71,338.8,149.76,40.75,36.13,11.27,9.4,63.67,34.07,15.5,7.09,368.18,171.56,14.88,5.5,1,3,0,36,4,62,0.516,35,9,9,27,1,2,6,0,50.0
1,228.61,222.11,99.5,97.67,655.94,611.28,0.21,0.16,295.23,219.76,53.4,37.56,64.36,50.0,338.8,262.76,40.75,36.69,11.27,10.2,63.67,81.0,15.5,16.0,368.18,300.41,14.88,7.73,1,4,0,56,24,166,0.193,55,6,8,72,5,3,4,0,67.0
1,228.61,199.18,99.5,90.82,655.94,532.73,0.21,0.15,295.23,263.94,53.4,36.93,64.36,56.59,338.8,245.53,40.75,31.4,11.27,16.1,63.67,78.54,15.5,13.93,368.18,306.14,14.88,13.62,1,3,0,41,15,105,0.248,38,7,10,45,1,3,6,1,54.0
2,228.61,125.19,99.5,63.71,655.94,388.33,0.21,0.1,295.23,173.43,53.4,36.0,64.36,44.64,338.8,193.11,40.75,40.62,11.27,10.0,63.67,41.06,15.5,8.5,368.18,182.61,14.88,15.56,1,3,0,44,14,103,0.291,42,10,4,59,2,0,4,0,56.0
0,228.61,222.11,99.5,97.67,655.94,611.28,0.21,0.16,295.23,219.76,53.4,37.56,64.36,50.0,338.8,262.76,40.75,36.69,11.27,10.2,63.67,81.0,15.5,16.0,368.18,300.41,14.88,7.73,1,3,0,41,11,81,0.370,40,9,9,35,4,2,8,2,56.0
0,228.61,288.6,99.5,130.2,655.94,784.47,0.21,0.15,295.23,325.25,53.4,70.45,64.36,68.0,338.8,335.0,40.75,63.25,11.27,16.38,63.67,101.33,15.5,14.73,368.18,392.07,14.88,23.12,0,4,0,49,26,131,0.176,46,9,16,47,11,0,7,0,61.5
2,228.61,131.76,99.5,59.69,655.94,361.97,0.21,0.1,295.23,162.86,53.4,30.65,64.36,37.9,338.8,171.67,40.75,36.47,11.27,12.75,63.67,35.29,15.5,9.21,368.18,177.33,14.88,10.8,1,3,0,44,15,100,0.290,43,3,7,51,1,2,4,0,51.0
2,228.61,203.75,99.5,89.3,655.94,612.8,0.21,0.24,295.23,270.36,53.4,35.93,64.36,40.73,338.8,305.11,40.75,42.93,11.27,13.83,63.67,62.93,15.5,9.46,368.18,276.56,14.88,11.21,1,4,0,70,25,161,0.280,66,12,10,62,1,0,4,0,84.0
0,228.61,227.94,99.5,105.78,655.94,641.94,0.21,0.17,295.23,252.87,53.4,32.93,64.36,45.56,338.8,302.88,40.75,35.67,11.27,13.45,63.67,91.92,15.5,12.33,368.18,311.47,14.88,12.22,1,5,0,63,25,172,0.221,61,10,13,84,8,1,14,1,81.0
2,228.61,199.18,99.5,90.82,655.94,532.73,0.21,0.15,295.23,263.94,53.4,36.93,64.36,56.59,338.8,245.53,40.75,31.4,11.27,16.1,63.67,78.54,15.5,13.93,368.18,306.14,14.88,13.62,0,5,0,75/,27,199/,0.241,71/,5,8,85,10,1,16,1,89.0
