Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,0,50,30,156,0.128,44,4,12,60,5,1,6,1,58.0,3,St. Francis Brooklyn,211.29,207.29,100.18,84.95,616.18,612.24,0.14,0.13,237.43,249.5,32.31,41.85,46.0,42.06,256.25,320.72,41.85,45.15,11.75,7.73,75.83,94.83,13.67,13.62,266.56,294.17,13.11,13.11
0,4,0,35,19,104,0.154,30,5,8,37,17,0,10,2,0,0,UMES,211.29,288.6,100.18,130.2,616.18,784.47,0.14,0.15,237.43,325.25,32.31,70.45,46.0,68.0,256.25,335.0,41.85,63.25,11.75,16.38,75.83,101.33,13.67,14.73,266.56,392.07,13.11,23.12
0,3,0,27,12,97,0.155,25,1,4,42,12,1,4,0,0,0,Central Mich.,211.29,229.63,100.18,101.89,616.18,681.05,0.14,0.14,237.43,291.93,32.31,34.33,46.0,39.77,256.25,363.81,41.85,29.46,11.75,22.73,75.83,65.69,13.67,6.86,266.56,303.59,13.11,14.6
0,5,0,48,20,130,0.215,44,2,9,52,10,0,20,5,60.0,2,Quinnipiac,211.29,246.06,100.18,114.35,616.18,742.53,0.14,0.12,237.43,244.31,32.31,31.69,46.0,36.07,256.25,337.69,41.85,40.9,11.75,17.8,75.83,104.91,13.67,13.33,266.56,334.38,13.11,11.6
0,3,0,29,21,118,0.068,27,3,5,56,4,0,7,2,35.5,0,Morgan St.,211.29,228.61,100.18,99.5,616.18,655.94,0.14,0.21,237.43,295.23,32.31,53.4,46.0,64.36,256.25,338.8,41.85,40.75,11.75,11.27,75.83,63.67,13.67,15.5,266.56,368.18,13.11,14.88
1,5,0,54,22,146,0.219,54,7,13,58,7,1,25,2,74.5,1,Fairleigh Dickinson,211.29,202.0,100.18,98.0,616.18,670.75,0.14,0.16,237.43,234.77,32.31,28.62,46.0,32.71,256.25,326.8,41.85,35.31,11.75,10.3,75.83,69.25,13.67,11.64,266.56,251.97,13.11,13.88
0,5,0,49,27,148,0.149,47,4,7,54,7,1,10,3,59.0,1,Lehigh,211.29,224.94,100.18,94.83,616.18,633.22,0.14,0.19,237.43,270.64,32.31,35.08,46.0,44.81,256.25,283.71,41.85,51.3,11.75,25.38,75.83,70.93,13.67,10.33,266.56,300.97,13.11,11.33
0,3,0,27,16,94,0.117,21,4,11,31,9,0,18,1,40.0,0,Sacred Heart,211.29,255.67,100.18,110.33,616.18,711.17,0.14,0.0,237.43,297.93,32.31,37.17,46.0,44.69,256.25,319.53,41.85,34.08,11.75,16.89,75.83,96.38,13.67,16.17,266.56,364.12,13.11,9.78
0,4,0,46,21,150,0.167,45,3,11,65,7,1,8,2,54.0,1,Fairfield,211.29,243.29,100.18,106.82,616.18,688.35,0.14,0.24,237.43,259.67,32.31,48.73,46.0,41.07,256.25,347.53,41.85,41.25,11.75,11.18,75.83,82.62,13.67,21.73,266.56,318.75,13.11,8.89
0,3,0,20,15,85,0.059,18,2,9,30,7,0,12,2,28.0,2,Northeastern,211.29,243.24,100.18,100.18,616.18,651.06,0.14,0.12,237.43,256.87,32.31,44.73,46.0,56.67,256.25,305.27,41.85,43.0,11.75,16.67,75.83,93.8,13.67,12.44,266.56,374.71,13.11,8.7
0,4,0,40,23,123,0.138,38,4,5,49,7,5,8,0,53.0,0,Siena,211.29,230.0,100.18,99.22,616.18,653.39,0.14,0.14,237.43,238.75,32.31,28.0,46.0,43.81,256.25,291.35,41.85,32.86,11.75,14.5,75.83,77.08,13.67,11.45,266.56,327.12,13.11,12.45
0,3,0,24,20,91,0.044,21,1,3,29,6,0,10,2,30.0,2,Towson,211.29,185.33,100.18,72.62,616.18,492.04,0.14,0.29,237.43,230.83,32.31,32.14,46.0,36.27,256.25,280.67,41.85,38.0,11.75,11.56,75.83,110.62,13.67,15.11,266.56,286.05,13.11,12.83
0,3,0,28,21,97,0.072,24,3,4,40,7,0,4,3,33.0,2,New Hampshire,211.29,219.53,100.18,90.88,616.18,625.41,0.14,0.19,237.43,212.25,32.31,39.67,46.0,45.69,256.25,293.07,41.85,38.33,11.75,12.33,75.83,86.77,13.67,8.64,266.56,280.06,13.11,8.44
0,3,0,24,14,106,0.094,22,0,7,42,7,0,6,2,27.0,0,Loyola Maryland,211.29,238.0,100.18,102.0,616.18,695.05,0.14,0.16,237.43,279.06,32.31,40.18,46.0,51.0,256.25,393.62,41.85,42.0,11.75,12.8,75.83,86.17,13.67,11.8,266.56,367.07,13.11,18.62
0,3,0,24,15,82,0.110,23,7,7,29,7,2,2,2,34.0,2,Kennesaw St.,211.29,267.35,100.18,108.71,616.18,698.71,0.14,0.2,237.43,325.62,32.31,58.6,46.0,70.75,256.25,329.73,41.85,53.22,11.75,25.57,75.83,79.0,13.67,11.11,266.56,363.88,13.11,10.25
0,4,0,43,18,129,0.194,40,5,8,45,5,0,0,0,48.0,1,Jacksonville,211.29,254.41,100.18,105.06,616.18,693.59,0.14,0.16,237.43,286.43,32.31,41.73,46.0,58.46,256.25,309.44,41.85,44.36,11.75,13.0,75.83,87.5,13.67,13.58,266.56,362.43,13.11,14.38
0,3,0,25,15,90,0.111,24,2,8,32,4,0,2,2,28.0,2,North Florida,211.29,283.0,100.18,111.53,616.18,764.47,0.14,0.15,237.43,299.33,32.31,38.57,46.0,59.43,256.25,359.6,41.85,40.0,11.75,15.44,75.83,84.77,13.67,16.4,266.56,344.68,13.11,18.0
0,3,0,23,25,93,-0.022,23,5,10,30,5,1,10,1,34.0,1,Liberty,211.29,230.9,100.18,96.8,616.18,632.3,0.14,0.17,237.43,285.0,32.31,37.67,46.0,57.4,256.25,294.72,41.85,38.75,11.75,13.44,75.83,109.86,13.67,11.67,266.56,372.44,13.11,11.27
0,3,0,25,16,87,0.103,23,1,4,23,5,0,10,4,31.0,0,Lipscomb,211.29,240.94,100.18,102.06,616.18,658.29,0.14,0.29,237.43,268.14,32.31,35.73,46.0,46.58,256.25,310.07,41.85,34.36,11.75,10.27,75.83,89.45,13.67,16.08,266.56,333.7,13.11,11.38
0,3,0,28,17,96,0.115,25,1,4,28,3,0,6,0,32.0,2,Stetson,211.29,267.33,100.18,94.8,616.18,749.2,0.14,0.18,237.43,282.62,32.31,38.0,46.0,43.1,256.25,365.36,41.85,40.55,11.75,20.44,75.83,74.45,13.67,15.1,266.56,358.64,13.11,7.67
0,3,0,16,20,74,-0.054,15,1,6,18,11,0,2,0,18.0,2,FGCU,211.29,259.44,100.18,101.75,616.18,713.31,0.14,0.2,237.43,323.17,32.31,37.73,46.0,42.07,256.25,354.71,41.85,35.4,11.75,15.36,75.83,102.58,13.67,12.62,266.56,372.96,13.11,13.4
