Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,0,40,11,107,0.271,40,4,1,46,1,1,8,4,0,0,Rutgers,245.53,227.06,109.12,105.5,697.18,630.25,0.15,0.18,276.86,260.77,34.92,39.08,54.15,42.93,298.94,280.5,38.08,40.77,13.36,12.27,102.0,97.58,12.77,13.42,313.22,318.75,13.33,9.89
0,5,0,56,26,193,0.155,50,4,11,77,7,1,10,3,0,2,Grand Canyon,245.53,264.0,109.12,99.12,697.18,733.76,0.15,0.26,276.86,260.25,34.92,30.43,54.15,49.0,298.94,313.53,38.08,39.8,13.36,17.08,102.0,78.64,12.77,14.0,313.22,308.15,13.33,11.8
0,5,0,55,27,182,0.154,47,4,7,72,12,8/,16,2,0,3,Northern Colo.,245.53,299.65,109.12,122.71,697.18,811.76,0.15,0.2,276.86,338.93,34.92,51.73,54.15,59.57,298.94,358.38,38.08,41.58,13.36,20.56,102.0,96.27,12.77,13.0,313.22,372.16,13.33,9.44
0,3,0,31,14,102,0.167,28,4,5,38,2,1,4,4,38.0,6,A&M-Corpus Christi,245.53,237.11,109.12,86.84,697.18,649.53,0.15,0.17,276.86,261.62,34.92,44.92,54.15,55.0,298.94,315.47,38.08,37.64,13.36,14.6,102.0,46.71,12.77,9.64,313.22,338.44,13.33,11.36
1,3,0,26,19,81,0.086,25,4,4,30,0,2,24,2,44.0,2,Pacific,245.53,296.07,109.12,137.93,697.18,849.67,0.15,0.09,276.86,292.71,34.92,38.15,54.15,57.36,298.94,383.79,38.08,42.18,13.36,15.22,102.0,89.17,12.77,10.17,313.22,400.57,13.33,13.33
0,3,0,18,19,87,-0.011,18,2,2,31,3,0,6,3,23.0,6,New Mexico St.,245.53,176.22,109.12,75.65,697.18,466.87,0.15,0.3,276.86,205.94,34.92,35.0,54.15,45.5,298.94,217.05,38.08,34.62,13.36,18.22,102.0,127.5,12.77,12.7,313.22,280.06,13.33,13.75
0,3,0,27,10,76,0.224,23,5,10,31,8,3,2,0,36.0,1,Gonzaga,245.53,196.9,109.12,83.05,697.18,564.2,0.15,0.13,276.86,258.0,34.92,39.92,54.15,39.35,298.94,263.5,38.08,36.71,13.36,11.17,102.0,64.73,12.77,9.64,313.22,261.95,13.33,13.89
0,5,0,64,26,183,0.208,58,7,11,69,6,2,12,1,79.0,1,Oregon St.,245.53,258.72,109.12,109.67,697.18,709.0,0.15,0.18,276.86,254.35,34.92,27.07,54.15,47.07,298.94,312.24,38.08,25.06,13.36,16.0,102.0,87.64,12.77,10.92,313.22,332.94,13.33,7.64
1,3,0,38,15,99,0.232,34,8,6,49,4,1,14,0,54.0,0,Seattle U,245.53,254.88,109.12,121.18,697.18,716.24,0.15,0.13,276.86,269.13,34.92,35.71,54.15,45.5,298.94,323.53,38.08,38.92,13.36,10.91,102.0,111.17,12.77,12.45,313.22,337.16,13.33,9.29
0,3,0,35,16,103,0.184,34,6,10,38,3,3,6,1,47.0,2,Ohio,245.53,214.68,109.12,84.14,697.18,601.18,0.15,0.1,276.86,293.47,34.92,38.64,54.15,58.23,298.94,321.22,38.08,37.09,13.36,20.91,102.0,98.82,12.77,15.0,313.22,361.97,13.33,8.5
1,5,0,59,24,195,0.179,56,10,12,101/,12,3,20,1,82.0,0,North Texas,245.53,251.53,109.12,93.53,697.18,722.76,0.15,0.16,276.86,263.93,34.92,26.0,54.15,32.4,298.94,345.38,38.08,30.38,13.36,15.56,102.0,79.15,12.77,9.83,313.22,313.09,13.33,11.0
1,4,0,50,18,146,0.219,49,10,10,62,6,4,8,2,68.0,0,Kansas St.,245.53,225.0,109.12,85.68,697.18,633.21,0.15,0.13,276.86,282.93,34.92,33.69,54.15,47.19,298.94,342.87,38.08,34.6,13.36,11.57,102.0,91.38,12.77,12.2,313.22,320.53,13.33,7.3
0,3,0,16,22,89,-0.067,14,2,6,27,7,1,6,0,22.0,0,Colorado St.,245.53,254.38,109.12,105.69,697.18,653.88,0.15,0.2,276.86,293.08,34.92,39.67,54.15,58.36,298.94,279.8,38.08,45.11,13.36,22.33,102.0,119.55,12.77,14.0,313.22,385.89,13.33,6.38
0,5,0,63,31,178,0.180,57,4,6,77,8,1,24,2,80.0,3,Wyoming,245.53,270.71,109.12,106.65,697.18,740.82,0.15,0.17,276.86,302.5,34.92,29.36,54.15,45.77,298.94,349.07,38.08,35.83,13.36,15.27,102.0,108.0,12.77,16.09,313.22,372.3,13.33,11.38
0,3,0,33,18,101,0.149,29,3,11,34,8,1,15,1,44.5,0,Fresno St.,245.53,212.06,109.12,104.22,697.18,603.61,0.15,0.19,276.86,240.2,34.92,36.14,54.15,49.43,298.94,259.12,38.08,44.2,13.36,11.1,102.0,91.15,12.77,12.64,313.22,295.62,13.33,5.0
0,4,0,54,25,140,0.207,50,3,7,39,3,0,16,1,65.0,1,San Diego St.,245.53,226.16,109.12,92.79,697.18,568.74,0.15,0.17,276.86,270.0,34.92,24.85,54.15,43.57,298.94,233.72,38.08,31.23,13.36,13.91,102.0,84.08,12.77,16.0,313.22,302.32,13.33,6.83
0,4,0,53,18,144,0.243,51,1,11,65,6,0,14,2,61.0,2,Boise St.,245.53,249.53,109.12,108.59,697.18,685.18,0.15,0.23,276.86,264.6,34.92,32.5,54.15,41.71,298.94,313.33,38.08,31.64,13.36,12.18,102.0,111.36,12.77,13.82,313.22,341.66,13.33,12.12
0,5,0,56,39,170,0.100,55,5,9,69,6,0,10,1,66.0,3,Utah St.,245.53,184.58,109.12,89.89,697.18,551.37,0.15,0.15,276.86,206.69,34.92,34.77,54.15,38.71,298.94,229.5,38.08,30.5,13.36,12.64,102.0,93.93,12.77,4.5,313.22,267.0,13.33,10.4
1,5,0,73,19,175,0.309,70,4,12,79,9,0,34,2,94.0,1,Nevada,245.53,250.41,109.12,112.65,697.18,729.59,0.15,0.17,276.86,288.71,34.92,47.5,54.15,49.17,298.94,333.62,38.08,53.33,13.36,11.56,102.0,112.5,12.77,14.9,313.22,344.31,13.33,10.0
0,4,0,47,19,136,0.206,42,7,12,48,8,1,20,1,65.0,0,San Jose St.,245.53,218.17,109.12,100.06,697.18,606.83,0.15,0.22,276.86,215.29,34.92,30.93,54.15,44.62,298.94,273.18,38.08,34.79,13.36,14.89,102.0,62.12,12.77,10.64,313.22,295.35,13.33,13.33
