Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,0,65,27,145,0.262,58,10,15,48,7,0,12,3,81.0,0,North Dakota,230.67,238.24,101.67,97.94,647.06,688.06,0.09,0.15,248.33,248.27,37.46,37.31,50.73,50.54,289.88,347.6,41.25,39.21,18.8,12.67,68.77,65.57,15.44,11.0,324.25,308.88,15.0,15.5
1,3,0,37,18,96,0.198,30,13,3,45,2,2,10,1,0,0,Ark.-Pine Bluff,230.67,239.82,101.67,114.35,647.06,778.24,0.09,0.12,248.33,239.47,37.46,38.53,50.73,43.33,289.88,324.25,41.25,48.08,18.8,28.2,68.77,56.67,15.44,13.31,324.25,324.44,15.0,9.55
0,4,0,56,22,156,0.218,52,8,11,61,9,1,8,1,69.0,1,Mississippi St.,230.67,246.65,101.67,111.18,647.06,705.94,0.09,0.24,248.33,274.43,37.46,31.54,50.73,43.77,289.88,361.86,41.25,40.91,18.8,22.8,68.77,84.45,15.44,10.8,324.25,338.43,15.0,8.57
1,3,0,46,19,118,0.229,43,2,5,62,1,2,12,3,56.0,0,Southern Miss.,230.67,190.4,101.67,80.25,647.06,577.45,0.09,0.11,248.33,220.81,37.46,19.88,50.73,29.76,289.88,274.05,41.25,27.86,18.8,12.5,68.77,43.18,15.44,8.67,324.25,234.32,15.0,13.83
0,4,0,55,29,166,0.157,52,1,10,69,7,0,10,1,61.0,3,Arkansas St.,230.67,251.41,101.67,113.06,647.06,734.53,0.09,0.19,248.33,277.5,37.46,48.78,50.73,47.42,289.88,383.43,41.25,47.62,18.8,20.7,68.77,89.82,15.44,11.0,324.25,371.18,15.0,14.36
0,4,0,47,20,135,0.200,42,2,10,58,7,5,12,3,60.0,1,Tulane,230.67,232.86,101.67,103.9,647.06,674.71,0.09,0.16,248.33,239.11,37.46,41.38,50.73,44.81,289.88,325.16,41.25,37.79,18.8,16.4,68.77,111.57,15.44,15.92,324.25,354.06,15.0,15.7
0,4,0,38,19,139,0.137,38,4,15,51,7,2,8,1,48.0,1,Tennessee St.,230.67,191.26,101.67,87.05,647.06,563.42,0.09,0.21,248.33,225.93,37.46,24.14,50.73,41.31,289.88,277.29,41.25,25.87,18.8,11.0,68.77,69.77,15.44,10.64,324.25,247.97,15.0,17.75
1,5,0,54,19,147,0.238,44,10,17,47,6,3,18,1,76.0,1,Mercer,230.67,264.31,101.67,121.44,647.06,721.81,0.09,0.21,248.33,279.64,37.46,47.82,50.73,81.64,289.88,325.36,41.25,44.67,18.8,21.83,68.77,79.0,15.44,24.7,324.25,357.93,15.0,16.67
1,3,0,48,15,121,0.273,38,5,8,57,3,1,6,1,57.0,1,Southern U.,230.67,170.9,101.67,87.7,647.06,582.7,0.09,0.08,248.33,181.56,37.46,31.5,50.73,31.22,289.88,215.11,41.25,32.31,18.8,20.17,68.77,42.47,15.44,10.36,324.25,255.5,15.0,10.71
1,3,0,38,11,83,0.325,29,2,7,47,2,7,0,0,47.0,0,Jackson St.,230.67,204.14,101.67,101.59,647.06,600.68,0.09,0.14,248.33,248.81,37.46,32.4,50.73,43.4,289.88,311.47,41.25,40.15,18.8,31.27,68.77,52.6,15.44,10.27,324.25,282.45,15.0,10.3
