Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,0,30,18,112,0.107,27,1,3,47,4,1,8,3,36.0,1,Stetson,194.3,267.33,71.65,94.8,574.9,749.2,0.09,0.18,259.36,282.62,33.25,38.0,37.14,43.1,310.76,365.36,34.46,40.55,10.82,20.44,61.23,74.45,20.18,15.1,320.13,358.64,7.85,7.67
1,3,0,42,7,93,0.376,43,9,6,42,3,0,10,0,56.0,1,Grambling,194.3,147.13,71.65,78.43,574.9,481.52,0.09,0.09,259.36,158.53,33.25,34.42,37.14,27.0,310.76,237.42,34.46,29.41,10.82,18.0,61.23,55.87,20.18,10.67,320.13,206.5,7.85,10.55
0,4,0,41,22,162,0.117,37,2,10,74,6,1,10,3,49.0,2,Youngstown St.,194.3,177.1,71.65,82.75,574.9,544.95,0.09,0.12,259.36,222.93,33.25,30.07,37.14,39.2,310.76,273.83,34.46,30.29,10.82,12.44,61.23,65.69,20.18,12.92,320.13,259.88,7.85,14.56
0,3,0,28,13,115,0.130,25,2,6,35,6,1,4,1,33.0,0,Hartford,194.3,241.71,71.65,92.82,574.9,629.12,0.09,0.11,259.36,248.27,33.25,50.5,37.14,41.69,310.76,283.87,34.46,42.42,10.82,13.6,61.23,91.18,20.18,14.27,320.13,333.17,7.85,9.25
0,3,0,25,12,88,0.148,23,1,4,34,10,1,4,1,29.0,1,Cornell,194.3,158.24,71.65,59.9,574.9,428.48,0.09,0.29,259.36,220.5,33.25,29.67,37.14,39.21,310.76,210.44,34.46,28.5,10.82,12.22,61.23,50.12,20.18,6.92,320.13,232.78,7.85,10.78
0,4,0,31,12,109,0.174,24,6,7,40,11,0,4,1,39.0,0,Delaware,194.3,205.42,71.65,86.74,574.9,545.32,0.09,0.16,259.36,225.88,33.25,43.73,37.14,43.14,310.76,242.71,34.46,31.2,10.82,11.56,61.23,81.62,20.18,8.88,320.13,305.12,7.85,13.8
0,4,0,40,9,109,0.284,36,3,6,41,10,6,4,1,51.0,0,Northern Ill.,194.3,227.44,71.65,98.0,574.9,610.44,0.09,0.13,259.36,269.29,33.25,40.9,37.14,43.79,310.76,278.81,34.46,42.64,10.82,15.5,61.23,77.55,20.18,12.2,320.13,300.5,7.85,9.33
0,4,0,52,16,144,0.250,46,4,10,49,8,5,6,0,64.0,0,UIW,194.3,256.69,71.65,100.0,574.9,698.56,0.09,0.15,259.36,246.53,33.25,35.64,37.14,50.43,310.76,295.13,34.46,48.82,10.82,16.6,61.23,81.25,20.18,8.8,320.13,350.57,7.85,9.56
0,3,0,33,13,104,0.192,31,1,4,39,6,0,12,1,40.0,2,Cleveland St.,194.3,205.85,71.65,84.45,574.9,608.25,0.09,0.14,259.36,242.88,33.25,31.17,37.14,34.93,310.76,312.78,34.46,27.5,10.82,16.1,61.23,90.67,20.18,9.17,320.13,288.64,7.85,7.0
0,5,0,47,24,177,0.130,43,11,4,71,6,2,4,1,62.0,1,Kent St.,194.3,249.5,71.65,95.5,574.9,703.28,0.09,0.21,259.36,302.71,33.25,35.42,37.14,39.07,310.76,339.71,34.46,36.17,10.82,17.6,61.23,84.18,20.18,11.3,320.13,326.74,7.85,14.86
