Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,0,52,21,128,0.242,45,6,13,58,4,4,16,1,70.0,1,South Alabama,286.94,295.07,114.29,111.2,840.76,813.73,0.21,0.19,325.0,304.15,53.33,43.09,56.17,55.92,462.07,376.77,39.8,50.0,17.0,21.45,131.73,72.5,12.55,8.3,445.39,397.75,10.71,9.8
0,5,0,63,26,179,0.207,60,5,8,71,4,4,4,2,74.0,1,Western Mich.,286.94,250.0,114.29,100.71,840.76,700.71,0.21,0.18,325.0,281.29,53.33,31.0,56.17,52.42,462.07,323.06,39.8,34.0,17.0,21.67,131.73,64.77,12.55,7.42,445.39,325.44,10.71,16.67
1,3,0,39,7,109,0.294,35,8,6,54,1,1,20,1,58.0,0,Purdue Fort Wayne,286.94,289.29,114.29,121.76,840.76,827.29,0.21,0.17,325.0,307.53,53.33,35.42,56.17,48.23,462.07,379.44,39.8,37.33,17.0,18.62,131.73,118.91,12.55,15.89,445.39,409.7,10.71,6.55
1,3,0,43,14,100,0.290,41,9,6,48,2,2,14,0,61.0,1,Stony Brook,286.94,191.32,114.29,75.84,840.76,536.42,0.21,0.15,325.0,221.87,53.33,23.4,56.17,36.12,462.07,244.82,39.8,27.0,17.0,9.42,131.73,54.86,12.55,10.17,445.39,239.0,10.71,6.38
1,4,0,57,21,157,0.229,54,7,12,82,5,2,20,2,76.0,0,Georgetown,286.94,210.85,114.29,97.95,840.76,605.0,0.21,0.18,325.0,231.82,53.33,32.6,56.17,56.94,462.07,277.89,39.8,29.4,17.0,11.8,131.73,69.06,12.55,9.0,445.39,282.95,10.71,13.0
0,3,0,35,26,107,0.084,35,3,5,33,6,0,6,0,41.0,0,Marshall,286.94,217.06,114.29,86.89,840.76,611.06,0.21,0.15,325.0,244.53,53.33,29.67,56.17,31.17,462.07,296.19,39.8,36.11,17.0,22.12,131.73,104.45,12.55,14.18,445.39,272.88,10.71,10.86
0,5,0,65,27,194,0.196,60,6,9,91,3,2,27,2,86.5,0,Ball St.,286.94,255.35,114.29,97.8,840.76,728.0,0.21,0.27,325.0,278.24,53.33,35.54,56.17,39.15,462.07,361.72,39.8,39.27,17.0,16.08,131.73,82.58,12.55,14.82,445.39,342.69,10.71,8.55
0,4,0,54,26,168,0.167,52,7,10,73,3,1,6,1,65.0,1,Notre Dame,286.94,276.62,114.29,117.88,840.76,793.75,0.21,0.23,325.0,321.0,53.33,34.73,56.17,61.23,462.07,385.43,39.8,30.36,17.0,12.0,131.73,125.7,12.55,18.33,445.39,366.64,10.71,10.29
1,5,0,71,23,178,0.270,64,5,9,65,4,3,26,2,92.0/,0,Cincinnati,286.94,274.68,114.29,92.21,840.76,666.84,0.21,0.17,325.0,350.43,53.33,42.58,56.17,55.15,462.07,322.38,39.8,30.38,17.0,12.36,131.73,91.45,12.55,19.12,445.39,424.6,10.71,16.0
0,5,0,54,29,173,0.145,50,4,8,80,8,0,24,1,70.0,4,Western Ky.,286.94,280.12,114.29,101.06,840.76,710.81,0.21,0.2,325.0,277.73,53.33,56.5,56.17,81.6,462.07,344.0,39.8,67.0,17.0,23.75,131.73,115.22,12.55,15.75,445.39,361.7,10.71,14.67
1,3,0,37,17,108,0.185,35,12,5,46,2,4,8,2,57.0,2,Samford,286.94,246.72,114.29,100.11,840.76,683.94,0.21,0.12,325.0,293.0,53.33,53.0,56.17,64.55,462.07,368.07,39.8,50.7,17.0,25.12,131.73,105.0,12.55,22.22,445.39,406.93,10.71,12.6
1,3,0,41,16,124,0.202,39,10,4,49,2,0,16,0,59.0,0,Tulsa,286.94,297.88,114.29,135.12,840.76,897.59,0.21,0.14,325.0,334.93,53.33,38.17,56.17,52.0,462.07,424.75,39.8,34.57,17.0,22.67,131.73,111.15,12.55,19.0,445.39,394.22,10.71,9.78
1,3,0,41,6,85,0.412,35,5,8,37,2,1,14,0,54.0,0,Youngstown St.,286.94,177.1,114.29,82.75,840.76,544.95,0.21,0.12,325.0,222.93,53.33,30.07,56.17,39.2,462.07,273.83,39.8,30.29,17.0,12.44,131.73,65.69,12.55,12.92,445.39,259.88,10.71,14.56
1,4,0,64,14,172,0.291,57,7,7,86,5,2,12,2,79.0,0,Cleveland St.,286.94,205.85,114.29,84.45,840.76,608.25,0.21,0.14,325.0,242.88,53.33,31.17,56.17,34.93,462.07,312.78,39.8,27.5,17.0,16.1,131.73,90.67,12.55,9.17,445.39,288.64,10.71,7.0
0,5,0,68,24,220,0.200,68,7,12,109,4,4,17,1,87.5,0,Wright St.,286.94,253.82,114.29,104.71,840.76,776.29,0.21,0.22,325.0,267.27,53.33,35.42,56.17,53.23,462.07,393.5,39.8,25.93,17.0,13.45,131.73,101.67,12.55,10.78,445.39,316.25,10.71,7.57
1,3,0,47,14,110,0.300,44,0,10,53,3,0,16,1,55.0,1,IUPUI,286.94,244.62,114.29,119.31,840.76,757.5,0.21,0.2,325.0,259.79,53.33,38.5,56.17,71.0,462.07,380.64,39.8,37.58,17.0,17.11,131.73,96.55,12.55,9.4,445.39,319.13,10.71,16.0
0,5,0,69,24,232/,0.194,67,5,10,117,2,0,7,4,77.5,1,Oakland,286.94,196.38,114.29,83.81,840.76,571.29,0.21,-0.11,325.0,242.38,53.33,28.38,56.17,39.33,462.07,300.78,39.8,29.62,17.0,18.5,131.73,96.0,12.55,12.0,445.39,280.58,10.71,13.2
