BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,245.78,297.88,92.44,135.12,654.33,897.59,0.21,0.14,295.0,334.93,44.91,38.17,59.92,52.0,348.0,424.75,37.45,34.57,15.0,22.67,102.67,111.15,11.89,19.0,367.3,394.22,11.0,9.78,0,5,0,66,24,166,0.253,63,10,10,74,5,1,18,0,86.0
1,245.78,251.53,92.44,93.53,654.33,722.76,0.21,0.16,295.0,263.93,44.91,26.0,59.92,32.4,348.0,345.38,37.45,30.38,15.0,15.56,102.67,79.15,11.89,9.83,367.3,313.09,11.0,11.0,0,5,0,63,24,184,0.212,62,6,11,89,4,2,12,0,0
0,245.78,269.53,92.44,119.89,654.33,757.47,0.21,0.22,295.0,320.67,44.91,43.08,59.92,61.17,348.0,367.88,37.45,32.13,15.0,12.8,102.67,129.5,11.89,14.83,367.3,384.85,11.0,10.0,1,4,0,55,16,135,0.289,48,9,9,55,5,5,10,0,74.0
0,245.78,243.29,92.44,106.82,654.33,688.35,0.21,0.24,295.0,259.67,44.91,48.73,59.92,41.07,348.0,347.53,37.45,41.25,15.0,11.18,102.67,82.62,11.89,21.73,367.3,318.75,11.0,8.89,1,4,0,60,20,143,0.280,56,6,14,60,2,0,18,2,75.0
3,245.78,247.79,92.44,103.47,654.33,629.0,0.21,0.17,295.0,307.71,44.91,37.42,59.92,54.86,348.0,274.12,37.45,28.69,15.0,14.7,102.67,103.92,11.89,14.5,367.3,325.0,11.0,9.0,0,4,0,52,22,130,0.231,46,0,10,42,4,1,12,2,59.0
3,245.78,306.78,92.44,120.72,654.33,783.22,0.21,0.26,295.0,394.46,44.91,35.85,59.92,51.31,348.0,371.73,37.45,39.33,15.0,18.0,102.67,143.08,11.89,14.75,367.3,431.88,11.0,7.71,0,4,0,47,26,127,0.165,42,6,12,42,2,1,14,0,61.0
1,245.78,190.05,92.44,80.0,654.33,512.9,0.21,0.15,295.0,219.0,44.91,39.85,59.92,64.25,348.0,253.76,37.45,32.62,15.0,15.73,102.67,66.69,11.89,15.12,367.3,325.91,11.0,8.71,0,5,0,66,34,186,0.172,58,7,6,61,2,2,14,3,82.0
0,245.78,191.06,92.44,66.06,654.33,452.06,0.21,0.13,295.0,233.38,44.91,28.36,59.92,34.0,348.0,213.6,37.45,24.29,15.0,6.6,102.67,80.33,11.89,9.09,367.3,273.87,11.0,9.11,0,5,0,63,17,180,0.256,62,7,13,75,7,2,16,0,80.0
0,245.78,180.43,92.44,79.43,654.33,500.57,0.21,0.14,295.0,182.53,44.91,26.31,59.92,35.22,348.0,216.89,37.45,28.11,15.0,13.38,102.67,77.42,11.89,9.85,367.3,236.87,11.0,11.57,1,3,0,44,14,115,0.261,40,10,9,48,5,1,10,1,60.0
0,245.78,212.85,92.44,83.4,654.33,555.2,0.21,0.23,295.0,283.43,44.91,29.17,59.92,43.5,348.0,270.94,37.45,31.0,15.0,17.33,102.67,79.21,11.89,11.22,367.3,274.92,11.0,9.22,0,5,0,59,24,163,0.215,58,5,11,65,3,2,8,2,70.0
