BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,289.29,250.0,121.76,100.71,827.29,700.71,0.17,0.18,307.53,281.29,35.42,31.0,48.23,52.42,379.44,323.06,37.33,34.0,18.62,21.67,118.91,64.77,15.89,7.42,409.7,325.44,6.55,16.67,0,5,0,58,22,158,0.228,51,1,9,59,3,2,24,2,73.0
1,289.29,295.07,121.76,111.2,827.29,813.73,0.17,0.19,307.53,304.15,35.42,43.09,48.23,55.92,379.44,376.77,37.33,50.0,18.62,21.45,118.91,72.5,15.89,8.3,409.7,397.75,6.55,9.8,1,4,0,54,12,125,0.336,48,4,11,53,4,0,20,2,68.0
0,289.29,286.94,121.76,114.29,827.29,840.76,0.17,0.21,307.53,325.0,35.42,53.33,48.23,56.17,379.44,462.07,37.33,39.8,18.62,17.0,118.91,131.73,15.89,12.55,409.7,445.39,6.55,10.71,0,3,0,34,25,120,0.075,33,1,2,56,8,0,4,1,37.0
1,289.29,250.41,121.76,112.65,827.29,729.59,0.17,0.17,307.53,288.71,35.42,47.5,48.23,49.17,379.44,333.62,37.33,53.33,18.62,11.56,118.91,112.5,15.89,14.9,409.7,344.31,6.55,10.0,0,3,0,38,20,101,0.178,35,5,8,36,4,0,2,2,44.0
2,289.29,224.22,121.76,96.39,827.29,667.11,0.17,0.16,307.53,222.71,35.42,31.0,48.23,48.21,379.44,305.76,37.33,32.15,18.62,12.0,118.91,91.38,15.89,13.82,409.7,289.71,6.55,12.29,0,3,0,26,17,89,0.101,26,3,7,38,6,1,14,1,37.0
2,289.29,192.1,121.76,84.6,827.29,543.0,0.17,0.13,307.53,219.06,35.42,22.53,48.23,39.0,379.44,233.63,37.33,27.69,18.62,8.25,118.91,57.07,15.89,8.55,409.7,240.17,6.55,9.67,1,5,0,57,24,181,0.182,52,2,8,82,10,0,20,4,69.0
2,289.29,244.62,121.76,119.31,827.29,757.5,0.17,0.2,307.53,259.79,35.42,38.5,48.23,71.0,379.44,380.64,37.33,37.58,18.62,17.11,118.91,96.55,15.89,9.4,409.7,319.13,6.55,16.0,0,4,0,55,20,157,0.223,53,5,5,69,7,2,16,0,70.0
0,289.29,285.44,121.76,122.81,827.29,860.25,0.17,0.17,307.53,307.57,35.42,37.0,48.23,52.75,379.44,457.07,37.33,35.27,18.62,10.5,118.91,110.6,15.89,15.0,409.7,400.61,6.55,5.56,0,4,0,46,17,145,0.200,44,2,5,55,7,1,16,2,57.0
0,289.29,286.2,121.76,130.27,827.29,800.47,0.17,0.12,307.53,305.31,35.42,32.0,48.23,54.38,379.44,354.79,37.33,35.62,18.62,12.3,118.91,92.42,15.89,15.18,409.7,387.0,6.55,20.33,0,5,0,44,23,166,0.127,40,3,5,75,8,5,24,2,64.0
0,289.29,203.94,121.76,97.89,827.29,623.61,0.17,0.12,307.53,242.86,35.42,34.38,48.23,43.93,379.44,332.73,37.33,37.69,18.62,11.55,118.91,73.0,15.89,13.45,409.7,292.69,6.55,13.56,1,4,0,53,20,134,0.246,48,6,5,70,5,0,14,3,66.0
