Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,0,49,22,135,0.200,46,9,13,48,2,2,24,3,0,2,Ohio,260.61,214.68,105.61,84.14,687.61,601.18,0.18,0.1,311.36,293.47,43.73,38.64,49.38,58.23,294.65,321.22,29.36,37.09,18.6,20.91,119.5,98.82,12.91,15.0,390.6,361.97,7.7,8.5
1,3,0,42,10,86,0.372,41,6,5,33,3,0,12,0,0,2,Ball St.,260.61,255.35,105.61,97.8,687.61,728.0,0.18,0.27,311.36,278.24,43.73,35.54,49.38,39.15,294.65,361.72,29.36,39.27,18.6,16.08,119.5,82.58,12.91,14.82,390.6,342.69,7.7,8.55
0,5,0,62,24,155,0.245,56,2,9,74,11,2,28,3,80.0,0,Notre Dame,260.61,276.62,105.61,117.88,687.61,793.75,0.18,0.23,311.36,321.0,43.73,34.73,49.38,61.23,294.65,385.43,29.36,30.36,18.6,12.0,119.5,125.7,12.91,18.33,390.6,366.64,7.7,10.29
1,4,0,56,19,142,0.261,56,5,5,63,3,0,28,2,75.0,0,Louisville,260.61,236.37,105.61,106.68,687.61,629.26,0.18,0.17,311.36,263.19,43.73,30.13,49.38,44.47,294.65,274.82,29.36,36.08,18.6,15.38,119.5,102.23,12.91,12.92,390.6,323.09,7.7,10.43
1,4,0,49,22,117,0.231,46,7,8,45,4,1,23,2,68.5,1,Lipscomb,260.61,240.94,105.61,102.06,687.61,658.29,0.18,0.29,311.36,268.14,43.73,35.73,49.38,46.58,294.65,310.07,29.36,34.36,18.6,10.27,119.5,89.45,12.91,16.08,390.6,333.7,7.7,11.38
1,5,0,63,23,169,0.237,60,3,5,79,4,4,26,5,83.0,1,Kentucky,260.61,254.22,105.61,96.72,687.61,667.78,0.18,0.2,311.36,352.17,43.73,33.67,49.38,51.08,294.65,330.6,29.36,29.83,18.6,16.27,119.5,116.18,12.91,13.73,390.6,386.53,7.7,9.43
1,3,0,49,3,84,0.548,45,6,11,40,0,1,14,0,63.0,0,A&M-Corpus Christi,260.61,237.11,105.61,86.84,687.61,649.53,0.18,0.17,311.36,261.62,43.73,44.92,49.38,55.0,294.65,315.47,29.36,37.64,18.6,14.6,119.5,46.71,12.91,9.64,390.6,338.44,7.7,11.36
1,3,0,39,8,102,0.304,35,3,5,46,8,3,16,0,53.0,3,Murray St.,260.61,250.61,105.61,105.72,687.61,699.33,0.18,0.06,311.36,245.06,43.73,29.87,49.38,50.86,294.65,313.47,29.36,31.92,18.6,11.82,119.5,60.08,12.91,8.9,390.6,308.03,7.7,13.38
1,4,0,63,22,135,0.304,59,7,9,57,3,2,12,0,78.0,1,Eastern Mich.,260.61,224.74,105.61,88.89,687.61,637.58,0.18,0.26,311.36,248.25,43.73,29.0,49.38,35.31,294.65,316.29,29.36,32.58,18.6,14.2,119.5,86.33,12.91,5.25,390.6,279.42,7.7,11.29
0,3,0,37,26,109,0.101,34,5,9,46,2,0,10,4,47.0,1,Wisconsin,260.61,281.24,105.61,96.65,687.61,715.0,0.18,0.17,311.36,377.42,43.73,43.45,49.38,59.33,294.65,316.81,29.36,29.85,18.6,12.29,119.5,146.9,12.91,13.8,390.6,467.65,7.7,8.67
