Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,0,54,26,159,0.176,46,5,9,73,4,1,6,2,0,2,New Hampshire,195.67,219.53,82.56,90.88,592.44,625.41,0.09,0.19,272.08,212.25,36.18,39.67,47.85,45.69,313.27,293.07,33.92,38.33,14.22,12.33,68.58,86.77,10.73,8.64,274.7,280.06,10.62,8.44
1,3,0,39,20,125,0.152,37,3,4,61,6,0,4,0,0,0,Iona,195.67,231.8,82.56,113.87,592.44,738.07,0.09,0.05,272.08,230.71,36.18,34.62,47.85,47.08,313.27,344.21,33.92,37.08,14.22,12.56,68.58,81.27,10.73,14.5,274.7,301.36,10.62,14.6
0,4,0,41,24,139,0.122,40,3,8,61,7,1,18,0,0,0,Army West Point,195.67,221.6,82.56,94.85,592.44,647.75,0.09,0.13,272.08,272.33,36.18,39.67,47.85,53.92,313.27,345.06,33.92,34.83,14.22,21.11,68.58,97.75,10.73,17.36,274.7,359.63,10.62,9.2
0,3,0,36,18,111,0.162,34,1,10,46,5,0,4,0,39.0,1,Colgate,195.67,233.4,82.56,95.5,592.44,648.1,0.09,0.2,272.08,249.35,36.18,34.0,47.85,46.93,313.27,302.0,33.92,42.2,14.22,23.4,68.58,77.71,10.73,11.94,274.7,301.56,10.62,9.33
0,5,0,52,23,158,0.184,49,7,17,62,8,2,14,0,68.0,4,Sacred Heart,195.67,255.67,82.56,110.33,592.44,711.17,0.09,0.0,272.08,297.93,36.18,37.17,47.85,44.69,313.27,319.53,33.92,34.08,14.22,16.89,68.58,96.38,10.73,16.17,274.7,364.12,10.62,9.78
0,4,0,53,21,140,0.229,49,2,7,47,6,1,6,2,59.0,1,Harvard,195.67,179.78,82.56,75.5,592.44,485.11,0.09,0.19,272.08,199.0,36.18,30.07,47.85,39.93,313.27,193.41,33.92,35.67,14.22,8.8,68.58,65.86,10.73,9.8,274.7,247.41,10.62,11.2
0,3,0,33,15,118,0.153,29,4,7,48,10,9/,0,1,46.0,0,Bucknell,195.67,182.62,82.56,76.81,592.44,522.43,0.09,0.13,272.08,222.38,36.18,33.5,47.85,31.12,313.27,244.05,33.92,35.45,14.22,15.82,68.58,67.69,10.73,14.6,274.7,303.06,10.62,16.0
1,3,0,51,16,142,0.246,51,8,10,87,5,3,0,3,62.0,1,Saint Peter's,195.67,243.8,82.56,112.07,592.44,805.87,0.09,0.04,272.08,261.69,36.18,38.83,47.85,53.45,313.27,427.54,33.92,36.31,14.22,15.75,68.58,76.0,10.73,15.89,274.7,338.88,10.62,15.43
1,4,0,57,22,168,0.208,51,6,11,76,4,5,2,0,69.0,0,Central Conn. St.,195.67,243.22,82.56,95.61,592.44,707.11,0.09,0.25,272.08,275.6,36.18,31.77,47.85,40.36,313.27,339.12,33.92,29.31,14.22,17.27,68.58,100.36,10.73,9.91,274.7,345.81,10.62,11.56
0,5,0,47,23,175,0.137,44,12,7,84,8,0,14,2,66.0,1,Boston College,195.67,273.5,82.56,110.72,592.44,723.61,0.09,0.19,272.08,307.6,36.18,36.23,47.85,35.62,313.27,305.24,33.92,33.23,14.22,16.1,68.58,87.4,10.73,14.46,274.7,348.53,10.62,9.91
1,5,0,70,22,174,0.276,65,6,9,80,9,2,10,4,83.0,0,Bryant,195.67,219.58,82.56,104.26,592.44,627.58,0.09,0.13,272.08,224.59,36.18,37.17,47.85,43.07,313.27,284.71,33.92,42.44,14.22,10.18,68.58,81.92,10.73,11.0,274.7,276.44,10.62,14.62
1,5,0,66,39,227,0.119,62,6,8,106,2,2,25,1,86.5,1,Fordham,195.67,194.4,82.56,82.65,592.44,611.75,0.09,0.13,272.08,224.19,36.18,25.5,47.85,32.81,313.27,323.94,33.92,45.88,14.22,11.4,68.58,79.0,10.73,12.73,274.7,271.71,10.62,17.0
