Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,0,52,14,134,0.284,49,1,6,69,3,0,6,2,56.0,0,Bradley,270.75,257.06,108.25,103.22,756.75,797.39,0.12,0.07,291.5,289.6,34.4,35.83,44.09,46.0,365.87,455.0,36.7,29.54,13.78,12.0,110.64,111.09,12.8,13.09,374.96,369.47,9.83,12.0
1,3,0,45,7,106,0.358,41,5,3,53,3,0,22,0,61.0,1,UTSA,270.75,226.21,108.25,86.68,756.75,623.95,0.12,0.2,291.5,254.56,34.4,44.5,44.09,63.0,365.87,282.56,36.7,44.45,13.78,13.8,110.64,72.33,12.8,11.25,374.96,301.5,9.83,13.2
0,5,0,68,30,206,0.184,61,1,9,97,2,1,18,4,0,1,SFA,270.75,232.58,108.25,82.74,756.75,682.32,0.12,0.17,291.5,312.54,34.4,35.0,44.09,46.75,365.87,432.79,36.7,32.4,13.78,16.64,110.64,98.42,12.8,12.82,374.96,323.41,9.83,14.0
1,5,0,63,25,171,0.222,60,6,9,73,11,1,14,1,77.0,1,Oral Roberts,270.75,270.41,108.25,113.06,756.75,783.65,0.12,0.19,291.5,358.17,34.4,37.62,44.09,45.43,365.87,395.13,36.7,50.6,13.78,11.7,110.64,80.15,12.8,16.92,374.96,351.5,9.83,11.8
1,3,0,47,18,113,0.257,45,4,5,44,7,0,14,2,58.0,0,UIW,270.75,256.69,108.25,100.0,756.75,698.56,0.12,0.15,291.5,246.53,34.4,35.64,44.09,50.43,365.87,295.13,36.7,48.82,13.78,16.6,110.64,81.25,12.8,8.8,374.96,350.57,9.83,9.56
1,3,0,46,18,120,0.233,45,6,4,55,6,5,6,0,60.0,0,Dayton,270.75,227.05,108.25,91.21,756.75,611.26,0.12,0.22,291.5,218.61,34.4,34.5,44.09,47.6,365.87,266.28,36.7,33.46,13.78,14.22,110.64,96.62,12.8,8.92,374.96,290.08,9.83,7.08
1,3,0,45,12,94,0.351,44,6,7,42,6,0,10,1,56.0,0,Missouri St.,270.75,285.06,108.25,136.06,756.75,811.44,0.12,0.18,291.5,328.77,34.4,37.62,44.09,59.64,365.87,352.53,36.7,38.57,13.78,10.22,110.64,120.33,12.8,13.09,374.96,381.0,9.83,8.55
0,3,0,39,28,116,0.095,37,2,2,49,6,0,6,1,44.0,1,Weber St.,270.75,286.28,108.25,110.72,756.75,812.5,0.12,0.19,291.5,374.0,34.4,48.91,44.09,62.18,365.87,471.43,36.7,42.27,13.78,17.1,110.64,153.0,12.8,12.8,374.96,552.21,9.83,15.17
1,3,0,46,19,118,0.229,43,7,10,52,1,1,10,0,59.0,0,TCU,270.75,224.72,108.25,101.11,756.75,604.33,0.12,0.21,291.5,238.38,34.4,27.93,44.09,51.88,365.87,267.19,36.7,31.08,13.78,12.2,110.64,101.67,12.8,13.25,374.96,317.81,9.83,7.71
0,4,0,59,28,170,0.182,57,4,7,73,5,3,12,0,72.0,0,Oklahoma,270.75,222.63,108.25,99.05,756.75,646.84,0.12,0.19,291.5,244.88,34.4,32.5,44.09,48.93,365.87,335.12,36.7,30.5,13.78,12.5,110.64,106.5,12.8,8.45,374.96,318.18,9.83,7.17
0,5,0,62,35,182,0.148,57,6,7,88,6,2,14,0,77.0,0,Houston,270.75,217.21,108.25,95.04,756.75,651.04,0.12,0.12,291.5,303.56,34.4,36.14,44.09,46.0,365.87,353.63,36.7,43.55,13.78,26.64,110.64,93.69,12.8,12.09,374.96,339.86,9.83,16.43
0,5,0,62,29,162,0.204,59,7,8,62,8,4,14,7/,80.0,2,Tulane,270.75,232.86,108.25,103.9,756.75,674.71,0.12,0.16,291.5,239.11,34.4,41.38,44.09,44.81,365.87,325.16,36.7,37.79,13.78,16.4,110.64,111.57,12.8,15.92,374.96,354.06,9.83,15.7
