Result,Sets,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,0,55,11,125,0.352,52,2,6,53,11,2,6,1,62.0,0,Middle Tenn.,247.06,286.2,105.0,130.27,690.71,800.47,0.1,0.12,279.86,305.31,42.92,32.0,61.69,54.38,323.19,354.79,37.6,35.62,12.8,12.3,90.55,92.42,18.78,15.18,358.93,387.0,7.75,20.33
1,4,0,57,18,159,0.245,54,9,9,79,3,2,22,3,79.0,4,Southern Ill.,247.06,294.65,105.0,122.47,690.71,903.47,0.1,0.11,279.86,360.62,42.92,46.0,61.69,69.55,323.19,477.0,37.6,38.33,12.8,14.62,90.55,104.0,18.78,14.82,358.93,416.63,7.75,9.33
1,4,0,58,27,159,0.195,54,10,13,75,2,2,6,1,73.0,0,Portland St.,247.06,262.53,105.0,110.6,690.71,815.73,0.1,0.12,279.86,262.79,42.92,35.85,61.69,50.46,323.19,407.71,37.6,47.64,12.8,10.91,90.55,93.5,18.78,11.67,358.93,363.14,7.75,10.56
0,4,0,55,21,139,0.245,53,3,4,61,7,1,18,2,68.0,1,Milwaukee,247.06,239.1,105.0,91.05,690.71,672.7,0.1,0.2,279.86,282.69,42.92,47.1,61.69,47.5,323.19,351.65,37.6,35.08,12.8,15.86,90.55,96.45,18.78,10.83,358.93,354.19,7.75,8.89
1,4,0,50,20,139,0.216,47,15/,10,61,16/,4,12,4,75.0,0,Eastern Wash.,247.06,206.58,105.0,96.63,690.71,643.16,0.1,0.1,279.86,223.5,42.92,33.86,61.69,39.65,323.19,329.88,37.6,37.07,12.8,13.9,90.55,62.0,18.78,12.2,358.93,295.66,7.75,12.0
0,4,0,53,21,142,0.225,52,8,5,52,5,1,14,2,69.0,1,Drake,247.06,258.11,105.0,108.44,690.71,796.11,0.1,0.08,279.86,294.0,42.92,35.14,61.69,46.2,323.19,381.53,37.6,39.57,12.8,9.73,90.55,92.71,18.78,9.08,358.93,346.68,7.75,9.0
1,4,0,50,16,131,0.260,48,5,16,57,10,0,26,2,68.0,3,Troy,247.06,268.24,105.0,127.29,690.71,720.29,0.1,0.15,279.86,284.87,42.92,49.6,61.69,76.91,323.19,315.53,37.6,45.4,12.8,26.3,90.55,86.0,18.78,9.0,358.93,342.12,7.75,9.83
0,3,0,34,28,105,0.057,33,8,7,37,5,1,8,1,47.0,0,Marshall,247.06,217.06,105.0,86.89,690.71,611.06,0.1,0.15,279.86,244.53,42.92,29.67,61.69,31.17,323.19,296.19,37.6,36.11,12.8,22.12,90.55,104.45,18.78,14.18,358.93,272.88,7.75,10.86
1,3,0,48,15,105,0.314,45,2,4,50,4,0,6,2,53.0,0,UT Martin,247.06,276.0,105.0,127.69,690.71,774.75,0.1,0.09,279.86,273.53,42.92,30.29,61.69,35.0,323.19,336.0,37.6,36.85,12.8,16.22,90.55,112.27,18.78,21.1,358.93,342.0,7.75,7.78
0,5,0,60,31,169,0.172,56,6,11,69,12,3,14,3,76.0,0,Southeast Mo. St.,247.06,252.84,105.0,104.0,690.71,752.53,0.1,0.18,279.86,313.86,42.92,64.33,61.69,61.64,323.19,381.41,37.6,64.5,12.8,16.3,90.55,107.83,18.78,10.83,358.93,364.26,7.75,11.33
